㛋	U+36CB (U+36CB)	e39b8b
㪲	U+3AB2 (U+3AB2)	e3aab2
㪳	U+3AB3 (U+3AB3)	e3aab3
㪴	to measure; to estimate (U+3AB4)	e3aab4
㪵	half of a unit of measurement used in ancient times (U+3AB5)	e3aab5
㪶	(same as 斛) a dry measure 10 or 5 times that of a Chinese peck; a corn measure nominally holding ten pecks but generally holding about five, used in name of a place (U+3AB6)	e3aab6
㪷	U+3AB7 (U+3AB7)	e3aab7
㪸	(same as 斟) to fill a cup with; to pour into a cup (U+3AB8)	e3aab8
㪹	to rob; to loot; to plunder (U+3AB9)	e3aab9
㪺	to bale out; to decant liquids, to pour out liquor, a feast, a kind of utensil used to ladle out water (U+3ABA)	e3aaba
㪻	a kind of utensil used to ladle out wine, a container that gives a measurement of rice (U+3ABB)	e3aabb
㪼	to pull; to dray; to hinder; to santch away (U+3ABC)	e3aabc
㪽	U+3ABD (U+3ABD)	e3aabd
㪾	to cut the flesh from the bone; to scrape off; to pick out; to get rid of, to arrest; to catch to seize, to struggle; to fight; to conflict; to vie; to compete (U+3ABE)	e3aabe
㪿	to break; to snap; to bend; to bow down (U+3ABF)	e3aabf
㫀	huge tripod of bronze with two ears; heavy three-legged ealdron or sacrificial vessel regarded as a type of imperial power, the Empire, a kind of cooking utensil used in ancient times (U+3AC0)	e3ab80
㫁	(non-classical form of 斷) to cut apart; to severto break; broken; to abstain from, to conclude (U+3AC1)	e3ab81
㫂	to chop or cut (wood) (U+3AC2)	e3ab82
㫃	flags flying, long bands or ribbons attached to flags, streamers, etc. ( ancient form of 偃) to cease; to desist from (U+3AC3)	e3ab83
㫄	(same as 旁) side, by the side of; nearby (U+3AC4)	e3ab84
㫅	(same as 旗) a flag; a pennant; a banner; a streamer, a sign (U+3AC5)	e3ab85
㫆	U+3AC6 (U+3AC6)	e3ab86
㫇	U+3AC7 (U+3AC7)	e3ab87
㫈	U+3AC8 (U+3AC8)	e3ab88
㫉	U+3AC9 (U+3AC9)	e3ab89
㫊	fluttering of the flag, the flags (U+3ACA)	e3ab8a
