㛋	U+36CB (U+36CB)	e39b8b
㠐	high and pointed mountain, mountain paths (same as 嶠) lofty (U+3810)	e3a090
㠑	high mountain steep rugged and uneven (U+3811)	e3a091
㠒	(same as U+37FD 㟽) mountain top; summit, pointed mountain top (U+3812)	e3a092
㠓	name of a mountain (U+3813)	e3a093
㠔	shapes of the mountain, the strategic and dangious gorge, (a dialect) field in between of the valleys (U+3814)	e3a094
㠕	(same as 嵬) lofty, precipitous; high and dangerous mountain (U+3815)	e3a095
㠖	(same as 嶬) precipitous; nigh and dangerous, name of a mountain (U+3816)	e3a096
㠗	(same as 奧 嶴) deep in the mountain, name of a place in Zhejiang Province; at the hill side (U+3817)	e3a097
㠘	(same as 嶼) an island (U+3818)	e3a098
㠙	a mountain paths (same as 崤) name of a mountain (U+3819)	e3a099
㠚	high and lofty (U+381A)	e3a09a
㠛	name a county (U+381B)	e3a09b
㠜	(same as 嶷) young kids smart and familiar with human affairs, range of mountains in Hunan Province (U+381C)	e3a09c
㠝	(non-classical 巑) lofty and steep mountains, to rise high (U+381D)	e3a09d
㠞	U+381E (U+381E)	e3a09e
㠟	a mountain in ancient times; Lieshan in Guizhou province (U+381F)	e3a09f
㠠	name of a mountain (U+3820)	e3a0a0
㠡	high and lofty (U+3821)	e3a0a1
㠢	rugged and uneven, to shrink; to recoil; to cringe (U+3822)	e3a0a2
㠣	a mountain in Jiangxi Province; southeast of Jingde county (U+3823)	e3a0a3
㠤	U+3824 (U+3824)	e3a0a4
㠥	rugged and uneven, high and lofty, to roll stones down hill, piles of stones (U+3825)	e3a0a5
㠦	name of a mountain (U+3826)	e3a0a6
㠧	a little slanted; smooth, name of a mountain (U+3827)	e3a0a7
㠨	misty mountain (U+3828)	e3a0a8
㠩	(same as 芒 荒) vast, to reach, dwell, to negelect; to leave completely unattended to (U+3829)	e3a0a9
㠪	ancient form of 五 'five' (U+382A)	e3a0aa
㠫	U+382B (U+382B)	e3a0ab
㠬	U+382C (U+382C)	e3a0ac
㠭	to open, to stretch; to extend, to unfold; to dilate; to prolong (U+382D)	e3a0ad
㠮	to expand, to swell, (non-classical form of 肛) the anus (U+382E)	e3a0ae
㠯	according to; to use; with, for (U+382F)	e3a0af
㠰	U+3830 (U+3830)	e3a0b0
㠱	to set with the legs clossed (standard form of 踞), (ancient form of 箕) a winnowing basket, a dust basket, (same as 杞) a state in ancient times (U+3831)	e3a0b1
㠲	ripped; split (U+3832)	e3a0b2
㠳	U+3833 (U+3833)	e3a0b3
㠴	a pillow case (U+3834)	e3a0b4
㠵	a turban; headdress; a scarf, a piece of cloth (fabric) used to cover something (U+3835)	e3a0b5
㠶	(a variant of U+5E06 帆) a sail, to sail (U+3836)	e3a0b6
㠷	a vessel for rice, mats on carritage (U+3837)	e3a0b7
㠸	(same as 衭) the lapel or collor of a garment or robe, (Cant., same as 褲) drawers, trousers or pants (U+3838)	e3a0b8
㠹	a turban; a headdress a scarf (U+3839)	e3a0b9
㠺	a fine thread, a net with small; tiny holes (U+383A)	e3a0ba
㠻	(same as 希) rare, to hope; to expect (U+383B)	e3a0bb
㠼	U+383C (U+383C)	e3a0bc
㠽	a dish-cloth; a mopper; a cleaning rag (U+383D)	e3a0bd
㠾	a dish-cloth; a mopper; a cleaning rag, headdress; a scarf; turban (U+383E)	e3a0be
㠿	a kind of delicate and fine fabric, a napkin; kerchief or towel, a headwear (U+383F)	e3a0bf
㡀	ragged clothing, ragged; old and wear out (U+3840)	e3a180
㡁	a robe; a long gown, a shirt; a short gown (U+3841)	e3a181
㡂	remains; remnants (U+3842)	e3a182
㡃	an artisan to soften raw silk by boiling and to dye the dressed silk (U+3843)	e3a183
㡄	colar (U+3844)	e3a184
㡅	storage room (U+3845)	e3a185
㡆	(same as U+3843 㡃) an artisan to soften raw silk by boiling and to dye the dressed silk (U+3846)	e3a186
㡇	colar, the front of a Chinese gown, lapel of a Chinese dress worn by the literati in former days (U+3847)	e3a187
㡈	the ropes attached to the bier and held by mourners, mourning garments, a ceremonial cap for high ministers in old China (U+3848)	e3a188
㡉	a kind of fabric, a county in today's Shandong Province; southwest of Huangxian (U+3849)	e3a189
㡊	(same as 帢) a kind of cap worn by an officer in old China (U+384A)	e3a18a
㡋	a kind of headdress for man in old China, a bag used to feed the horses (U+384B)	e3a18b
㡌	(same as 帽) a hat; a headwear, a cap (of fountain-pen, crew, etc.) (U+384C)	e3a18c
㡍	U+384D (U+384D)	e3a18d
㡎	(simplified form of 幓) (same as 縿) the long bands or ribbons attrached to flags and banners (same as 襂) the feather decorected carriages or dresses; flapping and dangling, headdress used by man in ancient times (U+384E)	e3a18e
