ອ	LAO LETTER O (U+0EAD)	e0baad
ྒ	TIBETAN SUBJOINED LETTER GA (U+0F92)	e0be92
ྒྷ	TIBETAN SUBJOINED LETTER GHA (U+0F93)	e0be93
ྔ	TIBETAN SUBJOINED LETTER NGA (U+0F94)	e0be94
ྕ	TIBETAN SUBJOINED LETTER CA (U+0F95)	e0be95
ྖ	TIBETAN SUBJOINED LETTER CHA (U+0F96)	e0be96
ྗ	TIBETAN SUBJOINED LETTER JA (U+0F97)	e0be97
ྙ	TIBETAN SUBJOINED LETTER NYA (U+0F99)	e0be99
ྚ	TIBETAN SUBJOINED LETTER TTA (U+0F9A)	e0be9a
ྛ	TIBETAN SUBJOINED LETTER TTHA (U+0F9B)	e0be9b
ྜ	TIBETAN SUBJOINED LETTER DDA (U+0F9C)	e0be9c
ྜྷ	TIBETAN SUBJOINED LETTER DDHA (U+0F9D)	e0be9d
ྞ	TIBETAN SUBJOINED LETTER NNA (U+0F9E)	e0be9e
ྟ	TIBETAN SUBJOINED LETTER TA (U+0F9F)	e0be9f
ྠ	TIBETAN SUBJOINED LETTER THA (U+0FA0)	e0bea0
ྡ	TIBETAN SUBJOINED LETTER DA (U+0FA1)	e0bea1
ྡྷ	TIBETAN SUBJOINED LETTER DHA (U+0FA2)	e0bea2
ྣ	TIBETAN SUBJOINED LETTER NA (U+0FA3)	e0bea3
ྤ	TIBETAN SUBJOINED LETTER PA (U+0FA4)	e0bea4
ྥ	TIBETAN SUBJOINED LETTER PHA (U+0FA5)	e0bea5
ྦ	TIBETAN SUBJOINED LETTER BA (U+0FA6)	e0bea6
ྦྷ	TIBETAN SUBJOINED LETTER BHA (U+0FA7)	e0bea7
ྨ	TIBETAN SUBJOINED LETTER MA (U+0FA8)	e0bea8
ྩ	TIBETAN SUBJOINED LETTER TSA (U+0FA9)	e0bea9
ྪ	TIBETAN SUBJOINED LETTER TSHA (U+0FAA)	e0beaa
ྫ	TIBETAN SUBJOINED LETTER DZA (U+0FAB)	e0beab
ྫྷ	TIBETAN SUBJOINED LETTER DZHA (U+0FAC)	e0beac
ྭ	TIBETAN SUBJOINED LETTER WA (U+0FAD)	e0bead
ྮ	TIBETAN SUBJOINED LETTER ZHA (U+0FAE)	e0beae
ྯ	TIBETAN SUBJOINED LETTER ZA (U+0FAF)	e0beaf
ྰ	TIBETAN SUBJOINED LETTER -A (U+0FB0)	e0beb0
ྱ	TIBETAN SUBJOINED LETTER YA (U+0FB1)	e0beb1
ྲ	TIBETAN SUBJOINED LETTER RA (U+0FB2)	e0beb2
ླ	TIBETAN SUBJOINED LETTER LA (U+0FB3)	e0beb3
ྴ	TIBETAN SUBJOINED LETTER SHA (U+0FB4)	e0beb4
ྵ	TIBETAN SUBJOINED LETTER SSA (U+0FB5)	e0beb5
ྶ	TIBETAN SUBJOINED LETTER SA (U+0FB6)	e0beb6
ྷ	TIBETAN SUBJOINED LETTER HA (U+0FB7)	e0beb7
ྸ	TIBETAN SUBJOINED LETTER A (U+0FB8)	e0beb8
ྐྵ	TIBETAN SUBJOINED LETTER KSSA (U+0FB9)	e0beb9
ྺ	TIBETAN SUBJOINED LETTER FIXED-FORM WA (U+0FBA)	e0beba
ྻ	TIBETAN SUBJOINED LETTER FIXED-FORM YA (U+0FBB)	e0bebb
ྼ	TIBETAN SUBJOINED LETTER FIXED-FORM RA (U+0FBC)	e0bebc
྾	TIBETAN KU RU KHA (U+0FBE)	e0bebe
྿	TIBETAN KU RU KHA BZHI MIG CAN (U+0FBF)	e0bebf
࿀	TIBETAN CANTILLATION SIGN HEAVY BEAT (U+0FC0)	e0bf80
࿁	TIBETAN CANTILLATION SIGN LIGHT BEAT (U+0FC1)	e0bf81
࿂	TIBETAN CANTILLATION SIGN CANG TE-U (U+0FC2)	e0bf82
࿃	TIBETAN CANTILLATION SIGN SBUB -CHAL (U+0FC3)	e0bf83
࿄	TIBETAN SYMBOL DRIL BU (U+0FC4)	e0bf84
࿅	TIBETAN SYMBOL RDO RJE (U+0FC5)	e0bf85
࿆	TIBETAN SYMBOL PADMA GDAN (U+0FC6)	e0bf86
࿇	TIBETAN SYMBOL RDO RJE RGYA GRAM (U+0FC7)	e0bf87
࿈	TIBETAN SYMBOL PHUR PA (U+0FC8)	e0bf88
࿉	TIBETAN SYMBOL NOR BU (U+0FC9)	e0bf89
࿊	TIBETAN SYMBOL NOR BU NYIS -KHYIL (U+0FCA)	e0bf8a
࿋	TIBETAN SYMBOL NOR BU GSUM -KHYIL (U+0FCB)	e0bf8b
࿌	TIBETAN SYMBOL NOR BU BZHI -KHYIL (U+0FCC)	e0bf8c
࿎	TIBETAN SIGN RDEL NAG RDEL DKAR (U+0FCE)	e0bf8e
࿏	TIBETAN SIGN RDEL NAG GSUM (U+0FCF)	e0bf8f
࿐	TIBETAN MARK BSKA- SHOG GI MGO RGYAN (U+0FD0)	e0bf90
࿑	TIBETAN MARK MNYAM YIG GI MGO RGYAN (U+0FD1)	e0bf91
࿒	TIBETAN MARK NYIS TSHEG (U+0FD2)	e0bf92
࿓	TIBETAN MARK INITIAL BRDA RNYING YIG MGO MDUN MA (U+0FD3)	e0bf93
࿔	TIBETAN MARK CLOSING BRDA RNYING YIG MGO SGAB MA (U+0FD4)	e0bf94
࿕	RIGHT-FACING SVASTI SIGN (U+0FD5)	e0bf95
࿖	LEFT-FACING SVASTI SIGN (U+0FD6)	e0bf96
࿗	RIGHT-FACING SVASTI SIGN WITH DOTS (U+0FD7)	e0bf97
࿘	LEFT-FACING SVASTI SIGN WITH DOTS (U+0FD8)	e0bf98
࿙	TIBETAN MARK LEADING MCHAN RTAGS (U+0FD9)	e0bf99
࿚	TIBETAN MARK TRAILING MCHAN RTAGS (U+0FDA)	e0bf9a
က	MYANMAR LETTER KA (U+1000)	e18080
ခ	MYANMAR LETTER KHA (U+1001)	e18081
ဂ	MYANMAR LETTER GA (U+1002)	e18082
ဃ	MYANMAR LETTER GHA (U+1003)	e18083
င	MYANMAR LETTER NGA (U+1004)	e18084
စ	MYANMAR LETTER CA (U+1005)	e18085
ဆ	MYANMAR LETTER CHA (U+1006)	e18086
ဇ	MYANMAR LETTER JA (U+1007)	e18087
ဈ	MYANMAR LETTER JHA (U+1008)	e18088
ဉ	MYANMAR LETTER NYA (U+1009)	e18089
ည	MYANMAR LETTER NNYA (U+100A)	e1808a
ဋ	MYANMAR LETTER TTA (U+100B)	e1808b
ဌ	MYANMAR LETTER TTHA (U+100C)	e1808c
ဍ	MYANMAR LETTER DDA (U+100D)	e1808d
