𦓋	U+264CB (U+264CB)	f0a6938b
𦓌	U+264CC (U+264CC)	f0a6938c
𦓍	U+264CD (U+264CD)	f0a6938d
𦓎	U+264CE (U+264CE)	f0a6938e
𦓏	U+264CF (U+264CF)	f0a6938f
𦓐	U+264D0 (U+264D0)	f0a69390
𦓑	U+264D1 (U+264D1)	f0a69391
𦓒	U+264D2 (U+264D2)	f0a69392
𦓓	U+264D3 (U+264D3)	f0a69393
𦓔	U+264D4 (U+264D4)	f0a69394
𦓕	U+264D5 (U+264D5)	f0a69395
𦓖	U+264D6 (U+264D6)	f0a69396
𦓗	U+264D7 (U+264D7)	f0a69397
𦓘	U+264D8 (U+264D8)	f0a69398
𦓙	U+264D9 (U+264D9)	f0a69399
𦓚	U+264DA (U+264DA)	f0a6939a
𦓛	U+264DB (U+264DB)	f0a6939b
𦓜	U+264DC (U+264DC)	f0a6939c
𦓝	U+264DD (U+264DD)	f0a6939d
𦓞	U+264DE (U+264DE)	f0a6939e
𦓟	U+264DF (U+264DF)	f0a6939f
𦓠	U+264E0 (U+264E0)	f0a693a0
𦓡	U+264E1 (U+264E1)	f0a693a1
𦓢	U+264E2 (U+264E2)	f0a693a2
𦓣	U+264E3 (U+264E3)	f0a693a3
𦓤	U+264E4 (U+264E4)	f0a693a4
𦓥	U+264E5 (U+264E5)	f0a693a5
𦓦	U+264E6 (U+264E6)	f0a693a6
𦓧	U+264E7 (U+264E7)	f0a693a7
𦓨	U+264E8 (U+264E8)	f0a693a8
𦓩	U+264E9 (U+264E9)	f0a693a9
𦓪	U+264EA (U+264EA)	f0a693aa
𦓫	U+264EB (U+264EB)	f0a693ab
𦓬	U+264EC (U+264EC)	f0a693ac
𦓭	U+264ED (U+264ED)	f0a693ad
𦓮	U+264EE (U+264EE)	f0a693ae
𦓯	U+264EF (U+264EF)	f0a693af
𦓰	U+264F0 (U+264F0)	f0a693b0
𦓱	U+264F1 (U+264F1)	f0a693b1
𦓲	U+264F2 (U+264F2)	f0a693b2
𦓳	U+264F3 (U+264F3)	f0a693b3
𦓴	U+264F4 (U+264F4)	f0a693b4
𦓵	U+264F5 (U+264F5)	f0a693b5
𦓶	U+264F6 (U+264F6)	f0a693b6
𦓷	U+264F7 (U+264F7)	f0a693b7
𦓸	U+264F8 (U+264F8)	f0a693b8
𦓹	U+264F9 (U+264F9)	f0a693b9
𦓺	U+264FA (U+264FA)	f0a693ba
𦓻	U+264FB (U+264FB)	f0a693bb
𦓼	U+264FC (U+264FC)	f0a693bc
𦓽	U+264FD (U+264FD)	f0a693bd
𦓾	U+264FE (U+264FE)	f0a693be
𦓿	U+264FF (U+264FF)	f0a693bf
𦔀	U+26500 (U+26500)	f0a69480
𦔁	U+26501 (U+26501)	f0a69481
𦔂	U+26502 (U+26502)	f0a69482
𦔃	U+26503 (U+26503)	f0a69483
𦔄	U+26504 (U+26504)	f0a69484
𦔅	U+26505 (U+26505)	f0a69485
𦔆	U+26506 (U+26506)	f0a69486
𦔇	U+26507 (U+26507)	f0a69487
𦔈	U+26508 (U+26508)	f0a69488
𦔉	U+26509 (U+26509)	f0a69489
𦔊	U+2650A (U+2650A)	f0a6948a
𦔋	U+2650B (U+2650B)	f0a6948b
𦔌	U+2650C (U+2650C)	f0a6948c
𦔍	U+2650D (U+2650D)	f0a6948d
𦔎	U+2650E (U+2650E)	f0a6948e
𦔏	U+2650F (U+2650F)	f0a6948f
𦔐	U+26510 (U+26510)	f0a69490
𦔑	U+26511 (U+26511)	f0a69491
𦔒	U+26512 (U+26512)	f0a69492
𦔓	U+26513 (U+26513)	f0a69493
𦔔	U+26514 (U+26514)	f0a69494
𦔕	U+26515 (U+26515)	f0a69495
𦔖	U+26516 (U+26516)	f0a69496
𦔗	U+26517 (U+26517)	f0a69497
𦔘	U+26518 (U+26518)	f0a69498
𦔙	U+26519 (U+26519)	f0a69499
𦔚	U+2651A (U+2651A)	f0a6949a
𦔛	U+2651B (U+2651B)	f0a6949b
𦔜	U+2651C (U+2651C)	f0a6949c
𦔝	U+2651D (U+2651D)	f0a6949d
𦔞	U+2651E (U+2651E)	f0a6949e
𦔟	U+2651F (U+2651F)	f0a6949f
𦔠	U+26520 (U+26520)	f0a694a0
𦔡	U+26521 (U+26521)	f0a694a1
𦔢	U+26522 (U+26522)	f0a694a2
𦔣	U+26523 (U+26523)	f0a694a3
𦔤	U+26524 (U+26524)	f0a694a4
𦔥	U+26525 (U+26525)	f0a694a5
𦔦	U+26526 (U+26526)	f0a694a6
𦔧	U+26527 (U+26527)	f0a694a7
𦔨	U+26528 (U+26528)	f0a694a8
𦔩	U+26529 (U+26529)	f0a694a9
𦔪	U+2652A (U+2652A)	f0a694aa
𦔫	U+2652B (U+2652B)	f0a694ab
𦔬	U+2652C (U+2652C)	f0a694ac
𦔭	U+2652D (U+2652D)	f0a694ad
𦔮	U+2652E (U+2652E)	f0a694ae
𦔯	U+2652F (U+2652F)	f0a694af
𦔰	U+26530 (U+26530)	f0a694b0
𦔱	U+26531 (U+26531)	f0a694b1
𦔲	U+26532 (U+26532)	f0a694b2
𦔳	U+26533 (U+26533)	f0a694b3
𦔴	U+26534 (U+26534)	f0a694b4
𦔵	U+26535 (U+26535)	f0a694b5
𦔶	U+26536 (U+26536)	f0a694b6
𦔷	U+26537 (U+26537)	f0a694b7
𦔸	U+26538 (U+26538)	f0a694b8
𦔹	U+26539 (U+26539)	f0a694b9
𦔺	U+2653A (U+2653A)	f0a694ba
𦔻	U+2653B (U+2653B)	f0a694bb
𦔼	U+2653C (U+2653C)	f0a694bc
𦔽	U+2653D (U+2653D)	f0a694bd
𦔾	U+2653E (U+2653E)	f0a694be
𦔿	U+2653F (U+2653F)	f0a694bf
𦕀	U+26540 (U+26540)	f0a69580
𦕁	U+26541 (U+26541)	f0a69581
𦕂	U+26542 (U+26542)	f0a69582
𦕃	U+26543 (U+26543)	f0a69583
𦕄	U+26544 (U+26544)	f0a69584
𦕅	U+26545 (U+26545)	f0a69585
𦕆	U+26546 (U+26546)	f0a69586
𦕇	U+26547 (U+26547)	f0a69587
𦕈	U+26548 (U+26548)	f0a69588
𦕉	U+26549 (U+26549)	f0a69589
𦕊	U+2654A (U+2654A)	f0a6958a
𦕋	U+2654B (U+2654B)	f0a6958b
𦕌	U+2654C (U+2654C)	f0a6958c
𦕍	U+2654D (U+2654D)	f0a6958d
𦕎	U+2654E (U+2654E)	f0a6958e
𦕏	U+2654F (U+2654F)	f0a6958f
𦕐	U+26550 (U+26550)	f0a69590
𦕑	U+26551 (U+26551)	f0a69591
𦕒	to spy, peep (U+26552)	f0a69592
𦕓	U+26553 (U+26553)	f0a69593
𦕔	U+26554 (U+26554)	f0a69594
𦕕	U+26555 (U+26555)	f0a69595
𦕖	U+26556 (U+26556)	f0a69596
𦕗	U+26557 (U+26557)	f0a69597
𦕘	U+26558 (U+26558)	f0a69598
𦕙	U+26559 (U+26559)	f0a69599
𦕚	U+2655A (U+2655A)	f0a6959a
𦕛	U+2655B (U+2655B)	f0a6959b
𦕜	U+2655C (U+2655C)	f0a6959c
𦕝	U+2655D (U+2655D)	f0a6959d
𦕞	U+2655E (U+2655E)	f0a6959e
𦕟	U+2655F (U+2655F)	f0a6959f
𦕠	U+26560 (U+26560)	f0a695a0
𦕡	U+26561 (U+26561)	f0a695a1
𦕢	U+26562 (U+26562)	f0a695a2
𦕣	U+26563 (U+26563)	f0a695a3
𦕤	U+26564 (U+26564)	f0a695a4
𦕥	U+26565 (U+26565)	f0a695a5
𦕦	U+26566 (U+26566)	f0a695a6
𦕧	U+26567 (U+26567)	f0a695a7
𦕨	U+26568 (U+26568)	f0a695a8
𦕩	U+26569 (U+26569)	f0a695a9
𦕪	U+2656A (U+2656A)	f0a695aa
𦕫	U+2656B (U+2656B)	f0a695ab
𦕬	U+2656C (U+2656C)	f0a695ac
𦕭	U+2656D (U+2656D)	f0a695ad
𦕮	U+2656E (U+2656E)	f0a695ae
𦕯	U+2656F (U+2656F)	f0a695af
𦕰	U+26570 (U+26570)	f0a695b0
𦕱	U+26571 (U+26571)	f0a695b1
𦕲	U+26572 (U+26572)	f0a695b2
𦕳	U+26573 (U+26573)	f0a695b3
𦕴	U+26574 (U+26574)	f0a695b4
𦕵	U+26575 (U+26575)	f0a695b5
𦕶	U+26576 (U+26576)	f0a695b6
𦕷	U+26577 (U+26577)	f0a695b7
𦕸	U+26578 (U+26578)	f0a695b8
𦕹	U+26579 (U+26579)	f0a695b9
𦕺	U+2657A (U+2657A)	f0a695ba
𦕻	U+2657B (U+2657B)	f0a695bb
𦕼	U+2657C (U+2657C)	f0a695bc
𦕽	U+2657D (U+2657D)	f0a695bd
𦕾	U+2657E (U+2657E)	f0a695be
𦕿	U+2657F (U+2657F)	f0a695bf
𦖀	U+26580 (U+26580)	f0a69680
𦖁	U+26581 (U+26581)	f0a69681
𦖂	U+26582 (U+26582)	f0a69682
𦖃	U+26583 (U+26583)	f0a69683
𦖄	U+26584 (U+26584)	f0a69684
𦖅	U+26585 (U+26585)	f0a69685
𦖆	U+26586 (U+26586)	f0a69686
𦖇	U+26587 (U+26587)	f0a69687
𦖈	U+26588 (U+26588)	f0a69688
𦖉	U+26589 (U+26589)	f0a69689
𦖊	U+2658A (U+2658A)	f0a6968a
𦖋	U+2658B (U+2658B)	f0a6968b
𦖌	U+2658C (U+2658C)	f0a6968c
𦖍	U+2658D (U+2658D)	f0a6968d
𦖎	U+2658E (U+2658E)	f0a6968e
𦖏	U+2658F (U+2658F)	f0a6968f
𦖐	U+26590 (U+26590)	f0a69690
