𢱚	U+22C5A (U+22C5A)	f0a2b19a
𢱛	U+22C5B (U+22C5B)	f0a2b19b
𢱜	U+22C5C (U+22C5C)	f0a2b19c
𢱝	U+22C5D (U+22C5D)	f0a2b19d
𢱞	U+22C5E (U+22C5E)	f0a2b19e
𢱟	to strike, flog (U+22C5F)	f0a2b19f
𢱠	U+22C60 (U+22C60)	f0a2b1a0
𢱡	U+22C61 (U+22C61)	f0a2b1a1
𢱢	to select; (Cant.) a wedge of a fruit such as an orange (U+22C62)	f0a2b1a2
𢱣	U+22C63 (U+22C63)	f0a2b1a3
𢱤	U+22C64 (U+22C64)	f0a2b1a4
𢱥	U+22C65 (U+22C65)	f0a2b1a5
𢱦	U+22C66 (U+22C66)	f0a2b1a6
𢱧	U+22C67 (U+22C67)	f0a2b1a7
𢱨	U+22C68 (U+22C68)	f0a2b1a8
𢱩	U+22C69 (U+22C69)	f0a2b1a9
𢱪	U+22C6A (U+22C6A)	f0a2b1aa
𢱫	U+22C6B (U+22C6B)	f0a2b1ab
𢱬	U+22C6C (U+22C6C)	f0a2b1ac
𢱭	U+22C6D (U+22C6D)	f0a2b1ad
𢱮	U+22C6E (U+22C6E)	f0a2b1ae
𢱯	U+22C6F (U+22C6F)	f0a2b1af
𢱰	U+22C70 (U+22C70)	f0a2b1b0
𢱱	U+22C71 (U+22C71)	f0a2b1b1
𢱲	U+22C72 (U+22C72)	f0a2b1b2
𢱳	U+22C73 (U+22C73)	f0a2b1b3
𢱴	U+22C74 (U+22C74)	f0a2b1b4
𢱵	U+22C75 (U+22C75)	f0a2b1b5
𢱶	U+22C76 (U+22C76)	f0a2b1b6
𢱷	U+22C77 (U+22C77)	f0a2b1b7
𢱸	U+22C78 (U+22C78)	f0a2b1b8
𢱹	U+22C79 (U+22C79)	f0a2b1b9
𢱺	U+22C7A (U+22C7A)	f0a2b1ba
𢱻	U+22C7B (U+22C7B)	f0a2b1bb
𢱼	U+22C7C (U+22C7C)	f0a2b1bc
𢱽	U+22C7D (U+22C7D)	f0a2b1bd
𢱾	U+22C7E (U+22C7E)	f0a2b1be
𢱿	U+22C7F (U+22C7F)	f0a2b1bf
𢲀	U+22C80 (U+22C80)	f0a2b280
𢲁	U+22C81 (U+22C81)	f0a2b281
𢲂	U+22C82 (U+22C82)	f0a2b282
𢲃	U+22C83 (U+22C83)	f0a2b283
𢲄	U+22C84 (U+22C84)	f0a2b284
𢲅	U+22C85 (U+22C85)	f0a2b285
𢲆	U+22C86 (U+22C86)	f0a2b286
𢲇	U+22C87 (U+22C87)	f0a2b287
𢲈	to tie a knot; join or tie fast (U+22C88)	f0a2b288
𢲉	U+22C89 (U+22C89)	f0a2b289
𢲊	U+22C8A (U+22C8A)	f0a2b28a
𢲋	U+22C8B (U+22C8B)	f0a2b28b
𢲌	U+22C8C (U+22C8C)	f0a2b28c
𢲍	U+22C8D (U+22C8D)	f0a2b28d
𢲎	U+22C8E (U+22C8E)	f0a2b28e
𢲏	U+22C8F (U+22C8F)	f0a2b28f
𢲐	U+22C90 (U+22C90)	f0a2b290
𢲑	U+22C91 (U+22C91)	f0a2b291
𢲒	U+22C92 (U+22C92)	f0a2b292
𢲓	U+22C93 (U+22C93)	f0a2b293
𢲔	U+22C94 (U+22C94)	f0a2b294
𢲕	U+22C95 (U+22C95)	f0a2b295
𢲖	U+22C96 (U+22C96)	f0a2b296
𢲗	U+22C97 (U+22C97)	f0a2b297
𢲘	U+22C98 (U+22C98)	f0a2b298
𢲙	U+22C99 (U+22C99)	f0a2b299
𢲚	U+22C9A (U+22C9A)	f0a2b29a
𢲛	U+22C9B (U+22C9B)	f0a2b29b
𢲜	U+22C9C (U+22C9C)	f0a2b29c
𢲝	U+22C9D (U+22C9D)	f0a2b29d
𢲞	U+22C9E (U+22C9E)	f0a2b29e
𢲟	U+22C9F (U+22C9F)	f0a2b29f
𢲠	U+22CA0 (U+22CA0)	f0a2b2a0
𢲡	(Cant.) to grab with the hands; and, with (U+22CA1)	f0a2b2a1
𢲢	U+22CA2 (U+22CA2)	f0a2b2a2
𢲣	U+22CA3 (U+22CA3)	f0a2b2a3
𢲤	U+22CA4 (U+22CA4)	f0a2b2a4
𢲥	U+22CA5 (U+22CA5)	f0a2b2a5
𢲦	U+22CA6 (U+22CA6)	f0a2b2a6
𢲧	U+22CA7 (U+22CA7)	f0a2b2a7
𢲨	U+22CA8 (U+22CA8)	f0a2b2a8
𢲩	(Cant.) to affix a chop or seal to a document (U+22CA9)	f0a2b2a9
𢲪	U+22CAA (U+22CAA)	f0a2b2aa
𢲫	U+22CAB (U+22CAB)	f0a2b2ab
𢲬	U+22CAC (U+22CAC)	f0a2b2ac
𢲭	U+22CAD (U+22CAD)	f0a2b2ad
𢲮	U+22CAE (U+22CAE)	f0a2b2ae
𢲯	U+22CAF (U+22CAF)	f0a2b2af
𢲰	U+22CB0 (U+22CB0)	f0a2b2b0
𢲱	U+22CB1 (U+22CB1)	f0a2b2b1
𢲲	to shore up, put on trestles (U+22CB2)	f0a2b2b2
𢲳	U+22CB3 (U+22CB3)	f0a2b2b3
𢲴	U+22CB4 (U+22CB4)	f0a2b2b4
𢲵	(Cant.) to save up (money), to save up bit-by-bit (U+22CB5)	f0a2b2b5
𢲶	U+22CB6 (U+22CB6)	f0a2b2b6
𢲷	to search; (Cant.) to scratch (U+22CB7)	f0a2b2b7
𢲸	(Cant.) to shake violently, stir; to strip (U+22CB8)	f0a2b2b8
𢲹	U+22CB9 (U+22CB9)	f0a2b2b9
𢲺	U+22CBA (U+22CBA)	f0a2b2ba
𢲻	U+22CBB (U+22CBB)	f0a2b2bb
𢲼	U+22CBC (U+22CBC)	f0a2b2bc
𢲽	U+22CBD (U+22CBD)	f0a2b2bd
𢲾	U+22CBE (U+22CBE)	f0a2b2be
𢲿	U+22CBF (U+22CBF)	f0a2b2bf
𢳀	U+22CC0 (U+22CC0)	f0a2b380
𢳁	U+22CC1 (U+22CC1)	f0a2b381
𢳂	(Cant.) to scoop up, ladle out (U+22CC2)	f0a2b382
𢳃	U+22CC3 (U+22CC3)	f0a2b383
𢳄	U+22CC4 (U+22CC4)	f0a2b384
𢳅	U+22CC5 (U+22CC5)	f0a2b385
𢳆	(Cant.) to shake, rattle (U+22CC6)	f0a2b386
𢳇	U+22CC7 (U+22CC7)	f0a2b387
𢳈	U+22CC8 (U+22CC8)	f0a2b388
𢳉	U+22CC9 (U+22CC9)	f0a2b389
𢳊	U+22CCA (U+22CCA)	f0a2b38a
𢳋	U+22CCB (U+22CCB)	f0a2b38b
𢳌	U+22CCC (U+22CCC)	f0a2b38c
𢳍	U+22CCD (U+22CCD)	f0a2b38d
𢳎	U+22CCE (U+22CCE)	f0a2b38e
𢳏	U+22CCF (U+22CCF)	f0a2b38f
𢳐	U+22CD0 (U+22CD0)	f0a2b390
𢳑	U+22CD1 (U+22CD1)	f0a2b391
𢳒	U+22CD2 (U+22CD2)	f0a2b392
𢳓	U+22CD3 (U+22CD3)	f0a2b393
𢳔	U+22CD4 (U+22CD4)	f0a2b394
𢳕	U+22CD5 (U+22CD5)	f0a2b395
𢳖	U+22CD6 (U+22CD6)	f0a2b396
𢳗	U+22CD7 (U+22CD7)	f0a2b397
𢳘	U+22CD8 (U+22CD8)	f0a2b398
𢳙	U+22CD9 (U+22CD9)	f0a2b399
𢳚	U+22CDA (U+22CDA)	f0a2b39a
𢳛	U+22CDB (U+22CDB)	f0a2b39b
𢳜	to waste (U+22CDC)	f0a2b39c
𢳝	U+22CDD (U+22CDD)	f0a2b39d
𢳞	U+22CDE (U+22CDE)	f0a2b39e
𢳟	U+22CDF (U+22CDF)	f0a2b39f
𢳠	U+22CE0 (U+22CE0)	f0a2b3a0
𢳡	U+22CE1 (U+22CE1)	f0a2b3a1
𢳢	U+22CE2 (U+22CE2)	f0a2b3a2
𢳣	U+22CE3 (U+22CE3)	f0a2b3a3
𢳤	U+22CE4 (U+22CE4)	f0a2b3a4
𢳥	U+22CE5 (U+22CE5)	f0a2b3a5
𢳦	U+22CE6 (U+22CE6)	f0a2b3a6
𢳧	U+22CE7 (U+22CE7)	f0a2b3a7
𢳨	U+22CE8 (U+22CE8)	f0a2b3a8
𢳩	U+22CE9 (U+22CE9)	f0a2b3a9
𢳪	U+22CEA (U+22CEA)	f0a2b3aa
𢳫	U+22CEB (U+22CEB)	f0a2b3ab
𢳬	U+22CEC (U+22CEC)	f0a2b3ac
𢳭	U+22CED (U+22CED)	f0a2b3ad
𢳮	U+22CEE (U+22CEE)	f0a2b3ae
𢳯	U+22CEF (U+22CEF)	f0a2b3af
𢳰	U+22CF0 (U+22CF0)	f0a2b3b0
𢳱	U+22CF1 (U+22CF1)	f0a2b3b1
𢳲	U+22CF2 (U+22CF2)	f0a2b3b2
𢳳	U+22CF3 (U+22CF3)	f0a2b3b3
𢳴	U+22CF4 (U+22CF4)	f0a2b3b4
𢳵	U+22CF5 (U+22CF5)	f0a2b3b5
𢳶	U+22CF6 (U+22CF6)	f0a2b3b6
𢳷	U+22CF7 (U+22CF7)	f0a2b3b7
𢳸	U+22CF8 (U+22CF8)	f0a2b3b8
𢳹	U+22CF9 (U+22CF9)	f0a2b3b9
𢳺	U+22CFA (U+22CFA)	f0a2b3ba
𢳻	U+22CFB (U+22CFB)	f0a2b3bb
𢳼	U+22CFC (U+22CFC)	f0a2b3bc
𢳽	U+22CFD (U+22CFD)	f0a2b3bd
𢳾	U+22CFE (U+22CFE)	f0a2b3be
𢳿	U+22CFF (U+22CFF)	f0a2b3bf
𢴀	U+22D00 (U+22D00)	f0a2b480
𢴁	U+22D01 (U+22D01)	f0a2b481
𢴂	U+22D02 (U+22D02)	f0a2b482
𢴃	U+22D03 (U+22D03)	f0a2b483
𢴄	U+22D04 (U+22D04)	f0a2b484
𢴅	U+22D05 (U+22D05)	f0a2b485
𢴆	U+22D06 (U+22D06)	f0a2b486
𢴇	U+22D07 (U+22D07)	f0a2b487
𢴈	(Cant.) to throw down, fall down (U+22D08)	f0a2b488
𢴉	U+22D09 (U+22D09)	f0a2b489
𢴊	U+22D0A (U+22D0A)	f0a2b48a
𢴋	U+22D0B (U+22D0B)	f0a2b48b
𢴌	U+22D0C (U+22D0C)	f0a2b48c
𢴍	U+22D0D (U+22D0D)	f0a2b48d
𢴎	U+22D0E (U+22D0E)	f0a2b48e
𢴏	U+22D0F (U+22D0F)	f0a2b48f
𢴐	U+22D10 (U+22D10)	f0a2b490
𢴑	U+22D11 (U+22D11)	f0a2b491
𢴒	(Cant.) to chase, drive away (U+22D12)	f0a2b492
𢴓	U+22D13 (U+22D13)	f0a2b493
𢴔	U+22D14 (U+22D14)	f0a2b494
𢴕	U+22D15 (U+22D15)	f0a2b495
𢴖	U+22D16 (U+22D16)	f0a2b496
𢴗	U+22D17 (U+22D17)	f0a2b497
𢴘	U+22D18 (U+22D18)	f0a2b498
𢴙	U+22D19 (U+22D19)	f0a2b499
𢴚	U+22D1A (U+22D1A)	f0a2b49a
𢴛	U+22D1B (U+22D1B)	f0a2b49b
𢴜	U+22D1C (U+22D1C)	f0a2b49c
𢴝	U+22D1D (U+22D1D)	f0a2b49d
𢴞	U+22D1E (U+22D1E)	f0a2b49e
𢴟	U+22D1F (U+22D1F)	f0a2b49f
𢴠	U+22D20 (U+22D20)	f0a2b4a0
𢴡	U+22D21 (U+22D21)	f0a2b4a1
𢴢	U+22D22 (U+22D22)	f0a2b4a2
𢴣	U+22D23 (U+22D23)	f0a2b4a3
𢴤	U+22D24 (U+22D24)	f0a2b4a4
𢴥	U+22D25 (U+22D25)	f0a2b4a5
𢴦	U+22D26 (U+22D26)	f0a2b4a6
𢴧	U+22D27 (U+22D27)	f0a2b4a7
𢴨	U+22D28 (U+22D28)	f0a2b4a8
𢴩	U+22D29 (U+22D29)	f0a2b4a9
𢴪	U+22D2A (U+22D2A)	f0a2b4aa
𢴫	U+22D2B (U+22D2B)	f0a2b4ab
𢴬	U+22D2C (U+22D2C)	f0a2b4ac
𢴭	U+22D2D (U+22D2D)	f0a2b4ad
𢴮	U+22D2E (U+22D2E)	f0a2b4ae
𢴯	U+22D2F (U+22D2F)	f0a2b4af
𢴰	U+22D30 (U+22D30)	f0a2b4b0
𢴱	U+22D31 (U+22D31)	f0a2b4b1
𢴲	U+22D32 (U+22D32)	f0a2b4b2
𢴳	U+22D33 (U+22D33)	f0a2b4b3
𢴴	U+22D34 (U+22D34)	f0a2b4b4
𢴵	U+22D35 (U+22D35)	f0a2b4b5
𢴶	U+22D36 (U+22D36)	f0a2b4b6
𢴷	U+22D37 (U+22D37)	f0a2b4b7
𢴸	U+22D38 (U+22D38)	f0a2b4b8
𢴹	U+22D39 (U+22D39)	f0a2b4b9
𢴺	U+22D3A (U+22D3A)	f0a2b4ba
𢴻	U+22D3B (U+22D3B)	f0a2b4bb
𢴼	U+22D3C (U+22D3C)	f0a2b4bc
𢴽	U+22D3D (U+22D3D)	f0a2b4bd
𢴾	U+22D3E (U+22D3E)	f0a2b4be
𢴿	U+22D3F (U+22D3F)	f0a2b4bf
𢵀	U+22D40 (U+22D40)	f0a2b580
𢵁	U+22D41 (U+22D41)	f0a2b581
𢵂	U+22D42 (U+22D42)	f0a2b582
𢵃	U+22D43 (U+22D43)	f0a2b583
𢵄	(Cant.) to save up (money) (U+22D44)	f0a2b584
𢵅	U+22D45 (U+22D45)	f0a2b585
𢵆	U+22D46 (U+22D46)	f0a2b586
𢵇	U+22D47 (U+22D47)	f0a2b587
𢵈	U+22D48 (U+22D48)	f0a2b588
𢵉	U+22D49 (U+22D49)	f0a2b589
𢵊	U+22D4A (U+22D4A)	f0a2b58a
𢵋	U+22D4B (U+22D4B)	f0a2b58b
𢵌	(Cant.) to goad, incite (U+22D4C)	f0a2b58c
𢵍	U+22D4D (U+22D4D)	f0a2b58d
𢵎	U+22D4E (U+22D4E)	f0a2b58e
𢵏	U+22D4F (U+22D4F)	f0a2b58f
𢵐	U+22D50 (U+22D50)	f0a2b590
𢵑	U+22D51 (U+22D51)	f0a2b591
𢵒	U+22D52 (U+22D52)	f0a2b592
𢵓	(Cant.) to rush; chase someone out, drive out (U+22D53)	f0a2b593
𢵔	U+22D54 (U+22D54)	f0a2b594
𢵕	U+22D55 (U+22D55)	f0a2b595
𢵖	U+22D56 (U+22D56)	f0a2b596
𢵗	U+22D57 (U+22D57)	f0a2b597
𢵘	U+22D58 (U+22D58)	f0a2b598
𢵙	U+22D59 (U+22D59)	f0a2b599
