𠓟	U+204DF (U+204DF)	f0a0939f
𠓠	U+204E0 (U+204E0)	f0a093a0
𠓡	U+204E1 (U+204E1)	f0a093a1
𠓢	U+204E2 (U+204E2)	f0a093a2
𠓣	U+204E3 (U+204E3)	f0a093a3
𠓤	U+204E4 (U+204E4)	f0a093a4
𠓥	U+204E5 (U+204E5)	f0a093a5
𠓦	U+204E6 (U+204E6)	f0a093a6
𠓧	U+204E7 (U+204E7)	f0a093a7
𠓨	U+204E8 (U+204E8)	f0a093a8
𠓩	U+204E9 (U+204E9)	f0a093a9
𠓪	U+204EA (U+204EA)	f0a093aa
𠓫	U+204EB (U+204EB)	f0a093ab
𠓬	U+204EC (U+204EC)	f0a093ac
𠓭	U+204ED (U+204ED)	f0a093ad
𠓮	U+204EE (U+204EE)	f0a093ae
𠓯	U+204EF (U+204EF)	f0a093af
𠓰	U+204F0 (U+204F0)	f0a093b0
𠓱	U+204F1 (U+204F1)	f0a093b1
𠓲	U+204F2 (U+204F2)	f0a093b2
𠓳	U+204F3 (U+204F3)	f0a093b3
𠓴	U+204F4 (U+204F4)	f0a093b4
𠓵	U+204F5 (U+204F5)	f0a093b5
𠓶	U+204F6 (U+204F6)	f0a093b6
𠓷	U+204F7 (U+204F7)	f0a093b7
𠓸	U+204F8 (U+204F8)	f0a093b8
𠓹	U+204F9 (U+204F9)	f0a093b9
𠓺	U+204FA (U+204FA)	f0a093ba
𠓻	U+204FB (U+204FB)	f0a093bb
𠓼	(Cant.) a wedge; to thrust in (U+204FC)	f0a093bc
𠓽	U+204FD (U+204FD)	f0a093bd
𠓾	U+204FE (U+204FE)	f0a093be
𠓿	U+204FF (U+204FF)	f0a093bf
𠔀	U+20500 (U+20500)	f0a09480
𠔁	U+20501 (U+20501)	f0a09481
𠔂	U+20502 (U+20502)	f0a09482
𠔃	an interjection of doubt or inquiry (U+20503)	f0a09483
𠔄	U+20504 (U+20504)	f0a09484
𠔅	U+20505 (U+20505)	f0a09485
𠔆	U+20506 (U+20506)	f0a09486
𠔇	U+20507 (U+20507)	f0a09487
𠔈	U+20508 (U+20508)	f0a09488
𠔉	a roll (U+20509)	f0a09489
𠔊	U+2050A (U+2050A)	f0a0948a
𠔋	U+2050B (U+2050B)	f0a0948b
𠔌	U+2050C (U+2050C)	f0a0948c
𠔍	U+2050D (U+2050D)	f0a0948d
𠔎	U+2050E (U+2050E)	f0a0948e
𠔏	U+2050F (U+2050F)	f0a0948f
𠔐	U+20510 (U+20510)	f0a09490
𠔑	U+20511 (U+20511)	f0a09491
𠔒	U+20512 (U+20512)	f0a09492
𠔓	U+20513 (U+20513)	f0a09493
𠔔	U+20514 (U+20514)	f0a09494
𠔕	U+20515 (U+20515)	f0a09495
𠔖	U+20516 (U+20516)	f0a09496
𠔗	U+20517 (U+20517)	f0a09497
𠔘	U+20518 (U+20518)	f0a09498
𠔙	U+20519 (U+20519)	f0a09499
𠔚	U+2051A (U+2051A)	f0a0949a
𠔛	U+2051B (U+2051B)	f0a0949b
𠔜	U+2051C (U+2051C)	f0a0949c
𠔝	U+2051D (U+2051D)	f0a0949d
𠔞	U+2051E (U+2051E)	f0a0949e
𠔟	U+2051F (U+2051F)	f0a0949f
𠔠	U+20520 (U+20520)	f0a094a0
𠔡	U+20521 (U+20521)	f0a094a1
𠔢	U+20522 (U+20522)	f0a094a2
𠔣	U+20523 (U+20523)	f0a094a3
𠔤	U+20524 (U+20524)	f0a094a4
𠔥	U+20525 (U+20525)	f0a094a5
𠔦	U+20526 (U+20526)	f0a094a6
𠔧	U+20527 (U+20527)	f0a094a7
𠔨	U+20528 (U+20528)	f0a094a8
𠔩	U+20529 (U+20529)	f0a094a9
𠔪	U+2052A (U+2052A)	f0a094aa
𠔫	U+2052B (U+2052B)	f0a094ab
𠔬	U+2052C (U+2052C)	f0a094ac
𠔭	U+2052D (U+2052D)	f0a094ad
𠔮	U+2052E (U+2052E)	f0a094ae
𠔯	U+2052F (U+2052F)	f0a094af
𠔰	U+20530 (U+20530)	f0a094b0
𠔱	U+20531 (U+20531)	f0a094b1
𠔲	U+20532 (U+20532)	f0a094b2
𠔳	U+20533 (U+20533)	f0a094b3
𠔴	U+20534 (U+20534)	f0a094b4
𠔵	U+20535 (U+20535)	f0a094b5
𠔶	U+20536 (U+20536)	f0a094b6
𠔷	U+20537 (U+20537)	f0a094b7
𠔸	U+20538 (U+20538)	f0a094b8
𠔹	U+20539 (U+20539)	f0a094b9
𠔺	U+2053A (U+2053A)	f0a094ba
𠔻	U+2053B (U+2053B)	f0a094bb
𠔼	U+2053C (U+2053C)	f0a094bc
𠔽	U+2053D (U+2053D)	f0a094bd
𠔾	U+2053E (U+2053E)	f0a094be
𠔿	U+2053F (U+2053F)	f0a094bf
𠕀	U+20540 (U+20540)	f0a09580
𠕁	U+20541 (U+20541)	f0a09581
𠕂	U+20542 (U+20542)	f0a09582
𠕃	U+20543 (U+20543)	f0a09583
𠕄	(Cant.) 酒𠕄, a dimple (U+20544)	f0a09584
𠕅	U+20545 (U+20545)	f0a09585
𠕆	U+20546 (U+20546)	f0a09586
𠕇	U+20547 (U+20547)	f0a09587
𠕈	U+20548 (U+20548)	f0a09588
𠕉	U+20549 (U+20549)	f0a09589
𠕊	U+2054A (U+2054A)	f0a0958a
𠕋	U+2054B (U+2054B)	f0a0958b
𠕌	U+2054C (U+2054C)	f0a0958c
𠕍	U+2054D (U+2054D)	f0a0958d
𠕎	U+2054E (U+2054E)	f0a0958e
𠕏	U+2054F (U+2054F)	f0a0958f
