𧢩	U+278A9 (U+278A9)	f0a7a2a9
𧢪	U+278AA (U+278AA)	f0a7a2aa
𧢫	U+278AB (U+278AB)	f0a7a2ab
𧢬	U+278AC (U+278AC)	f0a7a2ac
𧢭	U+278AD (U+278AD)	f0a7a2ad
𧢮	U+278AE (U+278AE)	f0a7a2ae
𧢯	U+278AF (U+278AF)	f0a7a2af
𧢰	U+278B0 (U+278B0)	f0a7a2b0
𧢱	U+278B1 (U+278B1)	f0a7a2b1
𧢲	U+278B2 (U+278B2)	f0a7a2b2
𧢳	U+278B3 (U+278B3)	f0a7a2b3
𧢴	U+278B4 (U+278B4)	f0a7a2b4
𧢵	U+278B5 (U+278B5)	f0a7a2b5
𧢶	U+278B6 (U+278B6)	f0a7a2b6
𧢷	U+278B7 (U+278B7)	f0a7a2b7
𧢸	U+278B8 (U+278B8)	f0a7a2b8
𧢹	U+278B9 (U+278B9)	f0a7a2b9
𧢺	U+278BA (U+278BA)	f0a7a2ba
𧢻	U+278BB (U+278BB)	f0a7a2bb
𧢼	U+278BC (U+278BC)	f0a7a2bc
𧢽	U+278BD (U+278BD)	f0a7a2bd
𧢾	U+278BE (U+278BE)	f0a7a2be
𧢿	U+278BF (U+278BF)	f0a7a2bf
𧣀	U+278C0 (U+278C0)	f0a7a380
𧣁	U+278C1 (U+278C1)	f0a7a381
𧣂	U+278C2 (U+278C2)	f0a7a382
𧣃	U+278C3 (U+278C3)	f0a7a383
𧣄	U+278C4 (U+278C4)	f0a7a384
𧣅	U+278C5 (U+278C5)	f0a7a385
𧣆	U+278C6 (U+278C6)	f0a7a386
𧣇	U+278C7 (U+278C7)	f0a7a387
𧣈	(Cant.) to gore (U+278C8)	f0a7a388
𧣉	U+278C9 (U+278C9)	f0a7a389
𧣊	U+278CA (U+278CA)	f0a7a38a
𧣋	U+278CB (U+278CB)	f0a7a38b
𧣌	U+278CC (U+278CC)	f0a7a38c
𧣍	U+278CD (U+278CD)	f0a7a38d
𧣎	U+278CE (U+278CE)	f0a7a38e
𧣏	U+278CF (U+278CF)	f0a7a38f
𧣐	U+278D0 (U+278D0)	f0a7a390
𧣑	U+278D1 (U+278D1)	f0a7a391
𧣒	U+278D2 (U+278D2)	f0a7a392
𧣓	U+278D3 (U+278D3)	f0a7a393
𧣔	U+278D4 (U+278D4)	f0a7a394
𧣕	U+278D5 (U+278D5)	f0a7a395
𧣖	U+278D6 (U+278D6)	f0a7a396
𧣗	U+278D7 (U+278D7)	f0a7a397
𧣘	U+278D8 (U+278D8)	f0a7a398
𧣙	U+278D9 (U+278D9)	f0a7a399
𧣚	U+278DA (U+278DA)	f0a7a39a
𧣛	U+278DB (U+278DB)	f0a7a39b
𧣜	U+278DC (U+278DC)	f0a7a39c
𧣝	U+278DD (U+278DD)	f0a7a39d
𧣞	U+278DE (U+278DE)	f0a7a39e
𧣟	U+278DF (U+278DF)	f0a7a39f
𧣠	U+278E0 (U+278E0)	f0a7a3a0
𧣡	U+278E1 (U+278E1)	f0a7a3a1
𧣢	U+278E2 (U+278E2)	f0a7a3a2
𧣣	U+278E3 (U+278E3)	f0a7a3a3
𧣤	U+278E4 (U+278E4)	f0a7a3a4
𧣥	U+278E5 (U+278E5)	f0a7a3a5
𧣦	U+278E6 (U+278E6)	f0a7a3a6
𧣧	U+278E7 (U+278E7)	f0a7a3a7
𧣨	U+278E8 (U+278E8)	f0a7a3a8
𧣩	U+278E9 (U+278E9)	f0a7a3a9
𧣪	U+278EA (U+278EA)	f0a7a3aa
𧣫	U+278EB (U+278EB)	f0a7a3ab
𧣬	U+278EC (U+278EC)	f0a7a3ac
𧣭	U+278ED (U+278ED)	f0a7a3ad
𧣮	U+278EE (U+278EE)	f0a7a3ae
𧣯	U+278EF (U+278EF)	f0a7a3af
𧣰	U+278F0 (U+278F0)	f0a7a3b0
𧣱	U+278F1 (U+278F1)	f0a7a3b1
𧣲	U+278F2 (U+278F2)	f0a7a3b2
𧣳	U+278F3 (U+278F3)	f0a7a3b3
𧣴	a cup (U+278F4)	f0a7a3b4
𧣵	U+278F5 (U+278F5)	f0a7a3b5
𧣶	U+278F6 (U+278F6)	f0a7a3b6
𧣷	U+278F7 (U+278F7)	f0a7a3b7
𧣸	U+278F8 (U+278F8)	f0a7a3b8
𧣹	U+278F9 (U+278F9)	f0a7a3b9
𧣺	U+278FA (U+278FA)	f0a7a3ba
𧣻	U+278FB (U+278FB)	f0a7a3bb
𧣼	U+278FC (U+278FC)	f0a7a3bc
𧣽	U+278FD (U+278FD)	f0a7a3bd
𧣾	U+278FE (U+278FE)	f0a7a3be
𧣿	U+278FF (U+278FF)	f0a7a3bf
𧤀	U+27900 (U+27900)	f0a7a480
𧤁	U+27901 (U+27901)	f0a7a481
𧤂	U+27902 (U+27902)	f0a7a482
𧤃	U+27903 (U+27903)	f0a7a483
𧤄	U+27904 (U+27904)	f0a7a484
𧤅	U+27905 (U+27905)	f0a7a485
𧤆	U+27906 (U+27906)	f0a7a486
𧤇	U+27907 (U+27907)	f0a7a487
𧤈	U+27908 (U+27908)	f0a7a488
𧤉	U+27909 (U+27909)	f0a7a489
𧤊	U+2790A (U+2790A)	f0a7a48a
𧤋	U+2790B (U+2790B)	f0a7a48b
𧤌	U+2790C (U+2790C)	f0a7a48c
𧤍	U+2790D (U+2790D)	f0a7a48d
𧤎	U+2790E (U+2790E)	f0a7a48e
𧤏	U+2790F (U+2790F)	f0a7a48f
𧤐	U+27910 (U+27910)	f0a7a490
𧤑	U+27911 (U+27911)	f0a7a491
𧤒	U+27912 (U+27912)	f0a7a492
𧤓	U+27913 (U+27913)	f0a7a493
𧤔	U+27914 (U+27914)	f0a7a494
𧤕	U+27915 (U+27915)	f0a7a495
𧤖	U+27916 (U+27916)	f0a7a496
𧤗	U+27917 (U+27917)	f0a7a497
𧤘	U+27918 (U+27918)	f0a7a498
𧤙	U+27919 (U+27919)	f0a7a499
𧤚	U+2791A (U+2791A)	f0a7a49a
𧤛	U+2791B (U+2791B)	f0a7a49b
𧤜	U+2791C (U+2791C)	f0a7a49c
𧤝	U+2791D (U+2791D)	f0a7a49d
𧤞	U+2791E (U+2791E)	f0a7a49e
𧤟	U+2791F (U+2791F)	f0a7a49f
𧤠	U+27920 (U+27920)	f0a7a4a0
𧤡	U+27921 (U+27921)	f0a7a4a1
𧤢	U+27922 (U+27922)	f0a7a4a2
𧤣	U+27923 (U+27923)	f0a7a4a3
𧤤	U+27924 (U+27924)	f0a7a4a4
𧤥	U+27925 (U+27925)	f0a7a4a5
𧤦	U+27926 (U+27926)	f0a7a4a6
𧤧	U+27927 (U+27927)	f0a7a4a7
𧤨	U+27928 (U+27928)	f0a7a4a8
𧤩	U+27929 (U+27929)	f0a7a4a9
𧤪	U+2792A (U+2792A)	f0a7a4aa
𧤫	U+2792B (U+2792B)	f0a7a4ab
𧤬	U+2792C (U+2792C)	f0a7a4ac
𧤭	U+2792D (U+2792D)	f0a7a4ad
𧤮	U+2792E (U+2792E)	f0a7a4ae
𧤯	U+2792F (U+2792F)	f0a7a4af
𧤰	U+27930 (U+27930)	f0a7a4b0
𧤱	U+27931 (U+27931)	f0a7a4b1
𧤲	U+27932 (U+27932)	f0a7a4b2
𧤳	U+27933 (U+27933)	f0a7a4b3
𧤴	U+27934 (U+27934)	f0a7a4b4
𧤵	U+27935 (U+27935)	f0a7a4b5
𧤶	U+27936 (U+27936)	f0a7a4b6
𧤷	U+27937 (U+27937)	f0a7a4b7
𧤸	U+27938 (U+27938)	f0a7a4b8
𧤹	U+27939 (U+27939)	f0a7a4b9
𧤺	U+2793A (U+2793A)	f0a7a4ba
𧤻	U+2793B (U+2793B)	f0a7a4bb
𧤼	U+2793C (U+2793C)	f0a7a4bc
𧤽	U+2793D (U+2793D)	f0a7a4bd
𧤾	U+2793E (U+2793E)	f0a7a4be
𧤿	U+2793F (U+2793F)	f0a7a4bf
𧥀	U+27940 (U+27940)	f0a7a580
𧥁	U+27941 (U+27941)	f0a7a581
𧥂	U+27942 (U+27942)	f0a7a582
𧥃	U+27943 (U+27943)	f0a7a583
𧥄	U+27944 (U+27944)	f0a7a584
𧥅	U+27945 (U+27945)	f0a7a585
𧥆	U+27946 (U+27946)	f0a7a586
𧥇	U+27947 (U+27947)	f0a7a587
𧥈	U+27948 (U+27948)	f0a7a588
𧥉	U+27949 (U+27949)	f0a7a589
𧥊	U+2794A (U+2794A)	f0a7a58a
𧥋	U+2794B (U+2794B)	f0a7a58b
𧥌	U+2794C (U+2794C)	f0a7a58c
𧥍	U+2794D (U+2794D)	f0a7a58d
𧥎	U+2794E (U+2794E)	f0a7a58e
𧥏	U+2794F (U+2794F)	f0a7a58f
𧥐	U+27950 (U+27950)	f0a7a590
𧥑	U+27951 (U+27951)	f0a7a591
𧥒	U+27952 (U+27952)	f0a7a592
𧥓	U+27953 (U+27953)	f0a7a593
𧥔	U+27954 (U+27954)	f0a7a594
𧥕	U+27955 (U+27955)	f0a7a595
𧥖	U+27956 (U+27956)	f0a7a596
𧥗	U+27957 (U+27957)	f0a7a597
𧥘	U+27958 (U+27958)	f0a7a598
𧥙	U+27959 (U+27959)	f0a7a599
𧥚	U+2795A (U+2795A)	f0a7a59a
𧥛	U+2795B (U+2795B)	f0a7a59b
𧥜	U+2795C (U+2795C)	f0a7a59c
𧥝	U+2795D (U+2795D)	f0a7a59d
𧥞	U+2795E (U+2795E)	f0a7a59e
𧥟	U+2795F (U+2795F)	f0a7a59f
𧥠	U+27960 (U+27960)	f0a7a5a0
𧥡	U+27961 (U+27961)	f0a7a5a1
𧥢	U+27962 (U+27962)	f0a7a5a2
𧥣	U+27963 (U+27963)	f0a7a5a3
𧥤	U+27964 (U+27964)	f0a7a5a4
𧥥	U+27965 (U+27965)	f0a7a5a5
𧥦	U+27966 (U+27966)	f0a7a5a6
𧥧	U+27967 (U+27967)	f0a7a5a7
𧥨	U+27968 (U+27968)	f0a7a5a8
𧥩	U+27969 (U+27969)	f0a7a5a9
𧥪	U+2796A (U+2796A)	f0a7a5aa
𧥫	U+2796B (U+2796B)	f0a7a5ab
