𡳥	U+21CE5 (U+21CE5)	f0a1b3a5
𡳦	U+21CE6 (U+21CE6)	f0a1b3a6
𡳧	U+21CE7 (U+21CE7)	f0a1b3a7
𡳨	U+21CE8 (U+21CE8)	f0a1b3a8
𡳩	U+21CE9 (U+21CE9)	f0a1b3a9
𡳪	U+21CEA (U+21CEA)	f0a1b3aa
𡳫	U+21CEB (U+21CEB)	f0a1b3ab
𡳬	U+21CEC (U+21CEC)	f0a1b3ac
𡳭	U+21CED (U+21CED)	f0a1b3ad
𡳮	U+21CEE (U+21CEE)	f0a1b3ae
𡳯	U+21CEF (U+21CEF)	f0a1b3af
𡳰	U+21CF0 (U+21CF0)	f0a1b3b0
𡳱	U+21CF1 (U+21CF1)	f0a1b3b1
𡳲	U+21CF2 (U+21CF2)	f0a1b3b2
𡳳	U+21CF3 (U+21CF3)	f0a1b3b3
𡳴	U+21CF4 (U+21CF4)	f0a1b3b4
𡳵	U+21CF5 (U+21CF5)	f0a1b3b5
𡳶	U+21CF6 (U+21CF6)	f0a1b3b6
𡳷	U+21CF7 (U+21CF7)	f0a1b3b7
𡳸	U+21CF8 (U+21CF8)	f0a1b3b8
𡳹	U+21CF9 (U+21CF9)	f0a1b3b9
𡳺	U+21CFA (U+21CFA)	f0a1b3ba
𡳻	U+21CFB (U+21CFB)	f0a1b3bb
𡳼	U+21CFC (U+21CFC)	f0a1b3bc
𡳽	U+21CFD (U+21CFD)	f0a1b3bd
𡳾	U+21CFE (U+21CFE)	f0a1b3be
𡳿	U+21CFF (U+21CFF)	f0a1b3bf
𡴀	U+21D00 (U+21D00)	f0a1b480
𡴁	U+21D01 (U+21D01)	f0a1b481
𡴂	U+21D02 (U+21D02)	f0a1b482
𡴃	U+21D03 (U+21D03)	f0a1b483
𡴄	U+21D04 (U+21D04)	f0a1b484
𡴅	U+21D05 (U+21D05)	f0a1b485
𡴆	U+21D06 (U+21D06)	f0a1b486
𡴇	U+21D07 (U+21D07)	f0a1b487
𡴈	U+21D08 (U+21D08)	f0a1b488
𡴉	U+21D09 (U+21D09)	f0a1b489
𡴊	U+21D0A (U+21D0A)	f0a1b48a
𡴋	U+21D0B (U+21D0B)	f0a1b48b
𡴌	U+21D0C (U+21D0C)	f0a1b48c
𡴍	U+21D0D (U+21D0D)	f0a1b48d
𡴎	U+21D0E (U+21D0E)	f0a1b48e
𡴏	U+21D0F (U+21D0F)	f0a1b48f
𡴐	U+21D10 (U+21D10)	f0a1b490
𡴑	U+21D11 (U+21D11)	f0a1b491
𡴒	U+21D12 (U+21D12)	f0a1b492
𡴓	U+21D13 (U+21D13)	f0a1b493
𡴔	U+21D14 (U+21D14)	f0a1b494
𡴕	U+21D15 (U+21D15)	f0a1b495
𡴖	U+21D16 (U+21D16)	f0a1b496
𡴗	U+21D17 (U+21D17)	f0a1b497
𡴘	U+21D18 (U+21D18)	f0a1b498
𡴙	U+21D19 (U+21D19)	f0a1b499
𡴚	U+21D1A (U+21D1A)	f0a1b49a
𡴛	U+21D1B (U+21D1B)	f0a1b49b
𡴜	U+21D1C (U+21D1C)	f0a1b49c
𡴝	U+21D1D (U+21D1D)	f0a1b49d
𡴞	U+21D1E (U+21D1E)	f0a1b49e
𡴟	U+21D1F (U+21D1F)	f0a1b49f
𡴠	U+21D20 (U+21D20)	f0a1b4a0
𡴡	U+21D21 (U+21D21)	f0a1b4a1
𡴢	U+21D22 (U+21D22)	f0a1b4a2
𡴣	U+21D23 (U+21D23)	f0a1b4a3
