𤒸	U+244B8 (U+244B8)	f0a492b8
𤒹	U+244B9 (U+244B9)	f0a492b9
𤒺	U+244BA (U+244BA)	f0a492ba
𤒻	U+244BB (U+244BB)	f0a492bb
𤒼	U+244BC (U+244BC)	f0a492bc
𤒽	U+244BD (U+244BD)	f0a492bd
𤒾	U+244BE (U+244BE)	f0a492be
𤒿	U+244BF (U+244BF)	f0a492bf
𤓀	U+244C0 (U+244C0)	f0a49380
𤓁	U+244C1 (U+244C1)	f0a49381
𤓂	U+244C2 (U+244C2)	f0a49382
𤓃	U+244C3 (U+244C3)	f0a49383
𤓄	U+244C4 (U+244C4)	f0a49384
𤓅	U+244C5 (U+244C5)	f0a49385
𤓆	U+244C6 (U+244C6)	f0a49386
𤓇	U+244C7 (U+244C7)	f0a49387
𤓈	U+244C8 (U+244C8)	f0a49388
𤓉	U+244C9 (U+244C9)	f0a49389
𤓊	U+244CA (U+244CA)	f0a4938a
𤓋	U+244CB (U+244CB)	f0a4938b
𤓌	U+244CC (U+244CC)	f0a4938c
𤓍	U+244CD (U+244CD)	f0a4938d
𤓎	U+244CE (U+244CE)	f0a4938e
𤓏	U+244CF (U+244CF)	f0a4938f
𤓐	U+244D0 (U+244D0)	f0a49390
𤓑	U+244D1 (U+244D1)	f0a49391
𤓒	U+244D2 (U+244D2)	f0a49392
𤓓	smoky or burning smell (U+244D3)	f0a49393
𤓔	U+244D4 (U+244D4)	f0a49394
𤓕	U+244D5 (U+244D5)	f0a49395
𤓖	U+244D6 (U+244D6)	f0a49396
𤓗	U+244D7 (U+244D7)	f0a49397
𤓘	U+244D8 (U+244D8)	f0a49398
𤓙	U+244D9 (U+244D9)	f0a49399
𤓚	U+244DA (U+244DA)	f0a4939a
𤓛	U+244DB (U+244DB)	f0a4939b
𤓜	U+244DC (U+244DC)	f0a4939c
𤓝	U+244DD (U+244DD)	f0a4939d
𤓞	U+244DE (U+244DE)	f0a4939e
𤓟	U+244DF (U+244DF)	f0a4939f
𤓠	U+244E0 (U+244E0)	f0a493a0
𤓡	U+244E1 (U+244E1)	f0a493a1
𤓢	U+244E2 (U+244E2)	f0a493a2
𤓣	U+244E3 (U+244E3)	f0a493a3
𤓤	U+244E4 (U+244E4)	f0a493a4
𤓥	U+244E5 (U+244E5)	f0a493a5
𤓦	U+244E6 (U+244E6)	f0a493a6
𤓧	U+244E7 (U+244E7)	f0a493a7
𤓨	U+244E8 (U+244E8)	f0a493a8
𤓩	U+244E9 (U+244E9)	f0a493a9
𤓪	U+244EA (U+244EA)	f0a493aa
𤓫	U+244EB (U+244EB)	f0a493ab
𤓬	U+244EC (U+244EC)	f0a493ac
𤓭	U+244ED (U+244ED)	f0a493ad
𤓮	U+244EE (U+244EE)	f0a493ae
𤓯	U+244EF (U+244EF)	f0a493af
𤓰	U+244F0 (U+244F0)	f0a493b0
𤓱	U+244F1 (U+244F1)	f0a493b1
𤓲	U+244F2 (U+244F2)	f0a493b2
𤓳	U+244F3 (U+244F3)	f0a493b3
𤓴	U+244F4 (U+244F4)	f0a493b4
𤓵	U+244F5 (U+244F5)	f0a493b5
𤓶	U+244F6 (U+244F6)	f0a493b6
𤓷	U+244F7 (U+244F7)	f0a493b7
𤓸	U+244F8 (U+244F8)	f0a493b8
𤓹	U+244F9 (U+244F9)	f0a493b9
𤓺	U+244FA (U+244FA)	f0a493ba
𤓻	U+244FB (U+244FB)	f0a493bb
𤓼	U+244FC (U+244FC)	f0a493bc
𤓽	U+244FD (U+244FD)	f0a493bd
𤓾	U+244FE (U+244FE)	f0a493be
𤓿	U+244FF (U+244FF)	f0a493bf
𤔀	U+24500 (U+24500)	f0a49480
𤔁	U+24501 (U+24501)	f0a49481
𤔂	U+24502 (U+24502)	f0a49482
𤔃	U+24503 (U+24503)	f0a49483
𤔄	U+24504 (U+24504)	f0a49484
𤔅	U+24505 (U+24505)	f0a49485
𤔆	U+24506 (U+24506)	f0a49486
𤔇	U+24507 (U+24507)	f0a49487
𤔈	U+24508 (U+24508)	f0a49488
𤔉	U+24509 (U+24509)	f0a49489
𤔊	U+2450A (U+2450A)	f0a4948a
𤔋	U+2450B (U+2450B)	f0a4948b
𤔌	U+2450C (U+2450C)	f0a4948c
𤔍	U+2450D (U+2450D)	f0a4948d
𤔎	U+2450E (U+2450E)	f0a4948e
𤔏	U+2450F (U+2450F)	f0a4948f
𤔐	U+24510 (U+24510)	f0a49490
𤔑	U+24511 (U+24511)	f0a49491
𤔒	U+24512 (U+24512)	f0a49492
𤔓	U+24513 (U+24513)	f0a49493
𤔔	to govern (U+24514)	f0a49494
𤔕	U+24515 (U+24515)	f0a49495
𤔖	U+24516 (U+24516)	f0a49496
𤔗	U+24517 (U+24517)	f0a49497
𤔘	U+24518 (U+24518)	f0a49498
𤔙	U+24519 (U+24519)	f0a49499
𤔚	U+2451A (U+2451A)	f0a4949a
𤔛	U+2451B (U+2451B)	f0a4949b
𤔜	U+2451C (U+2451C)	f0a4949c
𤔝	U+2451D (U+2451D)	f0a4949d
𤔞	U+2451E (U+2451E)	f0a4949e
𤔟	U+2451F (U+2451F)	f0a4949f
𤔠	U+24520 (U+24520)	f0a494a0
𤔡	U+24521 (U+24521)	f0a494a1
𤔢	U+24522 (U+24522)	f0a494a2
𤔣	U+24523 (U+24523)	f0a494a3
𤔤	U+24524 (U+24524)	f0a494a4
𤔥	U+24525 (U+24525)	f0a494a5
𤔦	U+24526 (U+24526)	f0a494a6
𤔧	U+24527 (U+24527)	f0a494a7
𤔨	U+24528 (U+24528)	f0a494a8
𤔩	U+24529 (U+24529)	f0a494a9
𤔪	U+2452A (U+2452A)	f0a494aa
𤔫	U+2452B (U+2452B)	f0a494ab
𤔬	U+2452C (U+2452C)	f0a494ac
𤔭	U+2452D (U+2452D)	f0a494ad
𤔮	U+2452E (U+2452E)	f0a494ae
𤔯	U+2452F (U+2452F)	f0a494af
𤔰	U+24530 (U+24530)	f0a494b0
𤔱	U+24531 (U+24531)	f0a494b1
𤔲	U+24532 (U+24532)	f0a494b2
𤔳	U+24533 (U+24533)	f0a494b3
𤔴	U+24534 (U+24534)	f0a494b4
𤔵	U+24535 (U+24535)	f0a494b5
𤔶	U+24536 (U+24536)	f0a494b6
𤔷	U+24537 (U+24537)	f0a494b7
𤔸	U+24538 (U+24538)	f0a494b8
𤔹	U+24539 (U+24539)	f0a494b9
𤔺	U+2453A (U+2453A)	f0a494ba
𤔻	U+2453B (U+2453B)	f0a494bb
𤔼	U+2453C (U+2453C)	f0a494bc
𤔽	U+2453D (U+2453D)	f0a494bd
𤔾	U+2453E (U+2453E)	f0a494be
𤔿	U+2453F (U+2453F)	f0a494bf
𤕀	U+24540 (U+24540)	f0a49580
𤕁	U+24541 (U+24541)	f0a49581
𤕂	U+24542 (U+24542)	f0a49582
𤕃	U+24543 (U+24543)	f0a49583
𤕄	U+24544 (U+24544)	f0a49584
𤕅	U+24545 (U+24545)	f0a49585
𤕆	U+24546 (U+24546)	f0a49586
𤕇	U+24547 (U+24547)	f0a49587
𤕈	U+24548 (U+24548)	f0a49588
𤕉	U+24549 (U+24549)	f0a49589
𤕊	U+2454A (U+2454A)	f0a4958a
𤕋	U+2454B (U+2454B)	f0a4958b
𤕌	U+2454C (U+2454C)	f0a4958c
𤕍	U+2454D (U+2454D)	f0a4958d
𤕎	U+2454E (U+2454E)	f0a4958e
𤕏	U+2454F (U+2454F)	f0a4958f
𤕐	U+24550 (U+24550)	f0a49590
𤕑	U+24551 (U+24551)	f0a49591
𤕒	U+24552 (U+24552)	f0a49592
𤕓	U+24553 (U+24553)	f0a49593
𤕔	U+24554 (U+24554)	f0a49594
𤕕	U+24555 (U+24555)	f0a49595
𤕖	U+24556 (U+24556)	f0a49596
𤕗	U+24557 (U+24557)	f0a49597
𤕘	U+24558 (U+24558)	f0a49598
𤕙	U+24559 (U+24559)	f0a49599
𤕚	U+2455A (U+2455A)	f0a4959a
𤕛	U+2455B (U+2455B)	f0a4959b
𤕜	U+2455C (U+2455C)	f0a4959c
𤕝	U+2455D (U+2455D)	f0a4959d
𤕞	U+2455E (U+2455E)	f0a4959e
𤕟	U+2455F (U+2455F)	f0a4959f
𤕠	U+24560 (U+24560)	f0a495a0
𤕡	U+24561 (U+24561)	f0a495a1
𤕢	U+24562 (U+24562)	f0a495a2
𤕣	U+24563 (U+24563)	f0a495a3
𤕤	U+24564 (U+24564)	f0a495a4
𤕥	U+24565 (U+24565)	f0a495a5
𤕦	U+24566 (U+24566)	f0a495a6
𤕧	U+24567 (U+24567)	f0a495a7
𤕨	U+24568 (U+24568)	f0a495a8
𤕩	U+24569 (U+24569)	f0a495a9
𤕪	U+2456A (U+2456A)	f0a495aa
𤕫	U+2456B (U+2456B)	f0a495ab
𤕬	U+2456C (U+2456C)	f0a495ac
𤕭	to get hold of, take (U+2456D)	f0a495ad
𤕮	U+2456E (U+2456E)	f0a495ae
𤕯	a syrupy liquid (U+2456F)	f0a495af
𤕰	U+24570 (U+24570)	f0a495b0
𤕱	U+24571 (U+24571)	f0a495b1
𤕲	U+24572 (U+24572)	f0a495b2
𤕳	U+24573 (U+24573)	f0a495b3
𤕴	U+24574 (U+24574)	f0a495b4
𤕵	U+24575 (U+24575)	f0a495b5
𤕶	U+24576 (U+24576)	f0a495b6
𤕷	U+24577 (U+24577)	f0a495b7
𤕸	U+24578 (U+24578)	f0a495b8
𤕹	U+24579 (U+24579)	f0a495b9
𤕺	U+2457A (U+2457A)	f0a495ba
𤕻	U+2457B (U+2457B)	f0a495bb
𤕼	U+2457C (U+2457C)	f0a495bc
𤕽	U+2457D (U+2457D)	f0a495bd
𤕾	U+2457E (U+2457E)	f0a495be
𤕿	U+2457F (U+2457F)	f0a495bf
𤖀	U+24580 (U+24580)	f0a49680
𤖁	U+24581 (U+24581)	f0a49681
𤖂	U+24582 (U+24582)	f0a49682
𤖃	U+24583 (U+24583)	f0a49683
𤖄	U+24584 (U+24584)	f0a49684
𤖅	U+24585 (U+24585)	f0a49685
