𡂝	(Cant.) to choke and cough (U+2109D)	f0a1829d
𡂞	U+2109E (U+2109E)	f0a1829e
𡂟	U+2109F (U+2109F)	f0a1829f
𡂠	U+210A0 (U+210A0)	f0a182a0
𡂡	U+210A1 (U+210A1)	f0a182a1
𡂢	U+210A2 (U+210A2)	f0a182a2
𡂣	U+210A3 (U+210A3)	f0a182a3
𡂤	U+210A4 (U+210A4)	f0a182a4
𡂥	U+210A5 (U+210A5)	f0a182a5
𡂦	U+210A6 (U+210A6)	f0a182a6
𡂧	U+210A7 (U+210A7)	f0a182a7
𡂨	U+210A8 (U+210A8)	f0a182a8
𡂩	U+210A9 (U+210A9)	f0a182a9
𡂪	U+210AA (U+210AA)	f0a182aa
𡂫	U+210AB (U+210AB)	f0a182ab
𡂬	U+210AC (U+210AC)	f0a182ac
𡂭	U+210AD (U+210AD)	f0a182ad
𡂮	U+210AE (U+210AE)	f0a182ae
𡂯	U+210AF (U+210AF)	f0a182af
𡂰	U+210B0 (U+210B0)	f0a182b0
𡂱	U+210B1 (U+210B1)	f0a182b1
𡂲	U+210B2 (U+210B2)	f0a182b2
𡂳	U+210B3 (U+210B3)	f0a182b3
𡂴	U+210B4 (U+210B4)	f0a182b4
𡂵	U+210B5 (U+210B5)	f0a182b5
𡂶	U+210B6 (U+210B6)	f0a182b6
𡂷	U+210B7 (U+210B7)	f0a182b7
𡂸	U+210B8 (U+210B8)	f0a182b8
𡂹	U+210B9 (U+210B9)	f0a182b9
𡂺	U+210BA (U+210BA)	f0a182ba
𡂻	U+210BB (U+210BB)	f0a182bb
𡂼	U+210BC (U+210BC)	f0a182bc
𡂽	U+210BD (U+210BD)	f0a182bd
𡂾	U+210BE (U+210BE)	f0a182be
𡂿	U+210BF (U+210BF)	f0a182bf
𡃀	(Cant.) a musical instrument (U+210C0)	f0a18380
𡃁	(Cant.) member of a triad; young (U+210C1)	f0a18381
𡃂	U+210C2 (U+210C2)	f0a18382
𡃃	U+210C3 (U+210C3)	f0a18383
𡃄	U+210C4 (U+210C4)	f0a18384
𡃅	U+210C5 (U+210C5)	f0a18385
𡃆	U+210C6 (U+210C6)	f0a18386
𡃇	(Cant.) exclamation (U+210C7)	f0a18387
𡃈	(Cant.) a lasso; a circle, frame (U+210C8)	f0a18388
𡃉	(Cant.) final particle (U+210C9)	f0a18389
𡃊	U+210CA (U+210CA)	f0a1838a
𡃋	U+210CB (U+210CB)	f0a1838b
𡃌	U+210CC (U+210CC)	f0a1838c
𡃍	U+210CD (U+210CD)	f0a1838d
𡃎	U+210CE (U+210CE)	f0a1838e
𡃏	(Cant.) to droop, hang down (U+210CF)	f0a1838f
𡃐	U+210D0 (U+210D0)	f0a18390
𡃑	U+210D1 (U+210D1)	f0a18391
𡃒	U+210D2 (U+210D2)	f0a18392
𡃓	(Cant.) final particle for emphasis (U+210D3)	f0a18393
𡃔	U+210D4 (U+210D4)	f0a18394
𡃕	U+210D5 (U+210D5)	f0a18395
𡃖	call for pigs (U+210D6)	f0a18396
𡃗	U+210D7 (U+210D7)	f0a18397
𡃘	U+210D8 (U+210D8)	f0a18398
𡃙	U+210D9 (U+210D9)	f0a18399
𡃚	U+210DA (U+210DA)	f0a1839a
𡃛	U+210DB (U+210DB)	f0a1839b
𡃜	U+210DC (U+210DC)	f0a1839c
𡃝	U+210DD (U+210DD)	f0a1839d
𡃞	U+210DE (U+210DE)	f0a1839e
𡃟	U+210DF (U+210DF)	f0a1839f
𡃠	U+210E0 (U+210E0)	f0a183a0
𡃡	U+210E1 (U+210E1)	f0a183a1
𡃢	U+210E2 (U+210E2)	f0a183a2
𡃣	U+210E3 (U+210E3)	f0a183a3
𡃤	(Cant.) to leave behind, omit (U+210E4)	f0a183a4
𡃥	U+210E5 (U+210E5)	f0a183a5
𡃦	U+210E6 (U+210E6)	f0a183a6
𡃧	U+210E7 (U+210E7)	f0a183a7
𡃨	U+210E8 (U+210E8)	f0a183a8
𡃩	U+210E9 (U+210E9)	f0a183a9
