🀦	MAHJONG TILE SPRING (U+1F026)	f09f80a6
🄛	PARENTHESIZED LATIN CAPITAL LETTER L (U+1F11B)	f09f849b
🄜	PARENTHESIZED LATIN CAPITAL LETTER M (U+1F11C)	f09f849c
🄝	PARENTHESIZED LATIN CAPITAL LETTER N (U+1F11D)	f09f849d
🄞	PARENTHESIZED LATIN CAPITAL LETTER O (U+1F11E)	f09f849e
🄟	PARENTHESIZED LATIN CAPITAL LETTER P (U+1F11F)	f09f849f
🄠	PARENTHESIZED LATIN CAPITAL LETTER Q (U+1F120)	f09f84a0
🄡	PARENTHESIZED LATIN CAPITAL LETTER R (U+1F121)	f09f84a1
🄢	PARENTHESIZED LATIN CAPITAL LETTER S (U+1F122)	f09f84a2
🄣	PARENTHESIZED LATIN CAPITAL LETTER T (U+1F123)	f09f84a3
🄤	PARENTHESIZED LATIN CAPITAL LETTER U (U+1F124)	f09f84a4
🄥	PARENTHESIZED LATIN CAPITAL LETTER V (U+1F125)	f09f84a5
🄦	PARENTHESIZED LATIN CAPITAL LETTER W (U+1F126)	f09f84a6
🄧	PARENTHESIZED LATIN CAPITAL LETTER X (U+1F127)	f09f84a7
🄨	PARENTHESIZED LATIN CAPITAL LETTER Y (U+1F128)	f09f84a8
🄩	PARENTHESIZED LATIN CAPITAL LETTER Z (U+1F129)	f09f84a9
🄪	TORTOISE SHELL BRACKETED LATIN CAPITAL LETTER S (U+1F12A)	f09f84aa
🄫	CIRCLED ITALIC LATIN CAPITAL LETTER C (U+1F12B)	f09f84ab
🄬	CIRCLED ITALIC LATIN CAPITAL LETTER R (U+1F12C)	f09f84ac
🄭	CIRCLED CD (U+1F12D)	f09f84ad
🄮	CIRCLED WZ (U+1F12E)	f09f84ae
🄰	SQUARED LATIN CAPITAL LETTER A (U+1F130)	f09f84b0
🄱	SQUARED LATIN CAPITAL LETTER B (U+1F131)	f09f84b1
🄲	SQUARED LATIN CAPITAL LETTER C (U+1F132)	f09f84b2
🄳	SQUARED LATIN CAPITAL LETTER D (U+1F133)	f09f84b3
🄴	SQUARED LATIN CAPITAL LETTER E (U+1F134)	f09f84b4
🄵	SQUARED LATIN CAPITAL LETTER F (U+1F135)	f09f84b5
🄶	SQUARED LATIN CAPITAL LETTER G (U+1F136)	f09f84b6
🄷	SQUARED LATIN CAPITAL LETTER H (U+1F137)	f09f84b7
🄸	SQUARED LATIN CAPITAL LETTER I (U+1F138)	f09f84b8
