𤃧	U+240E7 (U+240E7)	f0a483a7
𤃨	U+240E8 (U+240E8)	f0a483a8
𤃩	U+240E9 (U+240E9)	f0a483a9
𤃪	U+240EA (U+240EA)	f0a483aa
𤃫	U+240EB (U+240EB)	f0a483ab
𤃬	U+240EC (U+240EC)	f0a483ac
𤃭	U+240ED (U+240ED)	f0a483ad
𤃮	U+240EE (U+240EE)	f0a483ae
𤃯	U+240EF (U+240EF)	f0a483af
𤃰	U+240F0 (U+240F0)	f0a483b0
𤃱	U+240F1 (U+240F1)	f0a483b1
𤃲	U+240F2 (U+240F2)	f0a483b2
𤃳	U+240F3 (U+240F3)	f0a483b3
𤃴	U+240F4 (U+240F4)	f0a483b4
𤃵	U+240F5 (U+240F5)	f0a483b5
𤃶	swept away, as by a flood; soaked, saturated; to settle, as with alum; to strain; to drain off (U+240F6)	f0a483b6
𤃷	U+240F7 (U+240F7)	f0a483b7
𤃸	U+240F8 (U+240F8)	f0a483b8
𤃹	U+240F9 (U+240F9)	f0a483b9
𤃺	U+240FA (U+240FA)	f0a483ba
𤃻	U+240FB (U+240FB)	f0a483bb
𤃼	U+240FC (U+240FC)	f0a483bc
𤃽	U+240FD (U+240FD)	f0a483bd
𤃾	U+240FE (U+240FE)	f0a483be
𤃿	U+240FF (U+240FF)	f0a483bf
𤄀	U+24100 (U+24100)	f0a48480
𤄁	U+24101 (U+24101)	f0a48481
𤄂	U+24102 (U+24102)	f0a48482
𤄃	U+24103 (U+24103)	f0a48483
𤄄	U+24104 (U+24104)	f0a48484
𤄅	U+24105 (U+24105)	f0a48485
𤄆	U+24106 (U+24106)	f0a48486
𤄇	U+24107 (U+24107)	f0a48487
𤄈	U+24108 (U+24108)	f0a48488
𤄉	U+24109 (U+24109)	f0a48489
𤄊	U+2410A (U+2410A)	f0a4848a
𤄋	U+2410B (U+2410B)	f0a4848b
𤄌	U+2410C (U+2410C)	f0a4848c
𤄍	U+2410D (U+2410D)	f0a4848d
𤄎	U+2410E (U+2410E)	f0a4848e
𤄏	U+2410F (U+2410F)	f0a4848f
𤄐	U+24110 (U+24110)	f0a48490
𤄑	U+24111 (U+24111)	f0a48491
𤄒	U+24112 (U+24112)	f0a48492
𤄓	U+24113 (U+24113)	f0a48493
𤄔	U+24114 (U+24114)	f0a48494
𤄕	U+24115 (U+24115)	f0a48495
𤄖	U+24116 (U+24116)	f0a48496
𤄗	U+24117 (U+24117)	f0a48497
𤄘	U+24118 (U+24118)	f0a48498
𤄙	U+24119 (U+24119)	f0a48499
𤄚	U+2411A (U+2411A)	f0a4849a
𤄛	U+2411B (U+2411B)	f0a4849b
𤄜	U+2411C (U+2411C)	f0a4849c
𤄝	U+2411D (U+2411D)	f0a4849d
𤄞	U+2411E (U+2411E)	f0a4849e
𤄟	U+2411F (U+2411F)	f0a4849f
𤄠	U+24120 (U+24120)	f0a484a0
𤄡	U+24121 (U+24121)	f0a484a1
𤄢	U+24122 (U+24122)	f0a484a2
𤄣	U+24123 (U+24123)	f0a484a3
𤄤	U+24124 (U+24124)	f0a484a4
𤄥	U+24125 (U+24125)	f0a484a5
𤄦	U+24126 (U+24126)	f0a484a6
