𥓜	U+254DC (U+254DC)	f0a5939c
𥓝	U+254DD (U+254DD)	f0a5939d
𥓞	U+254DE (U+254DE)	f0a5939e
𥓟	U+254DF (U+254DF)	f0a5939f
𥓠	U+254E0 (U+254E0)	f0a593a0
𥓡	U+254E1 (U+254E1)	f0a593a1
𥓢	U+254E2 (U+254E2)	f0a593a2
𥓣	U+254E3 (U+254E3)	f0a593a3
𥓤	U+254E4 (U+254E4)	f0a593a4
𥓥	U+254E5 (U+254E5)	f0a593a5
𥓦	U+254E6 (U+254E6)	f0a593a6
𥓧	U+254E7 (U+254E7)	f0a593a7
𥓨	U+254E8 (U+254E8)	f0a593a8
𥓩	U+254E9 (U+254E9)	f0a593a9
𥓪	U+254EA (U+254EA)	f0a593aa
𥓫	U+254EB (U+254EB)	f0a593ab
𥓬	U+254EC (U+254EC)	f0a593ac
𥓭	U+254ED (U+254ED)	f0a593ad
𥓮	U+254EE (U+254EE)	f0a593ae
𥓯	U+254EF (U+254EF)	f0a593af
𥓰	U+254F0 (U+254F0)	f0a593b0
𥓱	U+254F1 (U+254F1)	f0a593b1
𥓲	U+254F2 (U+254F2)	f0a593b2
𥓳	U+254F3 (U+254F3)	f0a593b3
𥓴	U+254F4 (U+254F4)	f0a593b4
𥓵	U+254F5 (U+254F5)	f0a593b5
𥓶	U+254F6 (U+254F6)	f0a593b6
𥓷	U+254F7 (U+254F7)	f0a593b7
𥓸	U+254F8 (U+254F8)	f0a593b8
𥓹	U+254F9 (U+254F9)	f0a593b9
𥓺	U+254FA (U+254FA)	f0a593ba
𥓻	U+254FB (U+254FB)	f0a593bb
𥓼	U+254FC (U+254FC)	f0a593bc
𥓽	U+254FD (U+254FD)	f0a593bd
𥓾	U+254FE (U+254FE)	f0a593be
𥓿	stone roller, weight (U+254FF)	f0a593bf
𥔀	roar, crash (U+25500)	f0a59480
𥔁	U+25501 (U+25501)	f0a59481
𥔂	U+25502 (U+25502)	f0a59482
𥔃	U+25503 (U+25503)	f0a59483
𥔄	U+25504 (U+25504)	f0a59484
𥔅	U+25505 (U+25505)	f0a59485
𥔆	U+25506 (U+25506)	f0a59486
𥔇	U+25507 (U+25507)	f0a59487
𥔈	U+25508 (U+25508)	f0a59488
𥔉	U+25509 (U+25509)	f0a59489
𥔊	U+2550A (U+2550A)	f0a5948a
𥔋	U+2550B (U+2550B)	f0a5948b
𥔌	U+2550C (U+2550C)	f0a5948c
𥔍	U+2550D (U+2550D)	f0a5948d
𥔎	U+2550E (U+2550E)	f0a5948e
𥔏	U+2550F (U+2550F)	f0a5948f
𥔐	U+25510 (U+25510)	f0a59490
𥔑	U+25511 (U+25511)	f0a59491
𥔒	U+25512 (U+25512)	f0a59492
𥔓	U+25513 (U+25513)	f0a59493
𥔔	U+25514 (U+25514)	f0a59494
𥔕	U+25515 (U+25515)	f0a59495
𥔖	U+25516 (U+25516)	f0a59496
𥔗	U+25517 (U+25517)	f0a59497
𥔘	U+25518 (U+25518)	f0a59498
𥔙	U+25519 (U+25519)	f0a59499
𥔚	U+2551A (U+2551A)	f0a5949a
𥔛	U+2551B (U+2551B)	f0a5949b
𥔜	U+2551C (U+2551C)	f0a5949c
𥔝	U+2551D (U+2551D)	f0a5949d
𥔞	U+2551E (U+2551E)	f0a5949e
𥔟	U+2551F (U+2551F)	f0a5949f
𥔠	U+25520 (U+25520)	f0a594a0
𥔡	U+25521 (U+25521)	f0a594a1
𥔢	U+25522 (U+25522)	f0a594a2
𥔣	U+25523 (U+25523)	f0a594a3
𥔤	U+25524 (U+25524)	f0a594a4
𥔥	U+25525 (U+25525)	f0a594a5
𥔦	U+25526 (U+25526)	f0a594a6
𥔧	U+25527 (U+25527)	f0a594a7
𥔨	U+25528 (U+25528)	f0a594a8
𥔩	U+25529 (U+25529)	f0a594a9
𥔪	U+2552A (U+2552A)	f0a594aa
𥔫	U+2552B (U+2552B)	f0a594ab
𥔬	U+2552C (U+2552C)	f0a594ac
𥔭	U+2552D (U+2552D)	f0a594ad
𥔮	U+2552E (U+2552E)	f0a594ae
𥔯	U+2552F (U+2552F)	f0a594af
𥔰	U+25530 (U+25530)	f0a594b0
𥔱	(Cant.) to slip (U+25531)	f0a594b1
𥔲	U+25532 (U+25532)	f0a594b2
𥔳	U+25533 (U+25533)	f0a594b3
𥔴	U+25534 (U+25534)	f0a594b4
𥔵	variant of 磁 U+78C1, magnetic; magnetism; procelain (U+25535)	f0a594b5
𥔶	U+25536 (U+25536)	f0a594b6
𥔷	U+25537 (U+25537)	f0a594b7
𥔸	U+25538 (U+25538)	f0a594b8
𥔹	U+25539 (U+25539)	f0a594b9
𥔺	U+2553A (U+2553A)	f0a594ba
𥔻	U+2553B (U+2553B)	f0a594bb
𥔼	U+2553C (U+2553C)	f0a594bc
𥔽	U+2553D (U+2553D)	f0a594bd
𥔾	U+2553E (U+2553E)	f0a594be
𥔿	(Cant.) classifier for cannons, large guns, etc. (U+2553F)	f0a594bf
𥕀	U+25540 (U+25540)	f0a59580
𥕁	U+25541 (U+25541)	f0a59581
𥕂	U+25542 (U+25542)	f0a59582
𥕃	U+25543 (U+25543)	f0a59583
𥕄	U+25544 (U+25544)	f0a59584
𥕅	U+25545 (U+25545)	f0a59585
𥕆	U+25546 (U+25546)	f0a59586
𥕇	U+25547 (U+25547)	f0a59587
𥕈	U+25548 (U+25548)	f0a59588
𥕉	U+25549 (U+25549)	f0a59589
𥕊	U+2554A (U+2554A)	f0a5958a
𥕋	U+2554B (U+2554B)	f0a5958b
𥕌	U+2554C (U+2554C)	f0a5958c
𥕍	U+2554D (U+2554D)	f0a5958d
𥕎	U+2554E (U+2554E)	f0a5958e
𥕏	U+2554F (U+2554F)	f0a5958f
𥕐	U+25550 (U+25550)	f0a59590
𥕑	U+25551 (U+25551)	f0a59591
𥕒	U+25552 (U+25552)	f0a59592
𥕓	U+25553 (U+25553)	f0a59593
𥕔	U+25554 (U+25554)	f0a59594
𥕕	U+25555 (U+25555)	f0a59595
𥕖	U+25556 (U+25556)	f0a59596
𥕗	U+25557 (U+25557)	f0a59597
𥕘	U+25558 (U+25558)	f0a59598
𥕙	U+25559 (U+25559)	f0a59599
𥕚	U+2555A (U+2555A)	f0a5959a
𥕛	U+2555B (U+2555B)	f0a5959b
𥕜	U+2555C (U+2555C)	f0a5959c
𥕝	U+2555D (U+2555D)	f0a5959d
𥕞	U+2555E (U+2555E)	f0a5959e
𥕟	U+2555F (U+2555F)	f0a5959f
𥕠	U+25560 (U+25560)	f0a595a0
𥕡	U+25561 (U+25561)	f0a595a1
𥕢	U+25562 (U+25562)	f0a595a2
𥕣	U+25563 (U+25563)	f0a595a3
𥕤	U+25564 (U+25564)	f0a595a4
𥕥	U+25565 (U+25565)	f0a595a5
𥕦	U+25566 (U+25566)	f0a595a6
𥕧	U+25567 (U+25567)	f0a595a7
𥕨	U+25568 (U+25568)	f0a595a8
𥕩	U+25569 (U+25569)	f0a595a9
𥕪	U+2556A (U+2556A)	f0a595aa
𥕫	U+2556B (U+2556B)	f0a595ab
𥕬	U+2556C (U+2556C)	f0a595ac
𥕭	U+2556D (U+2556D)	f0a595ad
𥕮	U+2556E (U+2556E)	f0a595ae
𥕯	U+2556F (U+2556F)	f0a595af
𥕰	U+25570 (U+25570)	f0a595b0
𥕱	U+25571 (U+25571)	f0a595b1
𥕲	U+25572 (U+25572)	f0a595b2
𥕳	U+25573 (U+25573)	f0a595b3
𥕴	U+25574 (U+25574)	f0a595b4
𥕵	U+25575 (U+25575)	f0a595b5
𥕶	U+25576 (U+25576)	f0a595b6
𥕷	U+25577 (U+25577)	f0a595b7
𥕸	U+25578 (U+25578)	f0a595b8
𥕹	U+25579 (U+25579)	f0a595b9
𥕺	U+2557A (U+2557A)	f0a595ba
𥕻	U+2557B (U+2557B)	f0a595bb
𥕼	U+2557C (U+2557C)	f0a595bc
𥕽	U+2557D (U+2557D)	f0a595bd
𥕾	U+2557E (U+2557E)	f0a595be
𥕿	U+2557F (U+2557F)	f0a595bf
𥖀	U+25580 (U+25580)	f0a59680
𥖁	U+25581 (U+25581)	f0a59681
𥖂	U+25582 (U+25582)	f0a59682
𥖃	U+25583 (U+25583)	f0a59683
𥖄	U+25584 (U+25584)	f0a59684
𥖅	U+25585 (U+25585)	f0a59685
𥖆	U+25586 (U+25586)	f0a59686
𥖇	U+25587 (U+25587)	f0a59687
𥖈	U+25588 (U+25588)	f0a59688
𥖉	U+25589 (U+25589)	f0a59689
𥖊	U+2558A (U+2558A)	f0a5968a
𥖋	U+2558B (U+2558B)	f0a5968b
𥖌	U+2558C (U+2558C)	f0a5968c
𥖍	U+2558D (U+2558D)	f0a5968d
𥖎	U+2558E (U+2558E)	f0a5968e
𥖏	U+2558F (U+2558F)	f0a5968f
𥖐	U+25590 (U+25590)	f0a59690
𥖑	U+25591 (U+25591)	f0a59691
𥖒	U+25592 (U+25592)	f0a59692
𥖓	U+25593 (U+25593)	f0a59693
𥖔	U+25594 (U+25594)	f0a59694
𥖕	U+25595 (U+25595)	f0a59695
𥖖	U+25596 (U+25596)	f0a59696
𥖗	U+25597 (U+25597)	f0a59697
𥖘	U+25598 (U+25598)	f0a59698
𥖙	U+25599 (U+25599)	f0a59699
𥖚	U+2559A (U+2559A)	f0a5969a
𥖛	U+2559B (U+2559B)	f0a5969b
𥖜	U+2559C (U+2559C)	f0a5969c
𥖝	U+2559D (U+2559D)	f0a5969d
𥖞	U+2559E (U+2559E)	f0a5969e
𥖟	U+2559F (U+2559F)	f0a5969f
𥖠	U+255A0 (U+255A0)	f0a596a0
𥖡	U+255A1 (U+255A1)	f0a596a1
𥖢	U+255A2 (U+255A2)	f0a596a2
