𢀶	U+22036 (U+22036)	f0a280b6
𢀷	U+22037 (U+22037)	f0a280b7
𢀸	U+22038 (U+22038)	f0a280b8
𢀹	U+22039 (U+22039)	f0a280b9
𢀺	U+2203A (U+2203A)	f0a280ba
𢀻	U+2203B (U+2203B)	f0a280bb
𢀼	U+2203C (U+2203C)	f0a280bc
𢀽	U+2203D (U+2203D)	f0a280bd
𢀾	U+2203E (U+2203E)	f0a280be
𢀿	U+2203F (U+2203F)	f0a280bf
𢁀	U+22040 (U+22040)	f0a28180
𢁁	U+22041 (U+22041)	f0a28181
𢁂	U+22042 (U+22042)	f0a28182
𢁃	U+22043 (U+22043)	f0a28183
𢁄	U+22044 (U+22044)	f0a28184
𢁅	U+22045 (U+22045)	f0a28185
𢁆	U+22046 (U+22046)	f0a28186
𢁇	U+22047 (U+22047)	f0a28187
𢁈	U+22048 (U+22048)	f0a28188
𢁉	U+22049 (U+22049)	f0a28189
𢁊	U+2204A (U+2204A)	f0a2818a
𢁋	U+2204B (U+2204B)	f0a2818b
𢁌	U+2204C (U+2204C)	f0a2818c
𢁍	U+2204D (U+2204D)	f0a2818d
𢁎	U+2204E (U+2204E)	f0a2818e
𢁏	U+2204F (U+2204F)	f0a2818f
𢁐	U+22050 (U+22050)	f0a28190
𢁑	U+22051 (U+22051)	f0a28191
𢁒	U+22052 (U+22052)	f0a28192
𢁓	U+22053 (U+22053)	f0a28193
𢁔	U+22054 (U+22054)	f0a28194
𢁕	U+22055 (U+22055)	f0a28195
𢁖	U+22056 (U+22056)	f0a28196
𢁗	U+22057 (U+22057)	f0a28197
𢁘	U+22058 (U+22058)	f0a28198
𢁙	U+22059 (U+22059)	f0a28199
𢁚	U+2205A (U+2205A)	f0a2819a
𢁛	U+2205B (U+2205B)	f0a2819b
𢁜	U+2205C (U+2205C)	f0a2819c
𢁝	U+2205D (U+2205D)	f0a2819d
𢁞	U+2205E (U+2205E)	f0a2819e
𢁟	U+2205F (U+2205F)	f0a2819f
𢁠	U+22060 (U+22060)	f0a281a0
𢁡	U+22061 (U+22061)	f0a281a1
𢁢	U+22062 (U+22062)	f0a281a2
𢁣	U+22063 (U+22063)	f0a281a3
𢁤	U+22064 (U+22064)	f0a281a4
𢁥	U+22065 (U+22065)	f0a281a5
𢁦	U+22066 (U+22066)	f0a281a6
𢁧	U+22067 (U+22067)	f0a281a7
𢁨	U+22068 (U+22068)	f0a281a8
𢁩	U+22069 (U+22069)	f0a281a9
𢁪	U+2206A (U+2206A)	f0a281aa
𢁫	U+2206B (U+2206B)	f0a281ab
𢁬	U+2206C (U+2206C)	f0a281ac
𢁭	U+2206D (U+2206D)	f0a281ad
𢁮	U+2206E (U+2206E)	f0a281ae
𢁯	U+2206F (U+2206F)	f0a281af
𢁰	U+22070 (U+22070)	f0a281b0
𢁱	U+22071 (U+22071)	f0a281b1
𢁲	U+22072 (U+22072)	f0a281b2
𢁳	U+22073 (U+22073)	f0a281b3
𢁴	U+22074 (U+22074)	f0a281b4
𢁵	U+22075 (U+22075)	f0a281b5
𢁶	U+22076 (U+22076)	f0a281b6
𢁷	U+22077 (U+22077)	f0a281b7
𢁸	U+22078 (U+22078)	f0a281b8
𢁹	U+22079 (U+22079)	f0a281b9
𢁺	U+2207A (U+2207A)	f0a281ba
𢁻	U+2207B (U+2207B)	f0a281bb
𢁼	U+2207C (U+2207C)	f0a281bc
𢁽	U+2207D (U+2207D)	f0a281bd
𢁾	U+2207E (U+2207E)	f0a281be
𢁿	U+2207F (U+2207F)	f0a281bf
𢂀	U+22080 (U+22080)	f0a28280
𢂁	U+22081 (U+22081)	f0a28281
𢂂	U+22082 (U+22082)	f0a28282
𢂃	U+22083 (U+22083)	f0a28283
𢂄	U+22084 (U+22084)	f0a28284
𢂅	U+22085 (U+22085)	f0a28285
𢂆	U+22086 (U+22086)	f0a28286
𢂇	U+22087 (U+22087)	f0a28287
𢂈	U+22088 (U+22088)	f0a28288
𢂉	U+22089 (U+22089)	f0a28289
𢂊	U+2208A (U+2208A)	f0a2828a
𢂋	U+2208B (U+2208B)	f0a2828b
𢂌	U+2208C (U+2208C)	f0a2828c
𢂍	U+2208D (U+2208D)	f0a2828d
𢂎	U+2208E (U+2208E)	f0a2828e
𢂏	U+2208F (U+2208F)	f0a2828f
𢂐	U+22090 (U+22090)	f0a28290
𢂑	to wipe , rub clean (U+22091)	f0a28291
𢂒	U+22092 (U+22092)	f0a28292
𢂓	U+22093 (U+22093)	f0a28293
𢂔	U+22094 (U+22094)	f0a28294
𢂕	U+22095 (U+22095)	f0a28295
𢂖	U+22096 (U+22096)	f0a28296
𢂗	U+22097 (U+22097)	f0a28297
𢂘	U+22098 (U+22098)	f0a28298
𢂙	U+22099 (U+22099)	f0a28299
𢂚	U+2209A (U+2209A)	f0a2829a
𢂛	U+2209B (U+2209B)	f0a2829b
𢂜	U+2209C (U+2209C)	f0a2829c
𢂝	U+2209D (U+2209D)	f0a2829d
𢂞	U+2209E (U+2209E)	f0a2829e
𢂟	U+2209F (U+2209F)	f0a2829f
𢂠	U+220A0 (U+220A0)	f0a282a0
𢂡	U+220A1 (U+220A1)	f0a282a1
𢂢	U+220A2 (U+220A2)	f0a282a2
𢂣	U+220A3 (U+220A3)	f0a282a3
𢂤	U+220A4 (U+220A4)	f0a282a4
𢂥	U+220A5 (U+220A5)	f0a282a5
𢂦	U+220A6 (U+220A6)	f0a282a6
𢂧	U+220A7 (U+220A7)	f0a282a7
𢂨	U+220A8 (U+220A8)	f0a282a8
𢂩	U+220A9 (U+220A9)	f0a282a9
𢂪	U+220AA (U+220AA)	f0a282aa
𢂫	U+220AB (U+220AB)	f0a282ab
𢂬	U+220AC (U+220AC)	f0a282ac
𢂭	U+220AD (U+220AD)	f0a282ad
𢂮	U+220AE (U+220AE)	f0a282ae
𢂯	U+220AF (U+220AF)	f0a282af
𢂰	U+220B0 (U+220B0)	f0a282b0
𢂱	U+220B1 (U+220B1)	f0a282b1
𢂲	U+220B2 (U+220B2)	f0a282b2
𢂳	U+220B3 (U+220B3)	f0a282b3
𢂴	U+220B4 (U+220B4)	f0a282b4
𢂵	U+220B5 (U+220B5)	f0a282b5
