𩂵	U+290B5 (U+290B5)	f0a982b5
𩂶	U+290B6 (U+290B6)	f0a982b6
𩂷	U+290B7 (U+290B7)	f0a982b7
𩂸	U+290B8 (U+290B8)	f0a982b8
𩂹	U+290B9 (U+290B9)	f0a982b9
𩂺	U+290BA (U+290BA)	f0a982ba
𩂻	U+290BB (U+290BB)	f0a982bb
𩂼	U+290BC (U+290BC)	f0a982bc
𩂽	U+290BD (U+290BD)	f0a982bd
𩂾	U+290BE (U+290BE)	f0a982be
𩂿	U+290BF (U+290BF)	f0a982bf
𩃀	U+290C0 (U+290C0)	f0a98380
𩃁	U+290C1 (U+290C1)	f0a98381
𩃂	U+290C2 (U+290C2)	f0a98382
𩃃	U+290C3 (U+290C3)	f0a98383
𩃄	U+290C4 (U+290C4)	f0a98384
𩃅	U+290C5 (U+290C5)	f0a98385
𩃆	U+290C6 (U+290C6)	f0a98386
𩃇	U+290C7 (U+290C7)	f0a98387
𩃈	U+290C8 (U+290C8)	f0a98388
𩃉	U+290C9 (U+290C9)	f0a98389
𩃊	U+290CA (U+290CA)	f0a9838a
𩃋	U+290CB (U+290CB)	f0a9838b
𩃌	U+290CC (U+290CC)	f0a9838c
𩃍	U+290CD (U+290CD)	f0a9838d
𩃎	U+290CE (U+290CE)	f0a9838e
𩃏	U+290CF (U+290CF)	f0a9838f
𩃐	U+290D0 (U+290D0)	f0a98390
𩃑	U+290D1 (U+290D1)	f0a98391
𩃒	U+290D2 (U+290D2)	f0a98392
𩃓	U+290D3 (U+290D3)	f0a98393
𩃔	U+290D4 (U+290D4)	f0a98394
𩃕	U+290D5 (U+290D5)	f0a98395
𩃖	U+290D6 (U+290D6)	f0a98396
𩃗	U+290D7 (U+290D7)	f0a98397
𩃘	U+290D8 (U+290D8)	f0a98398
𩃙	U+290D9 (U+290D9)	f0a98399
𩃚	U+290DA (U+290DA)	f0a9839a
𩃛	U+290DB (U+290DB)	f0a9839b
𩃜	U+290DC (U+290DC)	f0a9839c
𩃝	U+290DD (U+290DD)	f0a9839d
𩃞	U+290DE (U+290DE)	f0a9839e
𩃟	U+290DF (U+290DF)	f0a9839f
𩃠	U+290E0 (U+290E0)	f0a983a0
𩃡	U+290E1 (U+290E1)	f0a983a1
𩃢	U+290E2 (U+290E2)	f0a983a2
𩃣	U+290E3 (U+290E3)	f0a983a3
𩃤	U+290E4 (U+290E4)	f0a983a4
𩃥	U+290E5 (U+290E5)	f0a983a5
𩃦	U+290E6 (U+290E6)	f0a983a6
𩃧	U+290E7 (U+290E7)	f0a983a7
𩃨	U+290E8 (U+290E8)	f0a983a8
𩃩	U+290E9 (U+290E9)	f0a983a9
𩃪	U+290EA (U+290EA)	f0a983aa
𩃫	U+290EB (U+290EB)	f0a983ab
𩃬	U+290EC (U+290EC)	f0a983ac
𩃭	U+290ED (U+290ED)	f0a983ad
𩃮	U+290EE (U+290EE)	f0a983ae
𩃯	U+290EF (U+290EF)	f0a983af
𩃰	U+290F0 (U+290F0)	f0a983b0
𩃱	U+290F1 (U+290F1)	f0a983b1
𩃲	U+290F2 (U+290F2)	f0a983b2
𩃳	U+290F3 (U+290F3)	f0a983b3
𩃴	U+290F4 (U+290F4)	f0a983b4
𩃵	U+290F5 (U+290F5)	f0a983b5
𩃶	U+290F6 (U+290F6)	f0a983b6
𩃷	U+290F7 (U+290F7)	f0a983b7
𩃸	U+290F8 (U+290F8)	f0a983b8
𩃹	U+290F9 (U+290F9)	f0a983b9
