𣒌	U+2348C (U+2348C)	f0a3928c
𣒍	U+2348D (U+2348D)	f0a3928d
𣒎	U+2348E (U+2348E)	f0a3928e
𣒏	U+2348F (U+2348F)	f0a3928f
𣒐	U+23490 (U+23490)	f0a39290
𣒑	U+23491 (U+23491)	f0a39291
𣒒	U+23492 (U+23492)	f0a39292
𣒓	U+23493 (U+23493)	f0a39293
𣒔	U+23494 (U+23494)	f0a39294
𣒕	U+23495 (U+23495)	f0a39295
𣒖	U+23496 (U+23496)	f0a39296
𣒗	U+23497 (U+23497)	f0a39297
𣒘	U+23498 (U+23498)	f0a39298
𣒙	U+23499 (U+23499)	f0a39299
𣒚	U+2349A (U+2349A)	f0a3929a
𣒛	U+2349B (U+2349B)	f0a3929b
𣒜	U+2349C (U+2349C)	f0a3929c
𣒝	U+2349D (U+2349D)	f0a3929d
𣒞	U+2349E (U+2349E)	f0a3929e
𣒟	U+2349F (U+2349F)	f0a3929f
𣒠	U+234A0 (U+234A0)	f0a392a0
𣒡	U+234A1 (U+234A1)	f0a392a1
𣒢	U+234A2 (U+234A2)	f0a392a2
𣒣	U+234A3 (U+234A3)	f0a392a3
𣒤	U+234A4 (U+234A4)	f0a392a4
𣒥	U+234A5 (U+234A5)	f0a392a5
𣒦	U+234A6 (U+234A6)	f0a392a6
𣒧	U+234A7 (U+234A7)	f0a392a7
𣒨	U+234A8 (U+234A8)	f0a392a8
𣒩	U+234A9 (U+234A9)	f0a392a9
𣒪	U+234AA (U+234AA)	f0a392aa
𣒫	U+234AB (U+234AB)	f0a392ab
𣒬	U+234AC (U+234AC)	f0a392ac
𣒭	U+234AD (U+234AD)	f0a392ad
𣒮	U+234AE (U+234AE)	f0a392ae
𣒯	U+234AF (U+234AF)	f0a392af
𣒰	U+234B0 (U+234B0)	f0a392b0
𣒱	U+234B1 (U+234B1)	f0a392b1
𣒲	U+234B2 (U+234B2)	f0a392b2
𣒳	U+234B3 (U+234B3)	f0a392b3
𣒴	U+234B4 (U+234B4)	f0a392b4
𣒵	U+234B5 (U+234B5)	f0a392b5
𣒶	U+234B6 (U+234B6)	f0a392b6
𣒷	U+234B7 (U+234B7)	f0a392b7
𣒸	U+234B8 (U+234B8)	f0a392b8
𣒹	U+234B9 (U+234B9)	f0a392b9
𣒺	U+234BA (U+234BA)	f0a392ba
𣒻	U+234BB (U+234BB)	f0a392bb
𣒼	U+234BC (U+234BC)	f0a392bc
𣒽	U+234BD (U+234BD)	f0a392bd
𣒾	U+234BE (U+234BE)	f0a392be
𣒿	U+234BF (U+234BF)	f0a392bf
𣓀	U+234C0 (U+234C0)	f0a39380
𣓁	U+234C1 (U+234C1)	f0a39381
𣓂	U+234C2 (U+234C2)	f0a39382
𣓃	U+234C3 (U+234C3)	f0a39383
𣓄	U+234C4 (U+234C4)	f0a39384
𣓅	U+234C5 (U+234C5)	f0a39385
𣓆	U+234C6 (U+234C6)	f0a39386
𣓇	U+234C7 (U+234C7)	f0a39387
𣓈	U+234C8 (U+234C8)	f0a39388
𣓉	U+234C9 (U+234C9)	f0a39389
𣓊	U+234CA (U+234CA)	f0a3938a
𣓋	U+234CB (U+234CB)	f0a3938b
𣓌	a well-sweep (U+234CC)	f0a3938c
𣓍	U+234CD (U+234CD)	f0a3938d
𣓎	U+234CE (U+234CE)	f0a3938e
𣓏	U+234CF (U+234CF)	f0a3938f
𣓐	U+234D0 (U+234D0)	f0a39390
𣓑	U+234D1 (U+234D1)	f0a39391
𣓒	U+234D2 (U+234D2)	f0a39392
𣓓	U+234D3 (U+234D3)	f0a39393
𣓔	U+234D4 (U+234D4)	f0a39394
𣓕	U+234D5 (U+234D5)	f0a39395
𣓖	U+234D6 (U+234D6)	f0a39396
𣓗	U+234D7 (U+234D7)	f0a39397
𣓘	U+234D8 (U+234D8)	f0a39398
𣓙	U+234D9 (U+234D9)	f0a39399
𣓚	U+234DA (U+234DA)	f0a3939a
𣓛	U+234DB (U+234DB)	f0a3939b
𣓜	U+234DC (U+234DC)	f0a3939c
𣓝	U+234DD (U+234DD)	f0a3939d
𣓞	U+234DE (U+234DE)	f0a3939e
𣓟	U+234DF (U+234DF)	f0a3939f
𣓠	U+234E0 (U+234E0)	f0a393a0
𣓡	U+234E1 (U+234E1)	f0a393a1
𣓢	U+234E2 (U+234E2)	f0a393a2
𣓣	U+234E3 (U+234E3)	f0a393a3
𣓤	U+234E4 (U+234E4)	f0a393a4
𣓥	U+234E5 (U+234E5)	f0a393a5
𣓦	U+234E6 (U+234E6)	f0a393a6
𣓧	U+234E7 (U+234E7)	f0a393a7
𣓨	U+234E8 (U+234E8)	f0a393a8
𣓩	U+234E9 (U+234E9)	f0a393a9
𣓪	U+234EA (U+234EA)	f0a393aa
𣓫	U+234EB (U+234EB)	f0a393ab
𣓬	U+234EC (U+234EC)	f0a393ac
𣓭	U+234ED (U+234ED)	f0a393ad
𣓮	U+234EE (U+234EE)	f0a393ae
𣓯	U+234EF (U+234EF)	f0a393af
𣓰	U+234F0 (U+234F0)	f0a393b0
𣓱	U+234F1 (U+234F1)	f0a393b1
𣓲	U+234F2 (U+234F2)	f0a393b2
𣓳	U+234F3 (U+234F3)	f0a393b3
𣓴	U+234F4 (U+234F4)	f0a393b4
𣓵	U+234F5 (U+234F5)	f0a393b5
𣓶	U+234F6 (U+234F6)	f0a393b6
𣓷	U+234F7 (U+234F7)	f0a393b7
𣓸	U+234F8 (U+234F8)	f0a393b8
𣓹	U+234F9 (U+234F9)	f0a393b9
𣓺	U+234FA (U+234FA)	f0a393ba
𣓻	U+234FB (U+234FB)	f0a393bb
𣓼	U+234FC (U+234FC)	f0a393bc
𣓽	U+234FD (U+234FD)	f0a393bd
𣓾	U+234FE (U+234FE)	f0a393be
𣓿	U+234FF (U+234FF)	f0a393bf
𣔀	U+23500 (U+23500)	f0a39480
𣔁	U+23501 (U+23501)	f0a39481
