琼	jade; rare, precious; elegant; (Cant.) to coagulate (U+743C)	e790bc
琽	U+743D (U+743D)	e790bd
琾	U+743E (U+743E)	e790be
琿	bright, glorious, splendid (U+743F)	e790bf
瑀	stone resembling jade; agate (U+7440)	e79180
瑁	fine piece of jade (U+7441)	e79181
瑂	U+7442 (U+7442)	e79182
瑃	U+7443 (U+7443)	e79183
瑄	a ornamental piece of jade several inches across with a hole in the center (U+7444)	e79184
瑅	U+7445 (U+7445)	e79185
瑆	U+7446 (U+7446)	e79186
瑇	tortoise shell (U+7447)	e79187
瑈	U+7448 (U+7448)	e79188
瑉	U+7449 (U+7449)	e79189
瑊	U+744A (U+744A)	e7918a
瑋	type of jade; rare, valuable (U+744B)	e7918b
瑌	a white opaque quartz used for ornaments (U+744C)	e7918c
瑍	U+744D (U+744D)	e7918d
瑎	U+744E (U+744E)	e7918e
瑏	U+744F (U+744F)	e7918f
瑐	U+7450 (U+7450)	e79190
瑑	carve, engrave, cut out, sculpt (U+7451)	e79191
瑒	U+7452 (U+7452)	e79192
瑓	U+7453 (U+7453)	e79193
瑔	U+7454 (U+7454)	e79194
瑕	flaw in gem; fault, defect (U+7455)	e79195
瑖	U+7456 (U+7456)	e79196
瑗	large ring of fine jade (U+7457)	e79197
瑘	U+7458 (U+7458)	e79198
瑙	agate; cornelian (U+7459)	e79199
瑚	coral; person of virtue (U+745A)	e7919a
瑛	luster of gem; crystal (U+745B)	e7919b
瑜	flawless gem or jewel (U+745C)	e7919c
瑝	U+745D (U+745D)	e7919d
瑞	felicitous omen; auspicious (U+745E)	e7919e
瑟	large stringed musical instrument; dignified, massive; sound of wind (U+745F)	e7919f
瑠	precious stone (U+7460)	e791a0
瑡	U+7461 (U+7461)	e791a1
瑢	gem ornaments for belts (U+7462)	e791a2
瑣	fragments; trifling, petty; troublesome (U+7463)	e791a3
瑤	precious jade (U+7464)	e791a4
瑥	U+7465 (U+7465)	e791a5
瑦	U+7466 (U+7466)	e791a6
瑧	U+7467 (U+7467)	e791a7
瑨	jade look alike stone (U+7468)	e791a8
瑩	lustre of gems; bright, lustrous (U+7469)	e791a9
瑪	agate; cornelian (U+746A)	e791aa
瑫	U+746B (U+746B)	e791ab
瑬	U+746C (U+746C)	e791ac
瑭	a kind of jade (U+746D)	e791ad
瑮	U+746E (U+746E)	e791ae
瑯	kind of white cornelian (U+746F)	e791af
瑰	extraordinary, fabulous; rose (U+7470)	e791b0
瑱	a gem used as ear plug; a jade earring (U+7471)	e791b1
瑲	tinkling sound tinkling of pendant gems (U+7472)	e791b2
瑳	luster of gem; lustrous, bright (U+7473)	e791b3
瑴	twin gems (U+7474)	e791b4
瑵	U+7475 (U+7475)	e791b5
瑶	precious jade (U+7476)	e791b6
瑷	fine quality jade (U+7477)	e791b7
瑸	U+7478 (U+7478)	e791b8
瑹	U+7479 (U+7479)	e791b9
瑺	U+747A (U+747A)	e791ba
瑻	U+747B (U+747B)	e791bb
瑼	U+747C (U+747C)	e791bc
瑽	tinkling of jade pendants (U+747D)	e791bd
瑾	brilliance of gems; fine jade (U+747E)	e791be
瑿	a black stone like jade; jet (U+747F)	e791bf
璀	lustre of gems; glitter; shine (U+7480)	e79280
璁	turquoise (U+7481)	e79281
璂	jade ornament (U+7482)	e79282
璃	glass (U+7483)	e79283
璄	U+7484 (U+7484)	e79284
璅	gem (U+7485)	e79285
璆	beautiful jade; tinkle (U+7486)	e79286
璇	beautiful jade; star (U+7487)	e79287
璈	ancient musical instrument (U+7488)	e79288
璉	a vessel used hold grain offerings (U+7489)	e79289
璊	reddish (U+748A)	e7928a
璋	jade plaything; jade ornament (U+748B)	e7928b
璌	U+748C (U+748C)	e7928c
璍	U+748D (U+748D)	e7928d
璎	a necklace made of precious stones (U+748E)	e7928e
璏	U+748F (U+748F)	e7928f
璐	beautiful variety of jade (U+7490)	e79290
璑	U+7491 (U+7491)	e79291
璒	U+7492 (U+7492)	e79292
璓	U+7493 (U+7493)	e79293
璔	U+7494 (U+7494)	e79294
璕	U+7495 (U+7495)	e79295
璖	U+7496 (U+7496)	e79296
璗	U+7497 (U+7497)	e79297
璘	luster of jade (U+7498)	e79298
璙	U+7499 (U+7499)	e79299
璚	splendid (U+749A)	e7929a
璛	U+749B (U+749B)	e7929b
璜	a semicircular jade ornament used as a pendant (U+749C)	e7929c
璝	U+749D (U+749D)	e7929d
璞	unpolished gem, uncarved gem (U+749E)	e7929e
璟	luster of gem (U+749F)	e7929f
璠	a piece of precious jade (U+74A0)	e792a0
璡	jade look alike stone (U+74A1)	e792a1
璢	precious stone (U+74A2)	e792a2
璣	pearl that is not quite round (U+74A3)	e792a3
璤	U+74A4 (U+74A4)	e792a4
璥	a kind of jade (U+74A5)	e792a5
璦	fine quality jade (U+74A6)	e792a6
璧	piece of jade with hole in it (U+74A7)	e792a7
璨	gems; luster of gems; lustrous (U+74A8)	e792a8
璩	jade ring; earrings; surname (U+74A9)	e792a9
璪	pearl pendants on coronet (U+74AA)	e792aa
璫	pendant ornaments, earrings (U+74AB)	e792ab
璬	U+74AC (U+74AC)	e792ac
璭	U+74AD (U+74AD)	e792ad
璮	U+74AE (U+74AE)	e792ae
璯	U+74AF (U+74AF)	e792af
環	jade ring or bracelet; ring (U+74B0)	e792b0
璱	U+74B1 (U+74B1)	e792b1
璲	pendant girdle ornament (U+74B2)	e792b2
璳	U+74B3 (U+74B3)	e792b3
璴	U+74B4 (U+74B4)	e792b4
璵	beautiful jade (U+74B5)	e792b5
璶	U+74B6 (U+74B6)	e792b6
璷	U+74B7 (U+74B7)	e792b7
璸	jade's streaks (U+74B8)	e792b8
璹	U+74B9 (U+74B9)	e792b9
璺	a crack, as in porcelain (U+74BA)	e792ba
璻	U+74BB (U+74BB)	e792bb
璼	U+74BC (U+74BC)	e792bc
璽	imperial signet, royal signet (U+74BD)	e792bd
璾	U+74BE (U+74BE)	e792be
璿	fine jade (U+74BF)	e792bf
瓀	gem (U+74C0)	e79380
瓁	U+74C1 (U+74C1)	e79381
瓂	U+74C2 (U+74C2)	e79382
瓃	U+74C3 (U+74C3)	e79383
瓄	U+74C4 (U+74C4)	e79384
瓅	U+74C5 (U+74C5)	e79385
瓆	U+74C6 (U+74C6)	e79386
瓇	U+74C7 (U+74C7)	e79387
瓈	glass (U+74C8)	e79388
瓉	U+74C9 (U+74C9)	e79389
瓊	jade; rare, precious; elegant (U+74CA)	e7938a
瓋	U+74CB (U+74CB)	e7938b
瓌	extraordinary, fabulous (U+74CC)	e7938c
瓍	U+74CD (U+74CD)	e7938d
瓎	U+74CE (U+74CE)	e7938e
瓏	a gem cut like dragon (U+74CF)	e7938f
瓐	U+74D0 (U+74D0)	e79390
瓑	U+74D1 (U+74D1)	e79391
瓒	ceremonial libation cup (U+74D2)	e79392
瓓	U+74D3 (U+74D3)	e79393
瓔	a necklace made of precious stones (U+74D4)	e79394
瓕	U+74D5 (U+74D5)	e79395
瓖	inlay (U+74D6)	e79396
瓗	U+74D7 (U+74D7)	e79397
瓘	jade (U+74D8)	e79398
瓙	U+74D9 (U+74D9)	e79399
