𨓐	U+284D0 (U+284D0)	f0a89390
𨓑	U+284D1 (U+284D1)	f0a89391
𨓒	U+284D2 (U+284D2)	f0a89392
𨓓	U+284D3 (U+284D3)	f0a89393
𨓔	U+284D4 (U+284D4)	f0a89394
𨓕	U+284D5 (U+284D5)	f0a89395
𨓖	U+284D6 (U+284D6)	f0a89396
𨓗	U+284D7 (U+284D7)	f0a89397
𨓘	U+284D8 (U+284D8)	f0a89398
𨓙	U+284D9 (U+284D9)	f0a89399
𨓚	U+284DA (U+284DA)	f0a8939a
𨓛	U+284DB (U+284DB)	f0a8939b
𨓜	U+284DC (U+284DC)	f0a8939c
𨓝	U+284DD (U+284DD)	f0a8939d
𨓞	U+284DE (U+284DE)	f0a8939e
𨓟	U+284DF (U+284DF)	f0a8939f
𨓠	U+284E0 (U+284E0)	f0a893a0
𨓡	U+284E1 (U+284E1)	f0a893a1
𨓢	U+284E2 (U+284E2)	f0a893a2
𨓣	U+284E3 (U+284E3)	f0a893a3
𨓤	U+284E4 (U+284E4)	f0a893a4
𨓥	U+284E5 (U+284E5)	f0a893a5
𨓦	U+284E6 (U+284E6)	f0a893a6
𨓧	U+284E7 (U+284E7)	f0a893a7
𨓨	U+284E8 (U+284E8)	f0a893a8
𨓩	U+284E9 (U+284E9)	f0a893a9
𨓪	U+284EA (U+284EA)	f0a893aa
𨓫	U+284EB (U+284EB)	f0a893ab
𨓬	U+284EC (U+284EC)	f0a893ac
𨓭	U+284ED (U+284ED)	f0a893ad
𨓮	U+284EE (U+284EE)	f0a893ae
𨓯	U+284EF (U+284EF)	f0a893af
𨓰	U+284F0 (U+284F0)	f0a893b0
𨓱	U+284F1 (U+284F1)	f0a893b1
𨓲	U+284F2 (U+284F2)	f0a893b2
𨓳	U+284F3 (U+284F3)	f0a893b3
𨓴	U+284F4 (U+284F4)	f0a893b4
𨓵	U+284F5 (U+284F5)	f0a893b5
𨓶	U+284F6 (U+284F6)	f0a893b6
𨓷	U+284F7 (U+284F7)	f0a893b7
𨓸	U+284F8 (U+284F8)	f0a893b8
𨓹	U+284F9 (U+284F9)	f0a893b9
𨓺	U+284FA (U+284FA)	f0a893ba
𨓻	U+284FB (U+284FB)	f0a893bb
𨓼	U+284FC (U+284FC)	f0a893bc
𨓽	U+284FD (U+284FD)	f0a893bd
𨓾	U+284FE (U+284FE)	f0a893be
𨓿	U+284FF (U+284FF)	f0a893bf
𨔀	U+28500 (U+28500)	f0a89480
𨔁	U+28501 (U+28501)	f0a89481
𨔂	U+28502 (U+28502)	f0a89482
𨔃	U+28503 (U+28503)	f0a89483
𨔄	U+28504 (U+28504)	f0a89484
𨔅	U+28505 (U+28505)	f0a89485
𨔆	U+28506 (U+28506)	f0a89486
𨔇	U+28507 (U+28507)	f0a89487
𨔈	U+28508 (U+28508)	f0a89488
𨔉	U+28509 (U+28509)	f0a89489
𨔊	U+2850A (U+2850A)	f0a8948a
𨔋	U+2850B (U+2850B)	f0a8948b
𨔌	U+2850C (U+2850C)	f0a8948c
𨔍	U+2850D (U+2850D)	f0a8948d
𨔎	U+2850E (U+2850E)	f0a8948e
𨔏	U+2850F (U+2850F)	f0a8948f
𨔐	U+28510 (U+28510)	f0a89490
𨔑	U+28511 (U+28511)	f0a89491
𨔒	U+28512 (U+28512)	f0a89492
𨔓	U+28513 (U+28513)	f0a89493
𨔔	U+28514 (U+28514)	f0a89494
𨔕	U+28515 (U+28515)	f0a89495
𨔖	U+28516 (U+28516)	f0a89496
𨔗	U+28517 (U+28517)	f0a89497
𨔘	U+28518 (U+28518)	f0a89498
𨔙	U+28519 (U+28519)	f0a89499
𨔚	U+2851A (U+2851A)	f0a8949a
𨔛	U+2851B (U+2851B)	f0a8949b
𨔜	U+2851C (U+2851C)	f0a8949c
𨔝	U+2851D (U+2851D)	f0a8949d
𨔞	U+2851E (U+2851E)	f0a8949e
𨔟	U+2851F (U+2851F)	f0a8949f
𨔠	U+28520 (U+28520)	f0a894a0
𨔡	U+28521 (U+28521)	f0a894a1
𨔢	U+28522 (U+28522)	f0a894a2
𨔣	U+28523 (U+28523)	f0a894a3
𨔤	U+28524 (U+28524)	f0a894a4
𨔥	U+28525 (U+28525)	f0a894a5
𨔦	U+28526 (U+28526)	f0a894a6
𨔧	U+28527 (U+28527)	f0a894a7
𨔨	U+28528 (U+28528)	f0a894a8
𨔩	U+28529 (U+28529)	f0a894a9
𨔪	U+2852A (U+2852A)	f0a894aa
𨔫	U+2852B (U+2852B)	f0a894ab
𨔬	U+2852C (U+2852C)	f0a894ac
𨔭	U+2852D (U+2852D)	f0a894ad
𨔮	U+2852E (U+2852E)	f0a894ae
𨔯	U+2852F (U+2852F)	f0a894af
𨔰	U+28530 (U+28530)	f0a894b0
𨔱	U+28531 (U+28531)	f0a894b1
𨔲	U+28532 (U+28532)	f0a894b2
𨔳	U+28533 (U+28533)	f0a894b3
𨔴	U+28534 (U+28534)	f0a894b4
𨔵	U+28535 (U+28535)	f0a894b5
𨔶	U+28536 (U+28536)	f0a894b6
𨔷	U+28537 (U+28537)	f0a894b7
𨔸	U+28538 (U+28538)	f0a894b8
𨔹	U+28539 (U+28539)	f0a894b9
𨔺	U+2853A (U+2853A)	f0a894ba
𨔻	U+2853B (U+2853B)	f0a894bb
𨔼	U+2853C (U+2853C)	f0a894bc
𨔽	U+2853D (U+2853D)	f0a894bd
𨔾	U+2853E (U+2853E)	f0a894be
𨔿	U+2853F (U+2853F)	f0a894bf
𨕀	U+28540 (U+28540)	f0a89580
𨕁	U+28541 (U+28541)	f0a89581
𨕂	U+28542 (U+28542)	f0a89582
𨕃	U+28543 (U+28543)	f0a89583
𨕄	U+28544 (U+28544)	f0a89584
𨕅	U+28545 (U+28545)	f0a89585
𨕆	U+28546 (U+28546)	f0a89586
𨕇	U+28547 (U+28547)	f0a89587
𨕈	U+28548 (U+28548)	f0a89588
𨕉	U+28549 (U+28549)	f0a89589
𨕊	U+2854A (U+2854A)	f0a8958a
𨕋	U+2854B (U+2854B)	f0a8958b
𨕌	U+2854C (U+2854C)	f0a8958c
𨕍	U+2854D (U+2854D)	f0a8958d
𨕎	U+2854E (U+2854E)	f0a8958e
𨕏	U+2854F (U+2854F)	f0a8958f
𨕐	U+28550 (U+28550)	f0a89590
𨕑	U+28551 (U+28551)	f0a89591
𨕒	U+28552 (U+28552)	f0a89592
𨕓	U+28553 (U+28553)	f0a89593
𨕔	U+28554 (U+28554)	f0a89594
𨕕	U+28555 (U+28555)	f0a89595
𨕖	U+28556 (U+28556)	f0a89596
𨕗	U+28557 (U+28557)	f0a89597
𨕘	U+28558 (U+28558)	f0a89598
𨕙	U+28559 (U+28559)	f0a89599
𨕚	U+2855A (U+2855A)	f0a8959a
𨕛	U+2855B (U+2855B)	f0a8959b
𨕜	U+2855C (U+2855C)	f0a8959c
𨕝	U+2855D (U+2855D)	f0a8959d
𨕞	U+2855E (U+2855E)	f0a8959e
𨕟	U+2855F (U+2855F)	f0a8959f
𨕠	U+28560 (U+28560)	f0a895a0
𨕡	U+28561 (U+28561)	f0a895a1
𨕢	U+28562 (U+28562)	f0a895a2
𨕣	U+28563 (U+28563)	f0a895a3
𨕤	U+28564 (U+28564)	f0a895a4
𨕥	U+28565 (U+28565)	f0a895a5
𨕦	U+28566 (U+28566)	f0a895a6
𨕧	U+28567 (U+28567)	f0a895a7
𨕨	U+28568 (U+28568)	f0a895a8
𨕩	U+28569 (U+28569)	f0a895a9
𨕪	U+2856A (U+2856A)	f0a895aa
𨕫	U+2856B (U+2856B)	f0a895ab
𨕬	U+2856C (U+2856C)	f0a895ac
𨕭	U+2856D (U+2856D)	f0a895ad
𨕮	U+2856E (U+2856E)	f0a895ae
𨕯	U+2856F (U+2856F)	f0a895af
𨕰	U+28570 (U+28570)	f0a895b0
𨕱	U+28571 (U+28571)	f0a895b1
𨕲	U+28572 (U+28572)	f0a895b2
𨕳	U+28573 (U+28573)	f0a895b3
𨕴	U+28574 (U+28574)	f0a895b4
𨕵	U+28575 (U+28575)	f0a895b5
𨕶	U+28576 (U+28576)	f0a895b6
𨕷	U+28577 (U+28577)	f0a895b7
𨕸	U+28578 (U+28578)	f0a895b8
𨕹	U+28579 (U+28579)	f0a895b9
𨕺	U+2857A (U+2857A)	f0a895ba
𨕻	U+2857B (U+2857B)	f0a895bb
𨕼	U+2857C (U+2857C)	f0a895bc
𨕽	U+2857D (U+2857D)	f0a895bd
𨕾	U+2857E (U+2857E)	f0a895be
𨕿	U+2857F (U+2857F)	f0a895bf
𨖀	U+28580 (U+28580)	f0a89680
𨖁	U+28581 (U+28581)	f0a89681
𨖂	U+28582 (U+28582)	f0a89682
𨖃	U+28583 (U+28583)	f0a89683
𨖄	U+28584 (U+28584)	f0a89684
𨖅	U+28585 (U+28585)	f0a89685
𨖆	U+28586 (U+28586)	f0a89686
𨖇	U+28587 (U+28587)	f0a89687
𨖈	U+28588 (U+28588)	f0a89688
𨖉	U+28589 (U+28589)	f0a89689
𨖊	U+2858A (U+2858A)	f0a8968a
𨖋	U+2858B (U+2858B)	f0a8968b
𨖌	U+2858C (U+2858C)	f0a8968c
𨖍	U+2858D (U+2858D)	f0a8968d
𨖎	U+2858E (U+2858E)	f0a8968e
𨖏	U+2858F (U+2858F)	f0a8968f
𨖐	U+28590 (U+28590)	f0a89690
𨖑	U+28591 (U+28591)	f0a89691
𨖒	U+28592 (U+28592)	f0a89692
𨖓	U+28593 (U+28593)	f0a89693
𨖔	U+28594 (U+28594)	f0a89694
𨖕	U+28595 (U+28595)	f0a89695
𨖖	U+28596 (U+28596)	f0a89696
𨖗	U+28597 (U+28597)	f0a89697
𨖘	U+28598 (U+28598)	f0a89698
𨖙	U+28599 (U+28599)	f0a89699
𨖚	U+2859A (U+2859A)	f0a8969a
𨖛	U+2859B (U+2859B)	f0a8969b
𨖜	U+2859C (U+2859C)	f0a8969c
𨖝	U+2859D (U+2859D)	f0a8969d
𨖞	U+2859E (U+2859E)	f0a8969e
𨖟	U+2859F (U+2859F)	f0a8969f
𨖠	U+285A0 (U+285A0)	f0a896a0
𨖡	U+285A1 (U+285A1)	f0a896a1
𨖢	U+285A2 (U+285A2)	f0a896a2
𨖣	U+285A3 (U+285A3)	f0a896a3
𨖤	U+285A4 (U+285A4)	f0a896a4
