𤤊	U+2490A (U+2490A)	f0a4a48a
𤤋	U+2490B (U+2490B)	f0a4a48b
𤤌	U+2490C (U+2490C)	f0a4a48c
𤤍	U+2490D (U+2490D)	f0a4a48d
𤤎	U+2490E (U+2490E)	f0a4a48e
𤤏	U+2490F (U+2490F)	f0a4a48f
𤤐	U+24910 (U+24910)	f0a4a490
𤤑	U+24911 (U+24911)	f0a4a491
𤤒	U+24912 (U+24912)	f0a4a492
𤤓	U+24913 (U+24913)	f0a4a493
𤤔	U+24914 (U+24914)	f0a4a494
𤤕	U+24915 (U+24915)	f0a4a495
𤤖	U+24916 (U+24916)	f0a4a496
𤤗	U+24917 (U+24917)	f0a4a497
𤤘	U+24918 (U+24918)	f0a4a498
𤤙	U+24919 (U+24919)	f0a4a499
𤤚	U+2491A (U+2491A)	f0a4a49a
𤤛	U+2491B (U+2491B)	f0a4a49b
𤤜	U+2491C (U+2491C)	f0a4a49c
𤤝	U+2491D (U+2491D)	f0a4a49d
𤤞	U+2491E (U+2491E)	f0a4a49e
𤤟	U+2491F (U+2491F)	f0a4a49f
𤤠	U+24920 (U+24920)	f0a4a4a0
𤤡	U+24921 (U+24921)	f0a4a4a1
𤤢	U+24922 (U+24922)	f0a4a4a2
𤤣	U+24923 (U+24923)	f0a4a4a3
𤤤	U+24924 (U+24924)	f0a4a4a4
𤤥	U+24925 (U+24925)	f0a4a4a5
𤤦	U+24926 (U+24926)	f0a4a4a6
𤤧	U+24927 (U+24927)	f0a4a4a7
𤤨	U+24928 (U+24928)	f0a4a4a8
𤤩	U+24929 (U+24929)	f0a4a4a9
𤤪	U+2492A (U+2492A)	f0a4a4aa
𤤫	U+2492B (U+2492B)	f0a4a4ab
𤤬	U+2492C (U+2492C)	f0a4a4ac
𤤭	U+2492D (U+2492D)	f0a4a4ad
𤤮	U+2492E (U+2492E)	f0a4a4ae
𤤯	U+2492F (U+2492F)	f0a4a4af
𤤰	U+24930 (U+24930)	f0a4a4b0
𤤱	U+24931 (U+24931)	f0a4a4b1
𤤲	U+24932 (U+24932)	f0a4a4b2
𤤳	U+24933 (U+24933)	f0a4a4b3
𤤴	U+24934 (U+24934)	f0a4a4b4
𤤵	U+24935 (U+24935)	f0a4a4b5
𤤶	U+24936 (U+24936)	f0a4a4b6
𤤷	U+24937 (U+24937)	f0a4a4b7
𤤸	U+24938 (U+24938)	f0a4a4b8
𤤹	U+24939 (U+24939)	f0a4a4b9
𤤺	U+2493A (U+2493A)	f0a4a4ba
𤤻	U+2493B (U+2493B)	f0a4a4bb
𤤼	U+2493C (U+2493C)	f0a4a4bc
𤤽	U+2493D (U+2493D)	f0a4a4bd
𤤾	U+2493E (U+2493E)	f0a4a4be
𤤿	U+2493F (U+2493F)	f0a4a4bf
𤥀	U+24940 (U+24940)	f0a4a580
𤥁	U+24941 (U+24941)	f0a4a581
𤥂	U+24942 (U+24942)	f0a4a582
𤥃	U+24943 (U+24943)	f0a4a583
𤥄	U+24944 (U+24944)	f0a4a584
𤥅	U+24945 (U+24945)	f0a4a585
𤥆	U+24946 (U+24946)	f0a4a586
𤥇	U+24947 (U+24947)	f0a4a587
𤥈	U+24948 (U+24948)	f0a4a588
𤥉	U+24949 (U+24949)	f0a4a589
𤥊	U+2494A (U+2494A)	f0a4a58a
𤥋	U+2494B (U+2494B)	f0a4a58b
𤥌	U+2494C (U+2494C)	f0a4a58c
𤥍	U+2494D (U+2494D)	f0a4a58d
𤥎	U+2494E (U+2494E)	f0a4a58e
𤥏	U+2494F (U+2494F)	f0a4a58f
𤥐	U+24950 (U+24950)	f0a4a590
𤥑	U+24951 (U+24951)	f0a4a591
𤥒	U+24952 (U+24952)	f0a4a592
𤥓	U+24953 (U+24953)	f0a4a593
𤥔	U+24954 (U+24954)	f0a4a594
𤥕	U+24955 (U+24955)	f0a4a595
𤥖	U+24956 (U+24956)	f0a4a596
𤥗	U+24957 (U+24957)	f0a4a597
𤥘	U+24958 (U+24958)	f0a4a598
