髕	kneecap (U+9AD5)	e9ab95
鯃	U+9BC3 (U+9BC3)	e9af83
鯄	U+9BC4 (U+9BC4)	e9af84
鯅	U+9BC5 (U+9BC5)	e9af85
鯆	the skate or ray (U+9BC6)	e9af86
鯇	carp (U+9BC7)	e9af87
鯈	fish (U+9BC8)	e9af88
鯉	carp (U+9BC9)	e9af89
鯊	shark (U+9BCA)	e9af8a
鯋	shark (U+9BCB)	e9af8b
鯌	U+9BCC (U+9BCC)	e9af8c
鯍	U+9BCD (U+9BCD)	e9af8d
鯎	U+9BCE (U+9BCE)	e9af8e
鯏	dialect name for a (bad tasting) blood clam (U+9BCF)	e9af8f
鯐	U+9BD0 (U+9BD0)	e9af90
鯑	U+9BD1 (U+9BD1)	e9af91
鯒	a flathead (fish) (U+9BD2)	e9af92
鯓	U+9BD3 (U+9BD3)	e9af93
鯔	mullet (U+9BD4)	e9af94
鯕	coryphaena hippurus (U+9BD5)	e9af95
鯖	mackerel (U+9BD6)	e9af96
鯗	dried fish (U+9BD7)	e9af97
鯘	U+9BD8 (U+9BD8)	e9af98
鯙	Scomberomorus sinensis (U+9BD9)	e9af99
鯚	U+9BDA (U+9BDA)	e9af9a
鯛	pagrosomus major, porgy (U+9BDB)	e9af9b
鯜	U+9BDC (U+9BDC)	e9af9c
鯝	fish guts (U+9BDD)	e9af9d
鯞	U+9BDE (U+9BDE)	e9af9e
鯟	U+9BDF (U+9BDF)	e9af9f
鯠	to confer; to bestow on an inferior; to reward (U+9BE0)	e9afa0
鯡	herring (U+9BE1)	e9afa1
鯢	Cryptobranchus japonicus; a salamander (U+9BE2)	e9afa2
鯣	a cuttlefish (U+9BE3)	e9afa3
鯤	spawn; roe; fy (U+9BE4)	e9afa4
鯥	U+9BE5 (U+9BE5)	e9afa5
鯦	U+9BE6 (U+9BE6)	e9afa6
鯧	the silvery pomfret, Stromateoides argenteus (U+9BE7)	e9afa7
鯨	whale (U+9BE8)	e9afa8
鯩	U+9BE9 (U+9BE9)	e9afa9
鯪	carp (U+9BEA)	e9afaa
鯫	small fish; small; minnow (U+9BEB)	e9afab
鯬	U+9BEC (U+9BEC)	e9afac
鯭	(Cant.) 泥鯭, a kind of fish that lives in turbid water (U+9BED)	e9afad
鯮	U+9BEE (U+9BEE)	e9afae
鯯	U+9BEF (U+9BEF)	e9afaf
鯰	sheat (U+9BF0)	e9afb0
鯱	mythical dolphin-like fish (U+9BF1)	e9afb1
鯲	U+9BF2 (U+9BF2)	e9afb2
鯳	U+9BF3 (U+9BF3)	e9afb3
鯴	cat fish (U+9BF4)	e9afb4
鯵	U+9BF5 (U+9BF5)	e9afb5
鯶	U+9BF6 (U+9BF6)	e9afb6
鯷	anchovy (U+9BF7)	e9afb7
鯸	blowfish (U+9BF8)	e9afb8
鯹	U+9BF9 (U+9BF9)	e9afb9
鯺	blowfish (U+9BFA)	e9afba
鯻	U+9BFB (U+9BFB)	e9afbb
鯼	U+9BFC (U+9BFC)	e9afbc
鯽	Carassius auratus, crucian carp (U+9BFD)	e9afbd
鯾	U+9BFE (U+9BFE)	e9afbe
鯿	bream (U+9BFF)	e9afbf
鰀	U+9C00 (U+9C00)	e9b080
鰁	name of fish (U+9C01)	e9b081
鰂	cuttlefish (U+9C02)	e9b082
鰃	name of fish (U+9C03)	e9b083
鰄	U+9C04 (U+9C04)	e9b084
鰅	U+9C05 (U+9C05)	e9b085
鰆	Scomberomorus sinensis (U+9C06)	e9b086
鰇	U+9C07 (U+9C07)	e9b087
鰈	flatfish; flounder; sole (U+9C08)	e9b088
鰉	sturgeon (U+9C09)	e9b089
