𣳫	U+23CEB (U+23CEB)	f0a3b3ab
𣳬	U+23CEC (U+23CEC)	f0a3b3ac
𣳭	U+23CED (U+23CED)	f0a3b3ad
𣳮	U+23CEE (U+23CEE)	f0a3b3ae
𣳯	U+23CEF (U+23CEF)	f0a3b3af
𣳰	U+23CF0 (U+23CF0)	f0a3b3b0
𣳱	U+23CF1 (U+23CF1)	f0a3b3b1
𣳲	U+23CF2 (U+23CF2)	f0a3b3b2
𣳳	U+23CF3 (U+23CF3)	f0a3b3b3
𣳴	U+23CF4 (U+23CF4)	f0a3b3b4
𣳵	U+23CF5 (U+23CF5)	f0a3b3b5
𣳶	U+23CF6 (U+23CF6)	f0a3b3b6
𣳷	U+23CF7 (U+23CF7)	f0a3b3b7
𣳸	U+23CF8 (U+23CF8)	f0a3b3b8
𣳹	U+23CF9 (U+23CF9)	f0a3b3b9
𣳺	U+23CFA (U+23CFA)	f0a3b3ba
𣳻	U+23CFB (U+23CFB)	f0a3b3bb
𣳼	(Cant.) salivating (U+23CFC)	f0a3b3bc
𣳽	U+23CFD (U+23CFD)	f0a3b3bd
𣳾	U+23CFE (U+23CFE)	f0a3b3be
𣳿	U+23CFF (U+23CFF)	f0a3b3bf
𣴀	U+23D00 (U+23D00)	f0a3b480
𣴁	U+23D01 (U+23D01)	f0a3b481
𣴂	U+23D02 (U+23D02)	f0a3b482
𣴃	U+23D03 (U+23D03)	f0a3b483
𣴄	U+23D04 (U+23D04)	f0a3b484
𣴅	U+23D05 (U+23D05)	f0a3b485
𣴆	U+23D06 (U+23D06)	f0a3b486
𣴇	U+23D07 (U+23D07)	f0a3b487
𣴈	U+23D08 (U+23D08)	f0a3b488
𣴉	U+23D09 (U+23D09)	f0a3b489
𣴊	U+23D0A (U+23D0A)	f0a3b48a
𣴋	U+23D0B (U+23D0B)	f0a3b48b
𣴌	U+23D0C (U+23D0C)	f0a3b48c
𣴍	U+23D0D (U+23D0D)	f0a3b48d
𣴎	U+23D0E (U+23D0E)	f0a3b48e
𣴏	U+23D0F (U+23D0F)	f0a3b48f
𣴐	U+23D10 (U+23D10)	f0a3b490
𣴑	U+23D11 (U+23D11)	f0a3b491
𣴒	U+23D12 (U+23D12)	f0a3b492
𣴓	北𣴓省, Bắc Kạn Province in northern Vietnam (U+23D13)	f0a3b493
𣴔	U+23D14 (U+23D14)	f0a3b494
𣴕	U+23D15 (U+23D15)	f0a3b495
𣴖	U+23D16 (U+23D16)	f0a3b496
𣴗	U+23D17 (U+23D17)	f0a3b497
𣴘	U+23D18 (U+23D18)	f0a3b498
𣴙	U+23D19 (U+23D19)	f0a3b499
𣴚	U+23D1A (U+23D1A)	f0a3b49a
𣴛	U+23D1B (U+23D1B)	f0a3b49b
𣴜	U+23D1C (U+23D1C)	f0a3b49c
𣴝	U+23D1D (U+23D1D)	f0a3b49d
𣴞	U+23D1E (U+23D1E)	f0a3b49e
𣴟	U+23D1F (U+23D1F)	f0a3b49f
𣴠	U+23D20 (U+23D20)	f0a3b4a0
𣴡	U+23D21 (U+23D21)	f0a3b4a1
𣴢	U+23D22 (U+23D22)	f0a3b4a2
𣴣	U+23D23 (U+23D23)	f0a3b4a3
𣴤	U+23D24 (U+23D24)	f0a3b4a4
𣴥	U+23D25 (U+23D25)	f0a3b4a5
𣴦	U+23D26 (U+23D26)	f0a3b4a6
𣴧	U+23D27 (U+23D27)	f0a3b4a7
𣴨	U+23D28 (U+23D28)	f0a3b4a8
𣴩	U+23D29 (U+23D29)	f0a3b4a9
𣴪	U+23D2A (U+23D2A)	f0a3b4aa
𣴫	U+23D2B (U+23D2B)	f0a3b4ab
𣴬	U+23D2C (U+23D2C)	f0a3b4ac
𣴭	U+23D2D (U+23D2D)	f0a3b4ad
𣴮	U+23D2E (U+23D2E)	f0a3b4ae
𣴯	U+23D2F (U+23D2F)	f0a3b4af
𣴰	U+23D30 (U+23D30)	f0a3b4b0
𣴱	U+23D31 (U+23D31)	f0a3b4b1
𣴲	U+23D32 (U+23D32)	f0a3b4b2
𣴳	U+23D33 (U+23D33)	f0a3b4b3
𣴴	U+23D34 (U+23D34)	f0a3b4b4
𣴵	U+23D35 (U+23D35)	f0a3b4b5
𣴶	U+23D36 (U+23D36)	f0a3b4b6
𣴷	U+23D37 (U+23D37)	f0a3b4b7
𣴸	U+23D38 (U+23D38)	f0a3b4b8
𣴹	U+23D39 (U+23D39)	f0a3b4b9
𣴺	U+23D3A (U+23D3A)	f0a3b4ba
𣴻	U+23D3B (U+23D3B)	f0a3b4bb
𣴼	U+23D3C (U+23D3C)	f0a3b4bc
𣴽	U+23D3D (U+23D3D)	f0a3b4bd
𣴾	U+23D3E (U+23D3E)	f0a3b4be
𣴿	U+23D3F (U+23D3F)	f0a3b4bf
𣵀	U+23D40 (U+23D40)	f0a3b580
𣵁	U+23D41 (U+23D41)	f0a3b581
𣵂	U+23D42 (U+23D42)	f0a3b582
𣵃	U+23D43 (U+23D43)	f0a3b583
𣵄	U+23D44 (U+23D44)	f0a3b584
