𩢦	U+298A6 (U+298A6)	f0a9a2a6
𩢧	U+298A7 (U+298A7)	f0a9a2a7
𩢨	U+298A8 (U+298A8)	f0a9a2a8
𩢩	U+298A9 (U+298A9)	f0a9a2a9
𩢪	U+298AA (U+298AA)	f0a9a2aa
𩢫	U+298AB (U+298AB)	f0a9a2ab
𩢬	U+298AC (U+298AC)	f0a9a2ac
𩢭	U+298AD (U+298AD)	f0a9a2ad
𩢮	U+298AE (U+298AE)	f0a9a2ae
𩢯	U+298AF (U+298AF)	f0a9a2af
𩢰	U+298B0 (U+298B0)	f0a9a2b0
𩢱	U+298B1 (U+298B1)	f0a9a2b1
𩢲	U+298B2 (U+298B2)	f0a9a2b2
𩢳	U+298B3 (U+298B3)	f0a9a2b3
𩢴	U+298B4 (U+298B4)	f0a9a2b4
𩢵	U+298B5 (U+298B5)	f0a9a2b5
𩢶	U+298B6 (U+298B6)	f0a9a2b6
𩢷	U+298B7 (U+298B7)	f0a9a2b7
𩢸	U+298B8 (U+298B8)	f0a9a2b8
𩢹	U+298B9 (U+298B9)	f0a9a2b9
𩢺	U+298BA (U+298BA)	f0a9a2ba
𩢻	U+298BB (U+298BB)	f0a9a2bb
𩢼	U+298BC (U+298BC)	f0a9a2bc
𩢽	U+298BD (U+298BD)	f0a9a2bd
𩢾	U+298BE (U+298BE)	f0a9a2be
𩢿	U+298BF (U+298BF)	f0a9a2bf
𩣀	U+298C0 (U+298C0)	f0a9a380
𩣁	U+298C1 (U+298C1)	f0a9a381
𩣂	U+298C2 (U+298C2)	f0a9a382
𩣃	U+298C3 (U+298C3)	f0a9a383
𩣄	U+298C4 (U+298C4)	f0a9a384
𩣅	U+298C5 (U+298C5)	f0a9a385
𩣆	U+298C6 (U+298C6)	f0a9a386
𩣇	U+298C7 (U+298C7)	f0a9a387
𩣈	U+298C8 (U+298C8)	f0a9a388
𩣉	U+298C9 (U+298C9)	f0a9a389
𩣊	U+298CA (U+298CA)	f0a9a38a
𩣋	U+298CB (U+298CB)	f0a9a38b
𩣌	U+298CC (U+298CC)	f0a9a38c
