𨁠	U+28060 (U+28060)	f0a881a0
𨁡	U+28061 (U+28061)	f0a881a1
𨁢	U+28062 (U+28062)	f0a881a2
𨁣	U+28063 (U+28063)	f0a881a3
𨁤	U+28064 (U+28064)	f0a881a4
𨁥	U+28065 (U+28065)	f0a881a5
𨁦	U+28066 (U+28066)	f0a881a6
𨁧	U+28067 (U+28067)	f0a881a7
𨁨	U+28068 (U+28068)	f0a881a8
𨁩	U+28069 (U+28069)	f0a881a9
𨁪	U+2806A (U+2806A)	f0a881aa
𨁫	U+2806B (U+2806B)	f0a881ab
𨁬	U+2806C (U+2806C)	f0a881ac
𨁭	U+2806D (U+2806D)	f0a881ad
𨁮	U+2806E (U+2806E)	f0a881ae
𨁯	U+2806F (U+2806F)	f0a881af
𨁰	U+28070 (U+28070)	f0a881b0
𨁱	U+28071 (U+28071)	f0a881b1
𨁲	U+28072 (U+28072)	f0a881b2
𨁳	U+28073 (U+28073)	f0a881b3
𨁴	U+28074 (U+28074)	f0a881b4
𨁵	U+28075 (U+28075)	f0a881b5
𨁶	U+28076 (U+28076)	f0a881b6
𨁷	U+28077 (U+28077)	f0a881b7
𨁸	U+28078 (U+28078)	f0a881b8
𨁹	U+28079 (U+28079)	f0a881b9
𨁺	U+2807A (U+2807A)	f0a881ba
𨁻	U+2807B (U+2807B)	f0a881bb
𨁼	U+2807C (U+2807C)	f0a881bc
𨁽	U+2807D (U+2807D)	f0a881bd
𨁾	U+2807E (U+2807E)	f0a881be
𨁿	U+2807F (U+2807F)	f0a881bf
𨂀	U+28080 (U+28080)	f0a88280
𨂁	U+28081 (U+28081)	f0a88281
𨂂	U+28082 (U+28082)	f0a88282
𨂃	U+28083 (U+28083)	f0a88283
𨂄	U+28084 (U+28084)	f0a88284
𨂅	U+28085 (U+28085)	f0a88285
𨂆	U+28086 (U+28086)	f0a88286
𨂇	U+28087 (U+28087)	f0a88287
𨂈	U+28088 (U+28088)	f0a88288
𨂉	U+28089 (U+28089)	f0a88289
𨂊	U+2808A (U+2808A)	f0a8828a
𨂋	U+2808B (U+2808B)	f0a8828b
𨂌	U+2808C (U+2808C)	f0a8828c
𨂍	U+2808D (U+2808D)	f0a8828d
𨂎	U+2808E (U+2808E)	f0a8828e
𨂏	U+2808F (U+2808F)	f0a8828f
𨂐	(Cant.) to suddenly fall or drop down (U+28090)	f0a88290
𨂑	U+28091 (U+28091)	f0a88291
𨂒	U+28092 (U+28092)	f0a88292
𨂓	U+28093 (U+28093)	f0a88293
𨂔	U+28094 (U+28094)	f0a88294
𨂕	U+28095 (U+28095)	f0a88295
𨂖	U+28096 (U+28096)	f0a88296
𨂗	U+28097 (U+28097)	f0a88297
𨂘	U+28098 (U+28098)	f0a88298
𨂙	U+28099 (U+28099)	f0a88299
𨂚	U+2809A (U+2809A)	f0a8829a
𨂛	U+2809B (U+2809B)	f0a8829b
𨂜	U+2809C (U+2809C)	f0a8829c
𨂝	U+2809D (U+2809D)	f0a8829d
𨂞	U+2809E (U+2809E)	f0a8829e
𨂟	U+2809F (U+2809F)	f0a8829f
𨂠	U+280A0 (U+280A0)	f0a882a0
𨂡	U+280A1 (U+280A1)	f0a882a1
𨂢	U+280A2 (U+280A2)	f0a882a2
𨂣	U+280A3 (U+280A3)	f0a882a3
𨂤	U+280A4 (U+280A4)	f0a882a4
𨂥	U+280A5 (U+280A5)	f0a882a5
𨂦	U+280A6 (U+280A6)	f0a882a6
𨂧	U+280A7 (U+280A7)	f0a882a7
𨂨	U+280A8 (U+280A8)	f0a882a8
𨂩	U+280A9 (U+280A9)	f0a882a9
𨂪	U+280AA (U+280AA)	f0a882aa
𨂫	U+280AB (U+280AB)	f0a882ab
𨂬	U+280AC (U+280AC)	f0a882ac
𨂭	U+280AD (U+280AD)	f0a882ad
𨂮	U+280AE (U+280AE)	f0a882ae
𨂯	U+280AF (U+280AF)	f0a882af
𨂰	U+280B0 (U+280B0)	f0a882b0
𨂱	U+280B1 (U+280B1)	f0a882b1
𨂲	U+280B2 (U+280B2)	f0a882b2
𨂳	U+280B3 (U+280B3)	f0a882b3
𨂴	U+280B4 (U+280B4)	f0a882b4
𨂵	U+280B5 (U+280B5)	f0a882b5
𨂶	U+280B6 (U+280B6)	f0a882b6
𨂷	U+280B7 (U+280B7)	f0a882b7
𨂸	U+280B8 (U+280B8)	f0a882b8
𨂹	U+280B9 (U+280B9)	f0a882b9
𨂺	U+280BA (U+280BA)	f0a882ba
𨂻	U+280BB (U+280BB)	f0a882bb
𨂼	U+280BC (U+280BC)	f0a882bc
𨂽	(Cant.) to stamp the foot (U+280BD)	f0a882bd
𨂾	(Cant.) to step across (U+280BE)	f0a882be
𨂿	U+280BF (U+280BF)	f0a882bf
𨃀	U+280C0 (U+280C0)	f0a88380
𨃁	U+280C1 (U+280C1)	f0a88381
𨃂	U+280C2 (U+280C2)	f0a88382
𨃃	U+280C3 (U+280C3)	f0a88383
𨃄	U+280C4 (U+280C4)	f0a88384
𨃅	U+280C5 (U+280C5)	f0a88385
𨃆	U+280C6 (U+280C6)	f0a88386
𨃇	U+280C7 (U+280C7)	f0a88387
𨃈	U+280C8 (U+280C8)	f0a88388
𨃉	U+280C9 (U+280C9)	f0a88389
𨃊	U+280CA (U+280CA)	f0a8838a
𨃋	U+280CB (U+280CB)	f0a8838b
𨃌	U+280CC (U+280CC)	f0a8838c
𨃍	U+280CD (U+280CD)	f0a8838d
𨃎	U+280CE (U+280CE)	f0a8838e
𨃏	U+280CF (U+280CF)	f0a8838f
𨃐	U+280D0 (U+280D0)	f0a88390
𨃑	U+280D1 (U+280D1)	f0a88391
𨃒	U+280D2 (U+280D2)	f0a88392
𨃓	U+280D3 (U+280D3)	f0a88393
𨃔	U+280D4 (U+280D4)	f0a88394
𨃕	U+280D5 (U+280D5)	f0a88395
𨃖	U+280D6 (U+280D6)	f0a88396
𨃗	U+280D7 (U+280D7)	f0a88397
𨃘	U+280D8 (U+280D8)	f0a88398
𨃙	U+280D9 (U+280D9)	f0a88399
𨃚	U+280DA (U+280DA)	f0a8839a
𨃛	U+280DB (U+280DB)	f0a8839b
𨃜	U+280DC (U+280DC)	f0a8839c
𨃝	U+280DD (U+280DD)	f0a8839d
𨃞	to sit cross-legged (U+280DE)	f0a8839e
𨃟	to sit cross-legged (U+280DF)	f0a8839f
𨃠	U+280E0 (U+280E0)	f0a883a0
𨃡	U+280E1 (U+280E1)	f0a883a1
𨃢	U+280E2 (U+280E2)	f0a883a2
𨃣	U+280E3 (U+280E3)	f0a883a3
