仕	official; serve government (U+4ED5)	e4bb95
僌	U+50CC (U+50CC)	e5838c
働	labor; work (U+50CD)	e5838d
僎	collect (U+50CE)	e5838e
像	a picture, image, figure; to resemble (U+50CF)	e5838f
僐	U+50D0 (U+50D0)	e58390
僑	sojourn, lodge (U+50D1)	e58391
僒	U+50D2 (U+50D2)	e58392
僓	U+50D3 (U+50D3)	e58393
僔	U+50D4 (U+50D4)	e58394
僕	slave, servant, I (U+50D5)	e58395
僖	joy, gladness, delight; surname (U+50D6)	e58396
僗	U+50D7 (U+50D7)	e58397
僘	U+50D8 (U+50D8)	e58398
僙	U+50D9 (U+50D9)	e58399
僚	companion, colleague; officials; bureaucracy; a pretty face (U+50DA)	e5839a
僛	U+50DB (U+50DB)	e5839b
僜	U+50DC (U+50DC)	e5839c
僝	to revile; to abuse (U+50DD)	e5839d
僞	false, counterfeit, bogus (U+50DE)	e5839e
僟	U+50DF (U+50DF)	e5839f
僠	U+50E0 (U+50E0)	e583a0
僡	U+50E1 (U+50E1)	e583a1
僢	U+50E2 (U+50E2)	e583a2
僣	assume, usurp (U+50E3)	e583a3
僤	sincere (U+50E4)	e583a4
僥	be lucky; by chance, by luck (U+50E5)	e583a5
僦	to heir; to rent (U+50E6)	e583a6
僧	Buddhist priest, monk; san of Sanskrit sangha (U+50E7)	e583a7
僨	ruin, cause fail; overthrown (U+50E8)	e583a8
僩	courageous; martial; dignified (U+50E9)	e583a9
僪	U+50EA (U+50EA)	e583aa
僫	U+50EB (U+50EB)	e583ab
僬	clever; alert in mind pigmies (U+50EC)	e583ac
僭	assume, usurp (U+50ED)	e583ad
僮	page, boy servant (U+50EE)	e583ae
僯	ashamed (U+50EF)	e583af
僰	ancient aboriginal tribe (U+50F0)	e583b0
僱	employ, hire (U+50F1)	e583b1
僲	U+50F2 (U+50F2)	e583b2
僳	minority name (U+50F3)	e583b3
僴	U+50F4 (U+50F4)	e583b4
僵	stiff and motionless, stock still (U+50F5)	e583b5
僶	forcefully (U+50F6)	e583b6
僷	U+50F7 (U+50F7)	e583b7
僸	U+50F8 (U+50F8)	e583b8
價	price, value (U+50F9)	e583b9
僺	U+50FA (U+50FA)	e583ba
僻	out-of-the-way, remote; unorthodox (U+50FB)	e583bb
僼	U+50FC (U+50FC)	e583bc
僽	U+50FD (U+50FD)	e583bd
僾	like (U+50FE)	e583be
僿	small, minute; lacking sincerity (U+50FF)	e583bf
儀	ceremony, rites gifts; admire (U+5100)	e58480
儁	outstanding, fine; superior; talented, capable; handsome (U+5101)	e58481
