𧁛	U+2705B (U+2705B)	f0a7819b
𧁜	U+2705C (U+2705C)	f0a7819c
𧁝	U+2705D (U+2705D)	f0a7819d
𧁞	U+2705E (U+2705E)	f0a7819e
𧁟	U+2705F (U+2705F)	f0a7819f
𧁠	U+27060 (U+27060)	f0a781a0
𧁡	U+27061 (U+27061)	f0a781a1
𧁢	U+27062 (U+27062)	f0a781a2
𧁣	U+27063 (U+27063)	f0a781a3
𧁤	U+27064 (U+27064)	f0a781a4
𧁥	U+27065 (U+27065)	f0a781a5
𧁦	U+27066 (U+27066)	f0a781a6
𧁧	U+27067 (U+27067)	f0a781a7
𧁨	U+27068 (U+27068)	f0a781a8
𧁩	U+27069 (U+27069)	f0a781a9
𧁪	U+2706A (U+2706A)	f0a781aa
𧁫	U+2706B (U+2706B)	f0a781ab
𧁬	U+2706C (U+2706C)	f0a781ac
𧁭	U+2706D (U+2706D)	f0a781ad
𧁮	U+2706E (U+2706E)	f0a781ae
𧁯	U+2706F (U+2706F)	f0a781af
𧁰	U+27070 (U+27070)	f0a781b0
𧁱	U+27071 (U+27071)	f0a781b1
𧁲	U+27072 (U+27072)	f0a781b2
𧁳	U+27073 (U+27073)	f0a781b3
𧁴	U+27074 (U+27074)	f0a781b4
𧁵	U+27075 (U+27075)	f0a781b5
𧁶	U+27076 (U+27076)	f0a781b6
𧁷	U+27077 (U+27077)	f0a781b7
𧁸	U+27078 (U+27078)	f0a781b8
𧁹	U+27079 (U+27079)	f0a781b9
𧁺	U+2707A (U+2707A)	f0a781ba
𧁻	U+2707B (U+2707B)	f0a781bb
𧁼	U+2707C (U+2707C)	f0a781bc
𧁽	U+2707D (U+2707D)	f0a781bd
𧁾	U+2707E (U+2707E)	f0a781be
𧁿	U+2707F (U+2707F)	f0a781bf
𧂀	U+27080 (U+27080)	f0a78280
𧂁	U+27081 (U+27081)	f0a78281
𧂂	U+27082 (U+27082)	f0a78282
𧂃	U+27083 (U+27083)	f0a78283
𧂄	U+27084 (U+27084)	f0a78284
𧂅	U+27085 (U+27085)	f0a78285
𧂆	U+27086 (U+27086)	f0a78286
𧂇	U+27087 (U+27087)	f0a78287
𧂈	U+27088 (U+27088)	f0a78288
𧂉	U+27089 (U+27089)	f0a78289
𧂊	U+2708A (U+2708A)	f0a7828a
𧂋	U+2708B (U+2708B)	f0a7828b
𧂌	U+2708C (U+2708C)	f0a7828c
𧂍	U+2708D (U+2708D)	f0a7828d
𧂎	U+2708E (U+2708E)	f0a7828e
𧂏	U+2708F (U+2708F)	f0a7828f
𧂐	U+27090 (U+27090)	f0a78290
𧂑	U+27091 (U+27091)	f0a78291
𧂒	U+27092 (U+27092)	f0a78292
𧂓	U+27093 (U+27093)	f0a78293
𧂔	U+27094 (U+27094)	f0a78294
𧂕	U+27095 (U+27095)	f0a78295
𧂖	U+27096 (U+27096)	f0a78296
𧂗	U+27097 (U+27097)	f0a78297
𧂘	U+27098 (U+27098)	f0a78298
𧂙	U+27099 (U+27099)	f0a78299
𧂚	U+2709A (U+2709A)	f0a7829a
𧂛	U+2709B (U+2709B)	f0a7829b
𧂜	U+2709C (U+2709C)	f0a7829c
𧂝	U+2709D (U+2709D)	f0a7829d
𧂞	U+2709E (U+2709E)	f0a7829e
𧂟	U+2709F (U+2709F)	f0a7829f
𧂠	U+270A0 (U+270A0)	f0a782a0
𧂡	U+270A1 (U+270A1)	f0a782a1
𧂢	U+270A2 (U+270A2)	f0a782a2
𧂣	U+270A3 (U+270A3)	f0a782a3
𧂤	U+270A4 (U+270A4)	f0a782a4
𧂥	U+270A5 (U+270A5)	f0a782a5
𧂦	U+270A6 (U+270A6)	f0a782a6
𧂧	U+270A7 (U+270A7)	f0a782a7
𧂨	U+270A8 (U+270A8)	f0a782a8
𧂩	U+270A9 (U+270A9)	f0a782a9
𧂪	U+270AA (U+270AA)	f0a782aa
𧂫	U+270AB (U+270AB)	f0a782ab
𧂬	U+270AC (U+270AC)	f0a782ac
𧂭	U+270AD (U+270AD)	f0a782ad
𧂮	U+270AE (U+270AE)	f0a782ae
𧂯	U+270AF (U+270AF)	f0a782af
𧂰	U+270B0 (U+270B0)	f0a782b0
𧂱	U+270B1 (U+270B1)	f0a782b1
𧂲	U+270B2 (U+270B2)	f0a782b2
𧂳	U+270B3 (U+270B3)	f0a782b3
𧂴	U+270B4 (U+270B4)	f0a782b4
𧂵	U+270B5 (U+270B5)	f0a782b5
𧂶	U+270B6 (U+270B6)	f0a782b6
𧂷	U+270B7 (U+270B7)	f0a782b7
𧂸	U+270B8 (U+270B8)	f0a782b8
𧂹	U+270B9 (U+270B9)	f0a782b9
𧂺	U+270BA (U+270BA)	f0a782ba
𧂻	U+270BB (U+270BB)	f0a782bb
𧂼	U+270BC (U+270BC)	f0a782bc
𧂽	U+270BD (U+270BD)	f0a782bd
𧂾	U+270BE (U+270BE)	f0a782be
𧂿	U+270BF (U+270BF)	f0a782bf
𧃀	U+270C0 (U+270C0)	f0a78380
𧃁	U+270C1 (U+270C1)	f0a78381
𧃂	U+270C2 (U+270C2)	f0a78382
𧃃	U+270C3 (U+270C3)	f0a78383
𧃄	U+270C4 (U+270C4)	f0a78384
𧃅	U+270C5 (U+270C5)	f0a78385
𧃆	U+270C6 (U+270C6)	f0a78386
𧃇	U+270C7 (U+270C7)	f0a78387
𧃈	U+270C8 (U+270C8)	f0a78388
𧃉	U+270C9 (U+270C9)	f0a78389
𧃊	U+270CA (U+270CA)	f0a7838a
𧃋	U+270CB (U+270CB)	f0a7838b
𧃌	U+270CC (U+270CC)	f0a7838c
𧃍	U+270CD (U+270CD)	f0a7838d
𧃎	U+270CE (U+270CE)	f0a7838e
𧃏	U+270CF (U+270CF)	f0a7838f
