𩒅	U+29485 (U+29485)	f0a99285
𩒆	U+29486 (U+29486)	f0a99286
𩒇	U+29487 (U+29487)	f0a99287
𩒈	U+29488 (U+29488)	f0a99288
𩒉	U+29489 (U+29489)	f0a99289
𩒊	U+2948A (U+2948A)	f0a9928a
𩒋	U+2948B (U+2948B)	f0a9928b
𩒌	U+2948C (U+2948C)	f0a9928c
𩒍	U+2948D (U+2948D)	f0a9928d
𩒎	U+2948E (U+2948E)	f0a9928e
𩒏	U+2948F (U+2948F)	f0a9928f
𩒐	U+29490 (U+29490)	f0a99290
𩒑	U+29491 (U+29491)	f0a99291
𩒒	U+29492 (U+29492)	f0a99292
𩒓	U+29493 (U+29493)	f0a99293
𩒔	U+29494 (U+29494)	f0a99294
𩒕	U+29495 (U+29495)	f0a99295
𩒖	U+29496 (U+29496)	f0a99296
𩒗	U+29497 (U+29497)	f0a99297
𩒘	U+29498 (U+29498)	f0a99298
𩒙	U+29499 (U+29499)	f0a99299
𩒚	U+2949A (U+2949A)	f0a9929a
𩒛	U+2949B (U+2949B)	f0a9929b
𩒜	U+2949C (U+2949C)	f0a9929c
𩒝	U+2949D (U+2949D)	f0a9929d
𩒞	U+2949E (U+2949E)	f0a9929e
𩒟	U+2949F (U+2949F)	f0a9929f
𩒠	U+294A0 (U+294A0)	f0a992a0
𩒡	U+294A1 (U+294A1)	f0a992a1
𩒢	U+294A2 (U+294A2)	f0a992a2
𩒣	U+294A3 (U+294A3)	f0a992a3
𩒤	U+294A4 (U+294A4)	f0a992a4
𩒥	U+294A5 (U+294A5)	f0a992a5
𩒦	U+294A6 (U+294A6)	f0a992a6
𩒧	U+294A7 (U+294A7)	f0a992a7
𩒨	U+294A8 (U+294A8)	f0a992a8
𩒩	U+294A9 (U+294A9)	f0a992a9
𩒪	U+294AA (U+294AA)	f0a992aa
𩒫	U+294AB (U+294AB)	f0a992ab
𩒬	U+294AC (U+294AC)	f0a992ac
𩒭	U+294AD (U+294AD)	f0a992ad
𩒮	U+294AE (U+294AE)	f0a992ae
𩒯	U+294AF (U+294AF)	f0a992af
𩒰	U+294B0 (U+294B0)	f0a992b0
𩒱	U+294B1 (U+294B1)	f0a992b1
𩒲	U+294B2 (U+294B2)	f0a992b2
𩒳	U+294B3 (U+294B3)	f0a992b3
𩒴	U+294B4 (U+294B4)	f0a992b4
𩒵	U+294B5 (U+294B5)	f0a992b5
𩒶	U+294B6 (U+294B6)	f0a992b6
𩒷	U+294B7 (U+294B7)	f0a992b7
𩒸	U+294B8 (U+294B8)	f0a992b8
𩒹	U+294B9 (U+294B9)	f0a992b9
𩒺	U+294BA (U+294BA)	f0a992ba
𩒻	U+294BB (U+294BB)	f0a992bb
𩒼	U+294BC (U+294BC)	f0a992bc
𩒽	U+294BD (U+294BD)	f0a992bd
𩒾	U+294BE (U+294BE)	f0a992be
𩒿	U+294BF (U+294BF)	f0a992bf
𩓀	U+294C0 (U+294C0)	f0a99380
𩓁	U+294C1 (U+294C1)	f0a99381
𩓂	U+294C2 (U+294C2)	f0a99382
𩓃	U+294C3 (U+294C3)	f0a99383
𩓄	U+294C4 (U+294C4)	f0a99384
𩓅	U+294C5 (U+294C5)	f0a99385
𩓆	U+294C6 (U+294C6)	f0a99386
𩓇	U+294C7 (U+294C7)	f0a99387
𩓈	U+294C8 (U+294C8)	f0a99388
𩓉	U+294C9 (U+294C9)	f0a99389
𩓊	U+294CA (U+294CA)	f0a9938a
𩓋	U+294CB (U+294CB)	f0a9938b
𩓌	U+294CC (U+294CC)	f0a9938c
𩓍	U+294CD (U+294CD)	f0a9938d
𩓎	U+294CE (U+294CE)	f0a9938e
𩓏	U+294CF (U+294CF)	f0a9938f
𩓐	U+294D0 (U+294D0)	f0a99390
𩓑	U+294D1 (U+294D1)	f0a99391
𩓒	U+294D2 (U+294D2)	f0a99392
𩓓	U+294D3 (U+294D3)	f0a99393
𩓔	U+294D4 (U+294D4)	f0a99394
𩓕	U+294D5 (U+294D5)	f0a99395
𩓖	U+294D6 (U+294D6)	f0a99396
𩓗	U+294D7 (U+294D7)	f0a99397
𩓘	U+294D8 (U+294D8)	f0a99398
𩓙	U+294D9 (U+294D9)	f0a99399
𩓚	U+294DA (U+294DA)	f0a9939a
𩓛	U+294DB (U+294DB)	f0a9939b
𩓜	U+294DC (U+294DC)	f0a9939c
𩓝	U+294DD (U+294DD)	f0a9939d
𩓞	U+294DE (U+294DE)	f0a9939e
𩓟	U+294DF (U+294DF)	f0a9939f
𩓠	U+294E0 (U+294E0)	f0a993a0
𩓡	U+294E1 (U+294E1)	f0a993a1
𩓢	U+294E2 (U+294E2)	f0a993a2
𩓣	U+294E3 (U+294E3)	f0a993a3
𩓤	U+294E4 (U+294E4)	f0a993a4
𩓥	(Cant.) to raise the head (U+294E5)	f0a993a5
𩓦	U+294E6 (U+294E6)	f0a993a6
𩓧	U+294E7 (U+294E7)	f0a993a7
𩓨	U+294E8 (U+294E8)	f0a993a8
𩓩	U+294E9 (U+294E9)	f0a993a9
𩓪	U+294EA (U+294EA)	f0a993aa
𩓫	U+294EB (U+294EB)	f0a993ab
𩓬	U+294EC (U+294EC)	f0a993ac
𩓭	U+294ED (U+294ED)	f0a993ad
𩓮	U+294EE (U+294EE)	f0a993ae
𩓯	U+294EF (U+294EF)	f0a993af
𩓰	U+294F0 (U+294F0)	f0a993b0
𩓱	U+294F1 (U+294F1)	f0a993b1
𩓲	U+294F2 (U+294F2)	f0a993b2
𩓳	U+294F3 (U+294F3)	f0a993b3
𩓴	U+294F4 (U+294F4)	f0a993b4
𩓵	U+294F5 (U+294F5)	f0a993b5
𩓶	U+294F6 (U+294F6)	f0a993b6
𩓷	U+294F7 (U+294F7)	f0a993b7
𩓸	U+294F8 (U+294F8)	f0a993b8
𩓹	U+294F9 (U+294F9)	f0a993b9
𩓺	U+294FA (U+294FA)	f0a993ba
𩓻	U+294FB (U+294FB)	f0a993bb
𩓼	U+294FC (U+294FC)	f0a993bc
𩓽	U+294FD (U+294FD)	f0a993bd
𩓾	U+294FE (U+294FE)	f0a993be
𩓿	U+294FF (U+294FF)	f0a993bf
𩔀	U+29500 (U+29500)	f0a99480
𩔁	U+29501 (U+29501)	f0a99481
𩔂	U+29502 (U+29502)	f0a99482
𩔃	U+29503 (U+29503)	f0a99483
𩔄	U+29504 (U+29504)	f0a99484
𩔅	U+29505 (U+29505)	f0a99485
𩔆	U+29506 (U+29506)	f0a99486
𩔇	U+29507 (U+29507)	f0a99487
𩔈	U+29508 (U+29508)	f0a99488
𩔉	U+29509 (U+29509)	f0a99489
𩔊	U+2950A (U+2950A)	f0a9948a
𩔋	U+2950B (U+2950B)	f0a9948b
𩔌	U+2950C (U+2950C)	f0a9948c
𩔍	U+2950D (U+2950D)	f0a9948d
𩔎	U+2950E (U+2950E)	f0a9948e
𩔏	U+2950F (U+2950F)	f0a9948f
𩔐	U+29510 (U+29510)	f0a99490
𩔑	U+29511 (U+29511)	f0a99491
𩔒	U+29512 (U+29512)	f0a99492
𩔓	U+29513 (U+29513)	f0a99493
𩔔	U+29514 (U+29514)	f0a99494
𩔕	U+29515 (U+29515)	f0a99495
𩔖	U+29516 (U+29516)	f0a99496
𩔗	kind, species; to be similar to (U+29517)	f0a99497
𩔘	U+29518 (U+29518)	f0a99498
𩔙	U+29519 (U+29519)	f0a99499
𩔚	U+2951A (U+2951A)	f0a9949a
𩔛	U+2951B (U+2951B)	f0a9949b
𩔜	U+2951C (U+2951C)	f0a9949c
𩔝	U+2951D (U+2951D)	f0a9949d
𩔞	U+2951E (U+2951E)	f0a9949e
𩔟	U+2951F (U+2951F)	f0a9949f
𩔠	U+29520 (U+29520)	f0a994a0
𩔡	U+29521 (U+29521)	f0a994a1
𩔢	U+29522 (U+29522)	f0a994a2
𩔣	U+29523 (U+29523)	f0a994a3
𩔤	U+29524 (U+29524)	f0a994a4
𩔥	U+29525 (U+29525)	f0a994a5
𩔦	U+29526 (U+29526)	f0a994a6
𩔧	U+29527 (U+29527)	f0a994a7
𩔨	U+29528 (U+29528)	f0a994a8
𩔩	U+29529 (U+29529)	f0a994a9
𩔪	U+2952A (U+2952A)	f0a994aa
𩔫	U+2952B (U+2952B)	f0a994ab
𩔬	U+2952C (U+2952C)	f0a994ac
𩔭	U+2952D (U+2952D)	f0a994ad
𩔮	U+2952E (U+2952E)	f0a994ae
𩔯	U+2952F (U+2952F)	f0a994af
𩔰	U+29530 (U+29530)	f0a994b0
𩔱	U+29531 (U+29531)	f0a994b1
𩔲	U+29532 (U+29532)	f0a994b2
𩔳	U+29533 (U+29533)	f0a994b3
𩔴	U+29534 (U+29534)	f0a994b4
𩔵	U+29535 (U+29535)	f0a994b5
𩔶	U+29536 (U+29536)	f0a994b6
𩔷	U+29537 (U+29537)	f0a994b7
𩔸	U+29538 (U+29538)	f0a994b8
𩔹	U+29539 (U+29539)	f0a994b9
𩔺	U+2953A (U+2953A)	f0a994ba
𩔻	U+2953B (U+2953B)	f0a994bb
𩔼	U+2953C (U+2953C)	f0a994bc
𩔽	U+2953D (U+2953D)	f0a994bd
𩔾	U+2953E (U+2953E)	f0a994be
𩔿	U+2953F (U+2953F)	f0a994bf
𩕀	U+29540 (U+29540)	f0a99580
𩕁	U+29541 (U+29541)	f0a99581
𩕂	U+29542 (U+29542)	f0a99582
𩕃	U+29543 (U+29543)	f0a99583
𩕄	U+29544 (U+29544)	f0a99584
𩕅	U+29545 (U+29545)	f0a99585
𩕆	U+29546 (U+29546)	f0a99586
𩕇	U+29547 (U+29547)	f0a99587
𩕈	U+29548 (U+29548)	f0a99588
𩕉	U+29549 (U+29549)	f0a99589
𩕊	U+2954A (U+2954A)	f0a9958a
𩕋	U+2954B (U+2954B)	f0a9958b
𩕌	U+2954C (U+2954C)	f0a9958c
𩕍	U+2954D (U+2954D)	f0a9958d
𩕎	U+2954E (U+2954E)	f0a9958e
𩕏	U+2954F (U+2954F)	f0a9958f
𩕐	U+29550 (U+29550)	f0a99590
𩕑	U+29551 (U+29551)	f0a99591
𩕒	U+29552 (U+29552)	f0a99592
𩕓	U+29553 (U+29553)	f0a99593
𩕔	U+29554 (U+29554)	f0a99594
𩕕	U+29555 (U+29555)	f0a99595
