宿	stop, rest, lodge, stay overnight; constellation (U+5BBF)	e5aebf
寀	feudal estate (U+5BC0)	e5af80
寁	quick, fast (U+5BC1)	e5af81
寂	still, silent, quiet, desolate (U+5BC2)	e5af82
寃	grievance, injustice, wrong (U+5BC3)	e5af83
寄	send, transmit, mail; rely on (U+5BC4)	e5af84
寅	to respect, reverence; respectfully; 3rd terrestrial branch (U+5BC5)	e5af85
密	dense, thick, close; intimate (U+5BC6)	e5af86
寇	bandits, thieves; enemy; invade (U+5BC7)	e5af87
寈	U+5BC8 (U+5BC8)	e5af88
寉	U+5BC9 (U+5BC9)	e5af89
寊	U+5BCA (U+5BCA)	e5af8a
寋	U+5BCB (U+5BCB)	e5af8b
富	abundant, ample; rich, wealthy (U+5BCC)	e5af8c
寍	used as a term of comparison:-rather; it is better; would that (U+5BCD)	e5af8d
寎	drowsy (U+5BCE)	e5af8e
寏	U+5BCF (U+5BCF)	e5af8f
寐	sleep; be asleep (U+5BD0)	e5af90
寑	U+5BD1 (U+5BD1)	e5af91
寒	cold, wintry, chilly (U+5BD2)	e5af92
寓	residence; lodge; dwell (U+5BD3)	e5af93
寔	real, true, solid, honest (U+5BD4)	e5af94
寕	repose, serenity, peace; peaceful (U+5BD5)	e5af95
寖	gradually, step by step, little (U+5BD6)	e5af96
寗	a surname; peaceful; rather (U+5BD7)	e5af97
寘	put aside, put down; discard (U+5BD8)	e5af98
寙	U+5BD9 (U+5BD9)	e5af99
寚	precious; rear; valuable treasure; bullion a jewel (U+5BDA)	e5af9a
寛	broad (U+5BDB)	e5af9b
寜	repose, serenity, peace; peaceful (U+5BDC)	e5af9c
寝	sleep, rest; bed chamber (U+5BDD)	e5af9d
寞	silent, still, lonely, solitary (U+5BDE)	e5af9e
察	examine, investigate; notice (U+5BDF)	e5af9f
寠	poor, impoverished (U+5BE0)	e5afa0
寡	widowed; alone, friendless (U+5BE1)	e5afa1
寢	sleep, rest; bed chamber (U+5BE2)	e5afa2
寣	U+5BE3 (U+5BE3)	e5afa3
寤	few, scarce; empty, deserted (U+5BE4)	e5afa4
寥	few, scarce; empty, deserted (U+5BE5)	e5afa5
實	real, true, solid, honest (U+5BE6)	e5afa6
寧	repose, serenity, peace; peaceful (U+5BE7)	e5afa7
寨	stockade, stronghold, outpost; brothel (U+5BE8)	e5afa8
審	examine, investigate; judge (U+5BE9)	e5afa9
寪	surname (U+5BEA)	e5afaa
寫	write; draw, sketch; compose (U+5BEB)	e5afab
寬	broad, wide; spacious, vast (U+5BEC)	e5afac
寭	U+5BED (U+5BED)	e5afad
寮	shanty, hut, shack (U+5BEE)	e5afae
寯	U+5BEF (U+5BEF)	e5afaf
寰	great domain, country, world (U+5BF0)	e5afb0
寱	U+5BF1 (U+5BF1)	e5afb1
寲	U+5BF2 (U+5BF2)	e5afb2
寳	treasure, jewel; precious, rare (U+5BF3)	e5afb3
寴	U+5BF4 (U+5BF4)	e5afb4
寵	favorite, concubine; favor (U+5BF5)	e5afb5
寶	treasure, jewel; precious, rare (U+5BF6)	e5afb6
寷	U+5BF7 (U+5BF7)	e5afb7
寸	inch; small, tiny; KangXi radical 41 (U+5BF8)	e5afb8
对	correct, right; facing, opposed (U+5BF9)	e5afb9
寺	court, office; temple, monastery (U+5BFA)	e5afba
寻	seek, search, look for; ancient (U+5BFB)	e5afbb
导	direct, guide, lead, conduct (U+5BFC)	e5afbc
寽	a handful; a pinch (U+5BFD)	e5afbd
対	correct, right; facing, opposed (U+5BFE)	e5afbe
