𫄅	U+2B105 (U+2B105)	f0ab8485
𫄆	U+2B106 (U+2B106)	f0ab8486
𫄇	U+2B107 (U+2B107)	f0ab8487
𫄈	U+2B108 (U+2B108)	f0ab8488
𫄉	U+2B109 (U+2B109)	f0ab8489
𫄊	U+2B10A (U+2B10A)	f0ab848a
𫄋	U+2B10B (U+2B10B)	f0ab848b
𫄌	U+2B10C (U+2B10C)	f0ab848c
𫄍	U+2B10D (U+2B10D)	f0ab848d
𫄎	U+2B10E (U+2B10E)	f0ab848e
𫄏	U+2B10F (U+2B10F)	f0ab848f
𫄐	U+2B110 (U+2B110)	f0ab8490
𫄑	U+2B111 (U+2B111)	f0ab8491
𫄒	U+2B112 (U+2B112)	f0ab8492
𫄓	U+2B113 (U+2B113)	f0ab8493
𫄔	U+2B114 (U+2B114)	f0ab8494
𫄕	U+2B115 (U+2B115)	f0ab8495
𫄖	U+2B116 (U+2B116)	f0ab8496
𫄗	U+2B117 (U+2B117)	f0ab8497
𫄘	U+2B118 (U+2B118)	f0ab8498
𫄙	U+2B119 (U+2B119)	f0ab8499
𫄚	U+2B11A (U+2B11A)	f0ab849a
𫄛	U+2B11B (U+2B11B)	f0ab849b
𫄜	U+2B11C (U+2B11C)	f0ab849c
𫄝	U+2B11D (U+2B11D)	f0ab849d
𫄞	U+2B11E (U+2B11E)	f0ab849e
𫄟	U+2B11F (U+2B11F)	f0ab849f
𫄠	U+2B120 (U+2B120)	f0ab84a0
𫄡	U+2B121 (U+2B121)	f0ab84a1
𫄢	U+2B122 (U+2B122)	f0ab84a2
𫄣	U+2B123 (U+2B123)	f0ab84a3
𫄤	U+2B124 (U+2B124)	f0ab84a4
𫄥	U+2B125 (U+2B125)	f0ab84a5
𫄦	U+2B126 (U+2B126)	f0ab84a6
𫄧	U+2B127 (U+2B127)	f0ab84a7
𫄨	fine linen, fine help cloth (U+2B128)	f0ab84a8
𫄩	U+2B129 (U+2B129)	f0ab84a9
𫄪	U+2B12A (U+2B12A)	f0ab84aa
𫄫	U+2B12B (U+2B12B)	f0ab84ab
𫄬	U+2B12C (U+2B12C)	f0ab84ac
𫄭	U+2B12D (U+2B12D)	f0ab84ad
𫄮	U+2B12E (U+2B12E)	f0ab84ae
𫄯	U+2B12F (U+2B12F)	f0ab84af
𫄰	U+2B130 (U+2B130)	f0ab84b0
𫄱	U+2B131 (U+2B131)	f0ab84b1
𫄲	U+2B132 (U+2B132)	f0ab84b2
𫄳	U+2B133 (U+2B133)	f0ab84b3
𫄴	U+2B134 (U+2B134)	f0ab84b4
𫄵	U+2B135 (U+2B135)	f0ab84b5
