𪲑	U+2AC91 (U+2AC91)	f0aab291
𪲒	U+2AC92 (U+2AC92)	f0aab292
𪲓	U+2AC93 (U+2AC93)	f0aab293
𪲔	U+2AC94 (U+2AC94)	f0aab294
𪲕	U+2AC95 (U+2AC95)	f0aab295
𪲖	U+2AC96 (U+2AC96)	f0aab296
𪲗	U+2AC97 (U+2AC97)	f0aab297
𪲘	U+2AC98 (U+2AC98)	f0aab298
𪲙	U+2AC99 (U+2AC99)	f0aab299
𪲚	U+2AC9A (U+2AC9A)	f0aab29a
𪲛	U+2AC9B (U+2AC9B)	f0aab29b
𪲜	U+2AC9C (U+2AC9C)	f0aab29c
𪲝	U+2AC9D (U+2AC9D)	f0aab29d
𪲞	U+2AC9E (U+2AC9E)	f0aab29e
𪲟	U+2AC9F (U+2AC9F)	f0aab29f
𪲠	U+2ACA0 (U+2ACA0)	f0aab2a0
𪲡	U+2ACA1 (U+2ACA1)	f0aab2a1
𪲢	U+2ACA2 (U+2ACA2)	f0aab2a2
𪲣	U+2ACA3 (U+2ACA3)	f0aab2a3
𪲤	U+2ACA4 (U+2ACA4)	f0aab2a4
𪲥	U+2ACA5 (U+2ACA5)	f0aab2a5
𪲦	U+2ACA6 (U+2ACA6)	f0aab2a6
𪲧	U+2ACA7 (U+2ACA7)	f0aab2a7
𪲨	U+2ACA8 (U+2ACA8)	f0aab2a8
𪲩	U+2ACA9 (U+2ACA9)	f0aab2a9
𪲪	U+2ACAA (U+2ACAA)	f0aab2aa
𪲫	U+2ACAB (U+2ACAB)	f0aab2ab
𪲬	U+2ACAC (U+2ACAC)	f0aab2ac
𪲭	U+2ACAD (U+2ACAD)	f0aab2ad
𪲮	U+2ACAE (U+2ACAE)	f0aab2ae
𪲯	U+2ACAF (U+2ACAF)	f0aab2af
𪲰	U+2ACB0 (U+2ACB0)	f0aab2b0
𪲱	U+2ACB1 (U+2ACB1)	f0aab2b1
𪲲	U+2ACB2 (U+2ACB2)	f0aab2b2
𪲳	U+2ACB3 (U+2ACB3)	f0aab2b3
𪲴	U+2ACB4 (U+2ACB4)	f0aab2b4
𪲵	U+2ACB5 (U+2ACB5)	f0aab2b5
𪲶	U+2ACB6 (U+2ACB6)	f0aab2b6
𪲷	U+2ACB7 (U+2ACB7)	f0aab2b7
𪲸	U+2ACB8 (U+2ACB8)	f0aab2b8
𪲹	U+2ACB9 (U+2ACB9)	f0aab2b9
𪲺	U+2ACBA (U+2ACBA)	f0aab2ba
𪲻	U+2ACBB (U+2ACBB)	f0aab2bb
𪲼	U+2ACBC (U+2ACBC)	f0aab2bc
𪲽	U+2ACBD (U+2ACBD)	f0aab2bd
𪲾	U+2ACBE (U+2ACBE)	f0aab2be
𪲿	U+2ACBF (U+2ACBF)	f0aab2bf
𪳀	U+2ACC0 (U+2ACC0)	f0aab380
𪳁	U+2ACC1 (U+2ACC1)	f0aab381
𪳂	U+2ACC2 (U+2ACC2)	f0aab382
