ੱ	GURMUKHI ADDAK (U+0A71)	e0a9b1
ੲ	GURMUKHI IRI (U+0A72)	e0a9b2
ੳ	GURMUKHI URA (U+0A73)	e0a9b3
ੴ	GURMUKHI EK ONKAR (U+0A74)	e0a9b4
ੵ	GURMUKHI SIGN YAKASH (U+0A75)	e0a9b5
ઁ	GUJARATI SIGN CANDRABINDU (U+0A81)	e0aa81
ં	GUJARATI SIGN ANUSVARA (U+0A82)	e0aa82
ઃ	GUJARATI SIGN VISARGA (U+0A83)	e0aa83
અ	GUJARATI LETTER A (U+0A85)	e0aa85
આ	GUJARATI LETTER AA (U+0A86)	e0aa86
ઇ	GUJARATI LETTER I (U+0A87)	e0aa87
ઈ	GUJARATI LETTER II (U+0A88)	e0aa88
ઉ	GUJARATI LETTER U (U+0A89)	e0aa89
ઊ	GUJARATI LETTER UU (U+0A8A)	e0aa8a
ઋ	GUJARATI LETTER VOCALIC R (U+0A8B)	e0aa8b
ઌ	GUJARATI LETTER VOCALIC L (U+0A8C)	e0aa8c
ઍ	GUJARATI VOWEL CANDRA E (U+0A8D)	e0aa8d
એ	GUJARATI LETTER E (U+0A8F)	e0aa8f
ઐ	GUJARATI LETTER AI (U+0A90)	e0aa90
ઑ	GUJARATI VOWEL CANDRA O (U+0A91)	e0aa91
ઓ	GUJARATI LETTER O (U+0A93)	e0aa93
ઔ	GUJARATI LETTER AU (U+0A94)	e0aa94
ક	GUJARATI LETTER KA (U+0A95)	e0aa95
ખ	GUJARATI LETTER KHA (U+0A96)	e0aa96
ગ	GUJARATI LETTER GA (U+0A97)	e0aa97
ઘ	GUJARATI LETTER GHA (U+0A98)	e0aa98
ઙ	GUJARATI LETTER NGA (U+0A99)	e0aa99
ચ	GUJARATI LETTER CA (U+0A9A)	e0aa9a
છ	GUJARATI LETTER CHA (U+0A9B)	e0aa9b
જ	GUJARATI LETTER JA (U+0A9C)	e0aa9c
ઝ	GUJARATI LETTER JHA (U+0A9D)	e0aa9d
ઞ	GUJARATI LETTER NYA (U+0A9E)	e0aa9e
ટ	GUJARATI LETTER TTA (U+0A9F)	e0aa9f
ઠ	GUJARATI LETTER TTHA (U+0AA0)	e0aaa0
ડ	GUJARATI LETTER DDA (U+0AA1)	e0aaa1
ઢ	GUJARATI LETTER DDHA (U+0AA2)	e0aaa2
ણ	GUJARATI LETTER NNA (U+0AA3)	e0aaa3
ત	GUJARATI LETTER TA (U+0AA4)	e0aaa4
થ	GUJARATI LETTER THA (U+0AA5)	e0aaa5
દ	GUJARATI LETTER DA (U+0AA6)	e0aaa6
ધ	GUJARATI LETTER DHA (U+0AA7)	e0aaa7
ન	GUJARATI LETTER NA (U+0AA8)	e0aaa8
પ	GUJARATI LETTER PA (U+0AAA)	e0aaaa
ફ	GUJARATI LETTER PHA (U+0AAB)	e0aaab
બ	GUJARATI LETTER BA (U+0AAC)	e0aaac
ભ	GUJARATI LETTER BHA (U+0AAD)	e0aaad
મ	GUJARATI LETTER MA (U+0AAE)	e0aaae
ય	GUJARATI LETTER YA (U+0AAF)	e0aaaf
ર	GUJARATI LETTER RA (U+0AB0)	e0aab0
લ	GUJARATI LETTER LA (U+0AB2)	e0aab2
ળ	GUJARATI LETTER LLA (U+0AB3)	e0aab3
વ	GUJARATI LETTER VA (U+0AB5)	e0aab5
શ	GUJARATI LETTER SHA (U+0AB6)	e0aab6
ષ	GUJARATI LETTER SSA (U+0AB7)	e0aab7
સ	GUJARATI LETTER SA (U+0AB8)	e0aab8
હ	GUJARATI LETTER HA (U+0AB9)	e0aab9
઼	GUJARATI SIGN NUKTA (U+0ABC)	e0aabc
ઽ	GUJARATI SIGN AVAGRAHA (U+0ABD)	e0aabd
ા	GUJARATI VOWEL SIGN AA (U+0ABE)	e0aabe
િ	GUJARATI VOWEL SIGN I (U+0ABF)	e0aabf
ી	GUJARATI VOWEL SIGN II (U+0AC0)	e0ab80
ુ	GUJARATI VOWEL SIGN U (U+0AC1)	e0ab81
ૂ	GUJARATI VOWEL SIGN UU (U+0AC2)	e0ab82
ૃ	GUJARATI VOWEL SIGN VOCALIC R (U+0AC3)	e0ab83
ૄ	GUJARATI VOWEL SIGN VOCALIC RR (U+0AC4)	e0ab84
ૅ	GUJARATI VOWEL SIGN CANDRA E (U+0AC5)	e0ab85
ે	GUJARATI VOWEL SIGN E (U+0AC7)	e0ab87
ૈ	GUJARATI VOWEL SIGN AI (U+0AC8)	e0ab88
ૉ	GUJARATI VOWEL SIGN CANDRA O (U+0AC9)	e0ab89
ો	GUJARATI VOWEL SIGN O (U+0ACB)	e0ab8b
ૌ	GUJARATI VOWEL SIGN AU (U+0ACC)	e0ab8c
્	GUJARATI SIGN VIRAMA (U+0ACD)	e0ab8d
ૐ	GUJARATI OM (U+0AD0)	e0ab90
ૠ	GUJARATI LETTER VOCALIC RR (U+0AE0)	e0aba0
ૡ	GUJARATI LETTER VOCALIC LL (U+0AE1)	e0aba1
ૢ	GUJARATI VOWEL SIGN VOCALIC L (U+0AE2)	e0aba2
ૣ	GUJARATI VOWEL SIGN VOCALIC LL (U+0AE3)	e0aba3
૦	GUJARATI DIGIT ZERO (U+0AE6)	e0aba6
૧	GUJARATI DIGIT ONE (U+0AE7)	e0aba7
૨	GUJARATI DIGIT TWO (U+0AE8)	e0aba8
૩	GUJARATI DIGIT THREE (U+0AE9)	e0aba9
૪	GUJARATI DIGIT FOUR (U+0AEA)	e0abaa
૫	GUJARATI DIGIT FIVE (U+0AEB)	e0abab
૬	GUJARATI DIGIT SIX (U+0AEC)	e0abac
૭	GUJARATI DIGIT SEVEN (U+0AED)	e0abad
૮	GUJARATI DIGIT EIGHT (U+0AEE)	e0abae
૯	GUJARATI DIGIT NINE (U+0AEF)	e0abaf
૱	GUJARATI RUPEE SIGN (U+0AF1)	e0abb1
ଁ	ORIYA SIGN CANDRABINDU (U+0B01)	e0ac81
ଂ	ORIYA SIGN ANUSVARA (U+0B02)	e0ac82
ଃ	ORIYA SIGN VISARGA (U+0B03)	e0ac83
ଅ	ORIYA LETTER A (U+0B05)	e0ac85
ଆ	ORIYA LETTER AA (U+0B06)	e0ac86
ଇ	ORIYA LETTER I (U+0B07)	e0ac87
ଈ	ORIYA LETTER II (U+0B08)	e0ac88
ଉ	ORIYA LETTER U (U+0B09)	e0ac89
ଊ	ORIYA LETTER UU (U+0B0A)	e0ac8a
ଋ	ORIYA LETTER VOCALIC R (U+0B0B)	e0ac8b
ଌ	ORIYA LETTER VOCALIC L (U+0B0C)	e0ac8c
ଏ	ORIYA LETTER E (U+0B0F)	e0ac8f
ଐ	ORIYA LETTER AI (U+0B10)	e0ac90
ଓ	ORIYA LETTER O (U+0B13)	e0ac93
ଔ	ORIYA LETTER AU (U+0B14)	e0ac94
କ	ORIYA LETTER KA (U+0B15)	e0ac95
ଖ	ORIYA LETTER KHA (U+0B16)	e0ac96
ଗ	ORIYA LETTER GA (U+0B17)	e0ac97
ଘ	ORIYA LETTER GHA (U+0B18)	e0ac98
ଙ	ORIYA LETTER NGA (U+0B19)	e0ac99
ଚ	ORIYA LETTER CA (U+0B1A)	e0ac9a
ଛ	ORIYA LETTER CHA (U+0B1B)	e0ac9b
ଜ	ORIYA LETTER JA (U+0B1C)	e0ac9c
ଝ	ORIYA LETTER JHA (U+0B1D)	e0ac9d
ଞ	ORIYA LETTER NYA (U+0B1E)	e0ac9e
ଟ	ORIYA LETTER TTA (U+0B1F)	e0ac9f
ଠ	ORIYA LETTER TTHA (U+0B20)	e0aca0
ଡ	ORIYA LETTER DDA (U+0B21)	e0aca1
ଢ	ORIYA LETTER DDHA (U+0B22)	e0aca2
ଣ	ORIYA LETTER NNA (U+0B23)	e0aca3
ତ	ORIYA LETTER TA (U+0B24)	e0aca4
