硵	U+7875 (U+7875)	e7a1b5
硶	U+7876 (U+7876)	e7a1b6
硷	alkaline, alkali, lye, salt (U+7877)	e7a1b7
硸	thick-lipped; a grindstone (U+7878)	e7a1b8
硹	U+7879 (U+7879)	e7a1b9
硺	U+787A (U+787A)	e7a1ba
硻	U+787B (U+787B)	e7a1bb
硼	borax, boron (U+787C)	e7a1bc
硽	U+787D (U+787D)	e7a1bd
硾	weight (U+787E)	e7a1be
硿	U+787F (U+787F)	e7a1bf
碀	U+7880 (U+7880)	e7a280
碁	chess; any game similar to chess (U+7881)	e7a281
碂	U+7882 (U+7882)	e7a282
碃	U+7883 (U+7883)	e7a283
碄	U+7884 (U+7884)	e7a284
碅	U+7885 (U+7885)	e7a285
碆	arrow-tip (U+7886)	e7a286
碇	anchor (U+7887)	e7a287
碈	U+7888 (U+7888)	e7a288
碉	room made of stone; watchtower (U+7889)	e7a289
碊	U+788A (U+788A)	e7a28a
碋	U+788B (U+788B)	e7a28b
碌	rough, uneven, rocky; mediocre (U+788C)	e7a28c
碍	obstruct, hinder, block, deter (U+788D)	e7a28d
碎	break, smash; broken, busted (U+788E)	e7a28e
碏	coloured (U+788F)	e7a28f
碐	U+7890 (U+7890)	e7a290
碑	stone tablet; gravestone (U+7891)	e7a291
碒	U+7892 (U+7892)	e7a292
碓	pestle (U+7893)	e7a293
碔	1/2 pr stone (U+7894)	e7a294
碕	a cape, spit, promontory (U+7895)	e7a295
碖	U+7896 (U+7896)	e7a296
碗	bowl, small dish (U+7897)	e7a297
碘	iodine (U+7898)	e7a298
碙	U+7899 (U+7899)	e7a299
碚	suburb (U+789A)	e7a29a
碛	sand and gravel (U+789B)	e7a29b
碜	gritty (U+789C)	e7a29c
碝	U+789D (U+789D)	e7a29d
碞	room made of stone; watchtower (U+789E)	e7a29e
碟	small dish, plate (U+789F)	e7a29f
碠	U+78A0 (U+78A0)	e7a2a0
碡	stone roller used to level fields (U+78A1)	e7a2a1
碢	U+78A2 (U+78A2)	e7a2a2
碣	stone tablet (U+78A3)	e7a2a3
碤	U+78A4 (U+78A4)	e7a2a4
碥	U+78A5 (U+78A5)	e7a2a5
碦	U+78A6 (U+78A6)	e7a2a6
碧	jade; green, blue (U+78A7)	e7a2a7
碨	U+78A8 (U+78A8)	e7a2a8
碩	great, eminent; large, big (U+78A9)	e7a2a9
碪	stone slab used for washing clothes; an anvil (U+78AA)	e7a2aa
碫	U+78AB (U+78AB)	e7a2ab
碬	whetstone (U+78AC)	e7a2ac
碭	brilliantly colored stone with veined patterns in it (U+78AD)	e7a2ad
碮	U+78AE (U+78AE)	e7a2ae
碯	agate, cornelian (U+78AF)	e7a2af
碰	collide, bump into (U+78B0)	e7a2b0
碱	alkaline, alkali, lye, salt (U+78B1)	e7a2b1
碲	U+78B2 (U+78B2)	e7a2b2
碳	carbon (U+78B3)	e7a2b3
碴	chipped edge of a container (U+78B4)	e7a2b4
碵	U+78B5 (U+78B5)	e7a2b5
碶	a flood-gate, a water-gate (U+78B6)	e7a2b6
碷	U+78B7 (U+78B7)	e7a2b7
碸	an organic compound (U+78B8)	e7a2b8
碹	U+78B9 (U+78B9)	e7a2b9
確	sure, certain; real, true (U+78BA)	e7a2ba
碻	solid (U+78BB)	e7a2bb
碼	number, numerals; yard; symbol (U+78BC)	e7a2bc
碽	U+78BD (U+78BD)	e7a2bd
碾	roller, crush; roll (U+78BE)	e7a2be
碿	U+78BF (U+78BF)	e7a2bf
磀	U+78C0 (U+78C0)	e7a380
磁	magnetic; magnetism; porcelain (U+78C1)	e7a381
磂	U+78C2 (U+78C2)	e7a382
磃	U+78C3 (U+78C3)	e7a383
磄	U+78C4 (U+78C4)	e7a384
磅	pound; weigh (U+78C5)	e7a385
磆	U+78C6 (U+78C6)	e7a386
磇	arsenic (U+78C7)	e7a387
磈	U+78C8 (U+78C8)	e7a388
磉	the stone base or plinth of a pillar (U+78C9)	e7a389
磊	pile of rocks or stones; great (U+78CA)	e7a38a
磋	polish, buff; scrutinize (U+78CB)	e7a38b
磌	U+78CC (U+78CC)	e7a38c
磍	U+78CD (U+78CD)	e7a38d
磎	mountain stream, creek (U+78CE)	e7a38e
磏	U+78CF (U+78CF)	e7a38f
磐	large rock, boulder; firm (U+78D0)	e7a390
磑	stone mill; grind; break apart (U+78D1)	e7a391
磒	to fall from or into (U+78D2)	e7a392
磓	to throw (a stone) (U+78D3)	e7a393
磔	to dismember, tear apart; downward stroke slanting right (U+78D4)	e7a394
磕	hit; collide, knock into; sound (U+78D5)	e7a395
磖	U+78D6 (U+78D6)	e7a396
磗	U+78D7 (U+78D7)	e7a397
磘	U+78D8 (U+78D8)	e7a398
