𫒜	U+2B49C (U+2B49C)	f0ab929c
𫒝	U+2B49D (U+2B49D)	f0ab929d
𫒞	U+2B49E (U+2B49E)	f0ab929e
𫒟	U+2B49F (U+2B49F)	f0ab929f
𫒠	U+2B4A0 (U+2B4A0)	f0ab92a0
𫒡	U+2B4A1 (U+2B4A1)	f0ab92a1
𫒢	U+2B4A2 (U+2B4A2)	f0ab92a2
𫒣	U+2B4A3 (U+2B4A3)	f0ab92a3
𫒤	U+2B4A4 (U+2B4A4)	f0ab92a4
𫒥	U+2B4A5 (U+2B4A5)	f0ab92a5
𫒦	U+2B4A6 (U+2B4A6)	f0ab92a6
𫒧	U+2B4A7 (U+2B4A7)	f0ab92a7
𫒨	U+2B4A8 (U+2B4A8)	f0ab92a8
𫒩	U+2B4A9 (U+2B4A9)	f0ab92a9
𫒪	U+2B4AA (U+2B4AA)	f0ab92aa
𫒫	U+2B4AB (U+2B4AB)	f0ab92ab
𫒬	U+2B4AC (U+2B4AC)	f0ab92ac
𫒭	U+2B4AD (U+2B4AD)	f0ab92ad
𫒮	U+2B4AE (U+2B4AE)	f0ab92ae
𫒯	U+2B4AF (U+2B4AF)	f0ab92af
𫒰	U+2B4B0 (U+2B4B0)	f0ab92b0
𫒱	U+2B4B1 (U+2B4B1)	f0ab92b1
𫒲	U+2B4B2 (U+2B4B2)	f0ab92b2
𫒳	U+2B4B3 (U+2B4B3)	f0ab92b3
𫒴	U+2B4B4 (U+2B4B4)	f0ab92b4
𫒵	U+2B4B5 (U+2B4B5)	f0ab92b5
𫒶	armor (U+2B4B6)	f0ab92b6
𫒷	U+2B4B7 (U+2B4B7)	f0ab92b7
𫒸	U+2B4B8 (U+2B4B8)	f0ab92b8
𫒹	U+2B4B9 (U+2B4B9)	f0ab92b9
𫒺	U+2B4BA (U+2B4BA)	f0ab92ba
𫒻	U+2B4BB (U+2B4BB)	f0ab92bb
𫒼	U+2B4BC (U+2B4BC)	f0ab92bc
𫒽	U+2B4BD (U+2B4BD)	f0ab92bd
𫒾	U+2B4BE (U+2B4BE)	f0ab92be
𫒿	U+2B4BF (U+2B4BF)	f0ab92bf
𫓀	U+2B4C0 (U+2B4C0)	f0ab9380
𫓁	U+2B4C1 (U+2B4C1)	f0ab9381
𫓂	U+2B4C2 (U+2B4C2)	f0ab9382
𫓃	U+2B4C3 (U+2B4C3)	f0ab9383
𫓄	U+2B4C4 (U+2B4C4)	f0ab9384
𫓅	U+2B4C5 (U+2B4C5)	f0ab9385
𫓆	U+2B4C6 (U+2B4C6)	f0ab9386
𫓇	U+2B4C7 (U+2B4C7)	f0ab9387
𫓈	U+2B4C8 (U+2B4C8)	f0ab9388
𫓉	U+2B4C9 (U+2B4C9)	f0ab9389
𫓊	U+2B4CA (U+2B4CA)	f0ab938a
𫓋	U+2B4CB (U+2B4CB)	f0ab938b
𫓌	U+2B4CC (U+2B4CC)	f0ab938c
𫓍	U+2B4CD (U+2B4CD)	f0ab938d
𫓎	U+2B4CE (U+2B4CE)	f0ab938e
𫓏	U+2B4CF (U+2B4CF)	f0ab938f
𫓐	U+2B4D0 (U+2B4D0)	f0ab9390
𫓑	U+2B4D1 (U+2B4D1)	f0ab9391
𫓒	U+2B4D2 (U+2B4D2)	f0ab9392
𫓓	U+2B4D3 (U+2B4D3)	f0ab9393
𫓔	U+2B4D4 (U+2B4D4)	f0ab9394
𫓕	U+2B4D5 (U+2B4D5)	f0ab9395
𫓖	U+2B4D6 (U+2B4D6)	f0ab9396
𫓗	U+2B4D7 (U+2B4D7)	f0ab9397
𫓘	U+2B4D8 (U+2B4D8)	f0ab9398
𫓙	U+2B4D9 (U+2B4D9)	f0ab9399
𫓚	U+2B4DA (U+2B4DA)	f0ab939a
𫓛	U+2B4DB (U+2B4DB)	f0ab939b
𫓜	U+2B4DC (U+2B4DC)	f0ab939c
𫓝	U+2B4DD (U+2B4DD)	f0ab939d
𫓞	U+2B4DE (U+2B4DE)	f0ab939e
𫓟	U+2B4DF (U+2B4DF)	f0ab939f
𫓠	U+2B4E0 (U+2B4E0)	f0ab93a0
𫓡	U+2B4E1 (U+2B4E1)	f0ab93a1
𫓢	U+2B4E2 (U+2B4E2)	f0ab93a2
𫓣	U+2B4E3 (U+2B4E3)	f0ab93a3
𫓤	U+2B4E4 (U+2B4E4)	f0ab93a4
𫓥	U+2B4E5 (U+2B4E5)	f0ab93a5
𫓦	U+2B4E6 (U+2B4E6)	f0ab93a6
𫓧	an ax, hatchet (U+2B4E7)	f0ab93a7
𫓨	U+2B4E8 (U+2B4E8)	f0ab93a8
𫓩	a short spear (U+2B4E9)	f0ab93a9
𫓪	U+2B4EA (U+2B4EA)	f0ab93aa
𫓫	U+2B4EB (U+2B4EB)	f0ab93ab
𫓬	U+2B4EC (U+2B4EC)	f0ab93ac
𫓭	U+2B4ED (U+2B4ED)	f0ab93ad
𫓮	U+2B4EE (U+2B4EE)	f0ab93ae
𫓯	U+2B4EF (U+2B4EF)	f0ab93af
𫓰	U+2B4F0 (U+2B4F0)	f0ab93b0
𫓱	U+2B4F1 (U+2B4F1)	f0ab93b1
𫓲	U+2B4F2 (U+2B4F2)	f0ab93b2
𫓳	U+2B4F3 (U+2B4F3)	f0ab93b3
𫓴	U+2B4F4 (U+2B4F4)	f0ab93b4
𫓵	U+2B4F5 (U+2B4F5)	f0ab93b5
𫓶	U+2B4F6 (U+2B4F6)	f0ab93b6
𫓷	U+2B4F7 (U+2B4F7)	f0ab93b7
𫓸	U+2B4F8 (U+2B4F8)	f0ab93b8
𫓹	U+2B4F9 (U+2B4F9)	f0ab93b9
𫓺	U+2B4FA (U+2B4FA)	f0ab93ba
