𡣔	U+218D4 (U+218D4)	f0a1a394
𡣕	a concubine, wife (U+218D5)	f0a1a395
𡣖	U+218D6 (U+218D6)	f0a1a396
𡣗	U+218D7 (U+218D7)	f0a1a397
𡣘	U+218D8 (U+218D8)	f0a1a398
𡣙	U+218D9 (U+218D9)	f0a1a399
𡣚	U+218DA (U+218DA)	f0a1a39a
𡣛	U+218DB (U+218DB)	f0a1a39b
𡣜	U+218DC (U+218DC)	f0a1a39c
𡣝	U+218DD (U+218DD)	f0a1a39d
𡣞	U+218DE (U+218DE)	f0a1a39e
𡣟	U+218DF (U+218DF)	f0a1a39f
𡣠	U+218E0 (U+218E0)	f0a1a3a0
𡣡	U+218E1 (U+218E1)	f0a1a3a1
𡣢	U+218E2 (U+218E2)	f0a1a3a2
𡣣	U+218E3 (U+218E3)	f0a1a3a3
𡣤	U+218E4 (U+218E4)	f0a1a3a4
𡣥	U+218E5 (U+218E5)	f0a1a3a5
𡣦	U+218E6 (U+218E6)	f0a1a3a6
𡣧	U+218E7 (U+218E7)	f0a1a3a7
𡣨	U+218E8 (U+218E8)	f0a1a3a8
𡣩	U+218E9 (U+218E9)	f0a1a3a9
𡣪	U+218EA (U+218EA)	f0a1a3aa
𡣫	U+218EB (U+218EB)	f0a1a3ab
𡣬	U+218EC (U+218EC)	f0a1a3ac
𡣭	U+218ED (U+218ED)	f0a1a3ad
𡣮	U+218EE (U+218EE)	f0a1a3ae
𡣯	U+218EF (U+218EF)	f0a1a3af
𡣰	U+218F0 (U+218F0)	f0a1a3b0
𡣱	U+218F1 (U+218F1)	f0a1a3b1
𡣲	U+218F2 (U+218F2)	f0a1a3b2
𡣳	U+218F3 (U+218F3)	f0a1a3b3
𡣴	U+218F4 (U+218F4)	f0a1a3b4
𡣵	U+218F5 (U+218F5)	f0a1a3b5
𡣶	U+218F6 (U+218F6)	f0a1a3b6
𡣷	U+218F7 (U+218F7)	f0a1a3b7
𡣸	U+218F8 (U+218F8)	f0a1a3b8
𡣹	U+218F9 (U+218F9)	f0a1a3b9
𡣺	U+218FA (U+218FA)	f0a1a3ba
𡣻	U+218FB (U+218FB)	f0a1a3bb
𡣼	U+218FC (U+218FC)	f0a1a3bc
𡣽	U+218FD (U+218FD)	f0a1a3bd
𡣾	U+218FE (U+218FE)	f0a1a3be
𡣿	U+218FF (U+218FF)	f0a1a3bf
𡤀	U+21900 (U+21900)	f0a1a480
𡤁	U+21901 (U+21901)	f0a1a481
𡤂	U+21902 (U+21902)	f0a1a482
𡤃	U+21903 (U+21903)	f0a1a483
𡤄	U+21904 (U+21904)	f0a1a484
𡤅	U+21905 (U+21905)	f0a1a485
𡤆	U+21906 (U+21906)	f0a1a486
𡤇	U+21907 (U+21907)	f0a1a487
𡤈	U+21908 (U+21908)	f0a1a488
𡤉	U+21909 (U+21909)	f0a1a489
𡤊	U+2190A (U+2190A)	f0a1a48a
𡤋	U+2190B (U+2190B)	f0a1a48b
𡤌	U+2190C (U+2190C)	f0a1a48c
𡤍	U+2190D (U+2190D)	f0a1a48d
𡤎	U+2190E (U+2190E)	f0a1a48e
𡤏	U+2190F (U+2190F)	f0a1a48f
𡤐	U+21910 (U+21910)	f0a1a490
𡤑	U+21911 (U+21911)	f0a1a491
𡤒	U+21912 (U+21912)	f0a1a492
𡤓	U+21913 (U+21913)	f0a1a493
𡤔	U+21914 (U+21914)	f0a1a494
𡤕	U+21915 (U+21915)	f0a1a495
𡤖	U+21916 (U+21916)	f0a1a496
𡤗	U+21917 (U+21917)	f0a1a497
𡤘	U+21918 (U+21918)	f0a1a498
𡤙	U+21919 (U+21919)	f0a1a499
𡤚	U+2191A (U+2191A)	f0a1a49a
𡤛	U+2191B (U+2191B)	f0a1a49b
𡤜	U+2191C (U+2191C)	f0a1a49c
𡤝	U+2191D (U+2191D)	f0a1a49d
𡤞	U+2191E (U+2191E)	f0a1a49e
𡤟	U+2191F (U+2191F)	f0a1a49f
𡤠	U+21920 (U+21920)	f0a1a4a0
𡤡	U+21921 (U+21921)	f0a1a4a1
𡤢	U+21922 (U+21922)	f0a1a4a2
𡤣	U+21923 (U+21923)	f0a1a4a3
𡤤	U+21924 (U+21924)	f0a1a4a4
𡤥	U+21925 (U+21925)	f0a1a4a5
𡤦	U+21926 (U+21926)	f0a1a4a6
𡤧	U+21927 (U+21927)	f0a1a4a7
𡤨	U+21928 (U+21928)	f0a1a4a8
𡤩	U+21929 (U+21929)	f0a1a4a9
𡤪	U+2192A (U+2192A)	f0a1a4aa
𡤫	U+2192B (U+2192B)	f0a1a4ab
𡤬	U+2192C (U+2192C)	f0a1a4ac
𡤭	U+2192D (U+2192D)	f0a1a4ad
𡤮	U+2192E (U+2192E)	f0a1a4ae
𡤯	U+2192F (U+2192F)	f0a1a4af
𡤰	U+21930 (U+21930)	f0a1a4b0
𡤱	U+21931 (U+21931)	f0a1a4b1
𡤲	U+21932 (U+21932)	f0a1a4b2
𡤳	U+21933 (U+21933)	f0a1a4b3
𡤴	U+21934 (U+21934)	f0a1a4b4
𡤵	U+21935 (U+21935)	f0a1a4b5
𡤶	U+21936 (U+21936)	f0a1a4b6
𡤷	U+21937 (U+21937)	f0a1a4b7
𡤸	U+21938 (U+21938)	f0a1a4b8
𡤹	U+21939 (U+21939)	f0a1a4b9
𡤺	U+2193A (U+2193A)	f0a1a4ba
𡤻	U+2193B (U+2193B)	f0a1a4bb
𡤼	U+2193C (U+2193C)	f0a1a4bc
𡤽	U+2193D (U+2193D)	f0a1a4bd
𡤾	U+2193E (U+2193E)	f0a1a4be
𡤿	U+2193F (U+2193F)	f0a1a4bf
𡥀	U+21940 (U+21940)	f0a1a580
𡥁	U+21941 (U+21941)	f0a1a581
𡥂	U+21942 (U+21942)	f0a1a582
𡥃	U+21943 (U+21943)	f0a1a583
𡥄	U+21944 (U+21944)	f0a1a584
𡥅	U+21945 (U+21945)	f0a1a585
𡥆	U+21946 (U+21946)	f0a1a586
𡥇	U+21947 (U+21947)	f0a1a587
𡥈	U+21948 (U+21948)	f0a1a588
𡥉	U+21949 (U+21949)	f0a1a589
𡥊	U+2194A (U+2194A)	f0a1a58a
𡥋	U+2194B (U+2194B)	f0a1a58b
𡥌	U+2194C (U+2194C)	f0a1a58c
𡥍	U+2194D (U+2194D)	f0a1a58d
𡥎	U+2194E (U+2194E)	f0a1a58e
𡥏	U+2194F (U+2194F)	f0a1a58f
𡥐	U+21950 (U+21950)	f0a1a590
𡥑	U+21951 (U+21951)	f0a1a591
𡥒	U+21952 (U+21952)	f0a1a592
𡥓	U+21953 (U+21953)	f0a1a593
𡥔	U+21954 (U+21954)	f0a1a594
𡥕	U+21955 (U+21955)	f0a1a595
𡥖	U+21956 (U+21956)	f0a1a596
𡥗	U+21957 (U+21957)	f0a1a597
𡥘	U+21958 (U+21958)	f0a1a598
𡥙	U+21959 (U+21959)	f0a1a599
𡥚	U+2195A (U+2195A)	f0a1a59a
𡥛	U+2195B (U+2195B)	f0a1a59b
𡥜	U+2195C (U+2195C)	f0a1a59c
𡥝	U+2195D (U+2195D)	f0a1a59d
𡥞	U+2195E (U+2195E)	f0a1a59e
𡥟	U+2195F (U+2195F)	f0a1a59f
𡥠	U+21960 (U+21960)	f0a1a5a0
𡥡	U+21961 (U+21961)	f0a1a5a1
𡥢	U+21962 (U+21962)	f0a1a5a2
𡥣	U+21963 (U+21963)	f0a1a5a3
𡥤	U+21964 (U+21964)	f0a1a5a4
𡥥	U+21965 (U+21965)	f0a1a5a5
𡥦	U+21966 (U+21966)	f0a1a5a6
𡥧	U+21967 (U+21967)	f0a1a5a7
𡥨	U+21968 (U+21968)	f0a1a5a8
𡥩	U+21969 (U+21969)	f0a1a5a9
𡥪	U+2196A (U+2196A)	f0a1a5aa
𡥫	U+2196B (U+2196B)	f0a1a5ab
𡥬	U+2196C (U+2196C)	f0a1a5ac
𡥭	U+2196D (U+2196D)	f0a1a5ad
𡥮	U+2196E (U+2196E)	f0a1a5ae
𡥯	U+2196F (U+2196F)	f0a1a5af
𡥰	U+21970 (U+21970)	f0a1a5b0
𡥱	U+21971 (U+21971)	f0a1a5b1
𡥲	U+21972 (U+21972)	f0a1a5b2
𡥳	U+21973 (U+21973)	f0a1a5b3
𡥴	U+21974 (U+21974)	f0a1a5b4
𡥵	U+21975 (U+21975)	f0a1a5b5
𡥶	U+21976 (U+21976)	f0a1a5b6
𡥷	U+21977 (U+21977)	f0a1a5b7
𡥸	U+21978 (U+21978)	f0a1a5b8
𡥹	U+21979 (U+21979)	f0a1a5b9
𡥺	U+2197A (U+2197A)	f0a1a5ba
𡥻	U+2197B (U+2197B)	f0a1a5bb
𡥼	(Cant.) to carry on the back (U+2197C)	f0a1a5bc
𡥽	U+2197D (U+2197D)	f0a1a5bd
𡥾	U+2197E (U+2197E)	f0a1a5be
𡥿	U+2197F (U+2197F)	f0a1a5bf
𡦀	U+21980 (U+21980)	f0a1a680
𡦁	U+21981 (U+21981)	f0a1a681
𡦂	U+21982 (U+21982)	f0a1a682
𡦃	U+21983 (U+21983)	f0a1a683
𡦄	U+21984 (U+21984)	f0a1a684
𡦅	U+21985 (U+21985)	f0a1a685
𡦆	U+21986 (U+21986)	f0a1a686
𡦇	U+21987 (U+21987)	f0a1a687
𡦈	U+21988 (U+21988)	f0a1a688
𡦉	U+21989 (U+21989)	f0a1a689
𡦊	U+2198A (U+2198A)	f0a1a68a
𡦋	U+2198B (U+2198B)	f0a1a68b
𡦌	U+2198C (U+2198C)	f0a1a68c
