𪢁	U+2A881 (U+2A881)	f0aaa281
𪢂	U+2A882 (U+2A882)	f0aaa282
𪢃	U+2A883 (U+2A883)	f0aaa283
𪢄	U+2A884 (U+2A884)	f0aaa284
𪢅	U+2A885 (U+2A885)	f0aaa285
𪢆	U+2A886 (U+2A886)	f0aaa286
𪢇	U+2A887 (U+2A887)	f0aaa287
𪢈	U+2A888 (U+2A888)	f0aaa288
𪢉	U+2A889 (U+2A889)	f0aaa289
𪢊	U+2A88A (U+2A88A)	f0aaa28a
𪢋	U+2A88B (U+2A88B)	f0aaa28b
𪢌	U+2A88C (U+2A88C)	f0aaa28c
𪢍	U+2A88D (U+2A88D)	f0aaa28d
𪢎	U+2A88E (U+2A88E)	f0aaa28e
𪢏	U+2A88F (U+2A88F)	f0aaa28f
𪢐	U+2A890 (U+2A890)	f0aaa290
𪢑	U+2A891 (U+2A891)	f0aaa291
𪢒	U+2A892 (U+2A892)	f0aaa292
𪢓	U+2A893 (U+2A893)	f0aaa293
𪢔	U+2A894 (U+2A894)	f0aaa294
𪢕	U+2A895 (U+2A895)	f0aaa295
𪢖	U+2A896 (U+2A896)	f0aaa296
𪢗	U+2A897 (U+2A897)	f0aaa297
𪢘	U+2A898 (U+2A898)	f0aaa298
𪢙	U+2A899 (U+2A899)	f0aaa299
𪢚	U+2A89A (U+2A89A)	f0aaa29a
𪢛	U+2A89B (U+2A89B)	f0aaa29b
𪢜	U+2A89C (U+2A89C)	f0aaa29c
𪢝	U+2A89D (U+2A89D)	f0aaa29d
𪢞	U+2A89E (U+2A89E)	f0aaa29e
𪢟	U+2A89F (U+2A89F)	f0aaa29f
𪢠	U+2A8A0 (U+2A8A0)	f0aaa2a0
𪢡	U+2A8A1 (U+2A8A1)	f0aaa2a1
𪢢	U+2A8A2 (U+2A8A2)	f0aaa2a2
𪢣	U+2A8A3 (U+2A8A3)	f0aaa2a3
𪢤	U+2A8A4 (U+2A8A4)	f0aaa2a4
𪢥	U+2A8A5 (U+2A8A5)	f0aaa2a5
𪢦	U+2A8A6 (U+2A8A6)	f0aaa2a6
𪢧	U+2A8A7 (U+2A8A7)	f0aaa2a7
𪢨	U+2A8A8 (U+2A8A8)	f0aaa2a8
𪢩	U+2A8A9 (U+2A8A9)	f0aaa2a9
𪢪	U+2A8AA (U+2A8AA)	f0aaa2aa
𪢫	U+2A8AB (U+2A8AB)	f0aaa2ab
𪢬	U+2A8AC (U+2A8AC)	f0aaa2ac
𪢭	U+2A8AD (U+2A8AD)	f0aaa2ad
𪢮	entire, complete; round (U+2A8AE)	f0aaa2ae
𪢯	U+2A8AF (U+2A8AF)	f0aaa2af
𪢰	U+2A8B0 (U+2A8B0)	f0aaa2b0
𪢱	U+2A8B1 (U+2A8B1)	f0aaa2b1
𪢲	U+2A8B2 (U+2A8B2)	f0aaa2b2
𪢳	U+2A8B3 (U+2A8B3)	f0aaa2b3
𪢴	U+2A8B4 (U+2A8B4)	f0aaa2b4
𪢵	U+2A8B5 (U+2A8B5)	f0aaa2b5
𪢶	U+2A8B6 (U+2A8B6)	f0aaa2b6
𪢷	U+2A8B7 (U+2A8B7)	f0aaa2b7
𪢸	U+2A8B8 (U+2A8B8)	f0aaa2b8
𪢹	U+2A8B9 (U+2A8B9)	f0aaa2b9
𪢺	U+2A8BA (U+2A8BA)	f0aaa2ba
𪢻	U+2A8BB (U+2A8BB)	f0aaa2bb
𪢼	U+2A8BC (U+2A8BC)	f0aaa2bc
𪢽	U+2A8BD (U+2A8BD)	f0aaa2bd
𪢾	U+2A8BE (U+2A8BE)	f0aaa2be
𪢿	U+2A8BF (U+2A8BF)	f0aaa2bf
𪣀	U+2A8C0 (U+2A8C0)	f0aaa380
𪣁	U+2A8C1 (U+2A8C1)	f0aaa381
𪣂	U+2A8C2 (U+2A8C2)	f0aaa382
𪣃	U+2A8C3 (U+2A8C3)	f0aaa383
𪣄	U+2A8C4 (U+2A8C4)	f0aaa384
𪣅	U+2A8C5 (U+2A8C5)	f0aaa385
𪣆	U+2A8C6 (U+2A8C6)	f0aaa386
𪣇	U+2A8C7 (U+2A8C7)	f0aaa387
𪣈	U+2A8C8 (U+2A8C8)	f0aaa388
𪣉	U+2A8C9 (U+2A8C9)	f0aaa389
𪣊	U+2A8CA (U+2A8CA)	f0aaa38a
𪣋	U+2A8CB (U+2A8CB)	f0aaa38b
𪣌	U+2A8CC (U+2A8CC)	f0aaa38c
𪣍	U+2A8CD (U+2A8CD)	f0aaa38d
𪣎	U+2A8CE (U+2A8CE)	f0aaa38e
𪣏	U+2A8CF (U+2A8CF)	f0aaa38f
𪣐	U+2A8D0 (U+2A8D0)	f0aaa390
𪣑	U+2A8D1 (U+2A8D1)	f0aaa391
𪣒	U+2A8D2 (U+2A8D2)	f0aaa392
𪣓	U+2A8D3 (U+2A8D3)	f0aaa393
𪣔	U+2A8D4 (U+2A8D4)	f0aaa394
𪣕	U+2A8D5 (U+2A8D5)	f0aaa395
𪣖	U+2A8D6 (U+2A8D6)	f0aaa396
𪣗	U+2A8D7 (U+2A8D7)	f0aaa397
𪣘	U+2A8D8 (U+2A8D8)	f0aaa398
𪣙	U+2A8D9 (U+2A8D9)	f0aaa399
𪣚	U+2A8DA (U+2A8DA)	f0aaa39a
𪣛	U+2A8DB (U+2A8DB)	f0aaa39b
𪣜	U+2A8DC (U+2A8DC)	f0aaa39c
𪣝	U+2A8DD (U+2A8DD)	f0aaa39d
𪣞	U+2A8DE (U+2A8DE)	f0aaa39e
𪣟	U+2A8DF (U+2A8DF)	f0aaa39f
𪣠	U+2A8E0 (U+2A8E0)	f0aaa3a0
𪣡	U+2A8E1 (U+2A8E1)	f0aaa3a1
𪣢	U+2A8E2 (U+2A8E2)	f0aaa3a2
𪣣	U+2A8E3 (U+2A8E3)	f0aaa3a3
𪣤	U+2A8E4 (U+2A8E4)	f0aaa3a4
𪣥	U+2A8E5 (U+2A8E5)	f0aaa3a5
𪣦	U+2A8E6 (U+2A8E6)	f0aaa3a6
𪣧	U+2A8E7 (U+2A8E7)	f0aaa3a7
𪣨	U+2A8E8 (U+2A8E8)	f0aaa3a8
𪣩	U+2A8E9 (U+2A8E9)	f0aaa3a9
𪣪	U+2A8EA (U+2A8EA)	f0aaa3aa
𪣫	U+2A8EB (U+2A8EB)	f0aaa3ab
𪣬	U+2A8EC (U+2A8EC)	f0aaa3ac
𪣭	U+2A8ED (U+2A8ED)	f0aaa3ad
𪣮	U+2A8EE (U+2A8EE)	f0aaa3ae
𪣯	U+2A8EF (U+2A8EF)	f0aaa3af
𪣰	U+2A8F0 (U+2A8F0)	f0aaa3b0
𪣱	U+2A8F1 (U+2A8F1)	f0aaa3b1
𪣲	U+2A8F2 (U+2A8F2)	f0aaa3b2
𪣳	U+2A8F3 (U+2A8F3)	f0aaa3b3
𪣴	U+2A8F4 (U+2A8F4)	f0aaa3b4
𪣵	U+2A8F5 (U+2A8F5)	f0aaa3b5
𪣶	U+2A8F6 (U+2A8F6)	f0aaa3b6
