篭	cage; cage-like basket (U+7BED)	e7afad
篮	basket (U+7BEE)	e7afae
篯	U+7BEF (U+7BEF)	e7afaf
篰	a bamboo basket (U+7BF0)	e7afb0
篱	bamboo or wooden fence; hedge (U+7BF1)	e7afb1
篲	broomstick (U+7BF2)	e7afb2
篳	wicker, bamboo (U+7BF3)	e7afb3
篴	bamboo flute; whistle (U+7BF4)	e7afb4
篵	U+7BF5 (U+7BF5)	e7afb5
篶	U+7BF6 (U+7BF6)	e7afb6
篷	awning, covering; sail; boat (U+7BF7)	e7afb7
篸	a basket, hod, scuttle; a hairclasp (U+7BF8)	e7afb8
篹	to collect; edit; a bamboo basket (U+7BF9)	e7afb9
篺	U+7BFA (U+7BFA)	e7afba
篻	U+7BFB (U+7BFB)	e7afbb
篼	mountain sedan chair; (Cant.) a simple container without a cover (U+7BFC)	e7afbc
篽	U+7BFD (U+7BFD)	e7afbd
篾	bamboo splints or slats (U+7BFE)	e7afbe
篿	U+7BFF (U+7BFF)	e7afbf
簀	bed mat; mat (U+7C00)	e7b080
簁	sieve; to sift, to strain (U+7C01)	e7b081
簂	U+7C02 (U+7C02)	e7b082
簃	side room (U+7C03)	e7b083
簄	U+7C04 (U+7C04)	e7b084
簅	U+7C05 (U+7C05)	e7b085
簆	reed (U+7C06)	e7b086
簇	swarm, crowd together, cluster (U+7C07)	e7b087
簈	bamboo mat used to protect carriage passengers from dust (U+7C08)	e7b088
簉	deputy, subordinate; concubine (U+7C09)	e7b089
簊	U+7C0A (U+7C0A)	e7b08a
簋	a square basket of bamboo for holding grain used at sacrifices, feast (U+7C0B)	e7b08b
簌	(of flower petals) falling (U+7C0C)	e7b08c
簍	bamboo basket (U+7C0D)	e7b08d
簎	U+7C0E (U+7C0E)	e7b08e
簏	a box, a basket (U+7C0F)	e7b08f
簐	U+7C10 (U+7C10)	e7b090
簑	a coat raincoat (U+7C11)	e7b091
簒	usurp (U+7C12)	e7b092
簓	a bamboo whisk; the broken end of a bamboo stalk (U+7C13)	e7b093
簔	a coat raincoat (U+7C14)	e7b094
簕	(Cant.) thorn (U+7C15)	e7b095
簖	bamboo trap for catching fish (U+7C16)	e7b096
簗	a weir, fish trap, fish pond (U+7C17)	e7b097
簘	musical instrument like pan-pipes, bamboo flute (U+7C18)	e7b098
簙	U+7C19 (U+7C19)	e7b099
簚	U+7C1A (U+7C1A)	e7b09a
簛	sieve; to sift; to strain (U+7C1B)	e7b09b
簜	bamboo (U+7C1C)	e7b09c
簝	U+7C1D (U+7C1D)	e7b09d
簞	small bamboo basket for holding (U+7C1E)	e7b09e
簟	bamboo mat (U+7C1F)	e7b09f
簠	an ancient vessel used for holding boiled grain (U+7C20)	e7b0a0
簡	simple, terse, succinct; letter (U+7C21)	e7b0a1
簢	U+7C22 (U+7C22)	e7b0a2
