𥲽	U+25CBD (U+25CBD)	f0a5b2bd
𥲾	U+25CBE (U+25CBE)	f0a5b2be
𥲿	U+25CBF (U+25CBF)	f0a5b2bf
𥳀	U+25CC0 (U+25CC0)	f0a5b380
𥳁	U+25CC1 (U+25CC1)	f0a5b381
𥳂	U+25CC2 (U+25CC2)	f0a5b382
𥳃	U+25CC3 (U+25CC3)	f0a5b383
𥳄	U+25CC4 (U+25CC4)	f0a5b384
𥳅	U+25CC5 (U+25CC5)	f0a5b385
𥳆	U+25CC6 (U+25CC6)	f0a5b386
𥳇	U+25CC7 (U+25CC7)	f0a5b387
𥳈	U+25CC8 (U+25CC8)	f0a5b388
𥳉	U+25CC9 (U+25CC9)	f0a5b389
𥳊	U+25CCA (U+25CCA)	f0a5b38a
𥳋	U+25CCB (U+25CCB)	f0a5b38b
𥳌	U+25CCC (U+25CCC)	f0a5b38c
𥳍	U+25CCD (U+25CCD)	f0a5b38d
𥳎	U+25CCE (U+25CCE)	f0a5b38e
𥳏	U+25CCF (U+25CCF)	f0a5b38f
𥳐	U+25CD0 (U+25CD0)	f0a5b390
𥳑	U+25CD1 (U+25CD1)	f0a5b391
𥳒	U+25CD2 (U+25CD2)	f0a5b392
𥳓	U+25CD3 (U+25CD3)	f0a5b393
𥳔	U+25CD4 (U+25CD4)	f0a5b394
𥳕	U+25CD5 (U+25CD5)	f0a5b395
𥳖	U+25CD6 (U+25CD6)	f0a5b396
𥳗	U+25CD7 (U+25CD7)	f0a5b397
𥳘	U+25CD8 (U+25CD8)	f0a5b398
𥳙	U+25CD9 (U+25CD9)	f0a5b399
𥳚	U+25CDA (U+25CDA)	f0a5b39a
𥳛	U+25CDB (U+25CDB)	f0a5b39b
𥳜	U+25CDC (U+25CDC)	f0a5b39c
𥳝	U+25CDD (U+25CDD)	f0a5b39d
𥳞	U+25CDE (U+25CDE)	f0a5b39e
𥳟	U+25CDF (U+25CDF)	f0a5b39f
𥳠	U+25CE0 (U+25CE0)	f0a5b3a0
𥳡	U+25CE1 (U+25CE1)	f0a5b3a1
𥳢	U+25CE2 (U+25CE2)	f0a5b3a2
𥳣	U+25CE3 (U+25CE3)	f0a5b3a3
𥳤	U+25CE4 (U+25CE4)	f0a5b3a4
𥳥	U+25CE5 (U+25CE5)	f0a5b3a5
𥳦	U+25CE6 (U+25CE6)	f0a5b3a6
𥳧	U+25CE7 (U+25CE7)	f0a5b3a7
𥳨	U+25CE8 (U+25CE8)	f0a5b3a8
𥳩	U+25CE9 (U+25CE9)	f0a5b3a9
𥳪	U+25CEA (U+25CEA)	f0a5b3aa
𥳫	U+25CEB (U+25CEB)	f0a5b3ab
𥳬	U+25CEC (U+25CEC)	f0a5b3ac
𥳭	U+25CED (U+25CED)	f0a5b3ad
𥳮	U+25CEE (U+25CEE)	f0a5b3ae
𥳯	U+25CEF (U+25CEF)	f0a5b3af
𥳰	U+25CF0 (U+25CF0)	f0a5b3b0
𥳱	U+25CF1 (U+25CF1)	f0a5b3b1
𥳲	U+25CF2 (U+25CF2)	f0a5b3b2
𥳳	U+25CF3 (U+25CF3)	f0a5b3b3
𥳴	U+25CF4 (U+25CF4)	f0a5b3b4
𥳵	U+25CF5 (U+25CF5)	f0a5b3b5
𥳶	U+25CF6 (U+25CF6)	f0a5b3b6
𥳷	U+25CF7 (U+25CF7)	f0a5b3b7
𥳸	U+25CF8 (U+25CF8)	f0a5b3b8
𥳹	U+25CF9 (U+25CF9)	f0a5b3b9
𥳺	U+25CFA (U+25CFA)	f0a5b3ba
𥳻	U+25CFB (U+25CFB)	f0a5b3bb
𥳼	U+25CFC (U+25CFC)	f0a5b3bc
𥳽	U+25CFD (U+25CFD)	f0a5b3bd
𥳾	U+25CFE (U+25CFE)	f0a5b3be
𥳿	U+25CFF (U+25CFF)	f0a5b3bf
𥴀	U+25D00 (U+25D00)	f0a5b480
𥴁	U+25D01 (U+25D01)	f0a5b481
𥴂	U+25D02 (U+25D02)	f0a5b482
𥴃	U+25D03 (U+25D03)	f0a5b483
𥴄	U+25D04 (U+25D04)	f0a5b484
𥴅	U+25D05 (U+25D05)	f0a5b485
𥴆	U+25D06 (U+25D06)	f0a5b486
𥴇	U+25D07 (U+25D07)	f0a5b487
𥴈	U+25D08 (U+25D08)	f0a5b488
𥴉	U+25D09 (U+25D09)	f0a5b489
