𣁹	U+23079 (U+23079)	f0a381b9
𣁺	U+2307A (U+2307A)	f0a381ba
𣁻	U+2307B (U+2307B)	f0a381bb
𣁼	U+2307C (U+2307C)	f0a381bc
𣁽	U+2307D (U+2307D)	f0a381bd
𣁾	U+2307E (U+2307E)	f0a381be
𣁿	U+2307F (U+2307F)	f0a381bf
𣂀	U+23080 (U+23080)	f0a38280
𣂁	U+23081 (U+23081)	f0a38281
𣂂	U+23082 (U+23082)	f0a38282
𣂃	U+23083 (U+23083)	f0a38283
𣂄	U+23084 (U+23084)	f0a38284
𣂅	U+23085 (U+23085)	f0a38285
𣂆	U+23086 (U+23086)	f0a38286
𣂇	U+23087 (U+23087)	f0a38287
𣂈	U+23088 (U+23088)	f0a38288
𣂉	U+23089 (U+23089)	f0a38289
𣂊	U+2308A (U+2308A)	f0a3828a
𣂋	U+2308B (U+2308B)	f0a3828b
𣂌	U+2308C (U+2308C)	f0a3828c
𣂍	U+2308D (U+2308D)	f0a3828d
𣂎	U+2308E (U+2308E)	f0a3828e
𣂏	U+2308F (U+2308F)	f0a3828f
𣂐	U+23090 (U+23090)	f0a38290
𣂑	U+23091 (U+23091)	f0a38291
𣂒	U+23092 (U+23092)	f0a38292
𣂓	U+23093 (U+23093)	f0a38293
𣂔	U+23094 (U+23094)	f0a38294
𣂕	U+23095 (U+23095)	f0a38295
𣂖	U+23096 (U+23096)	f0a38296
𣂗	U+23097 (U+23097)	f0a38297
𣂘	U+23098 (U+23098)	f0a38298
𣂙	U+23099 (U+23099)	f0a38299
𣂚	U+2309A (U+2309A)	f0a3829a
𣂛	U+2309B (U+2309B)	f0a3829b
𣂜	U+2309C (U+2309C)	f0a3829c
𣂝	U+2309D (U+2309D)	f0a3829d
𣂞	U+2309E (U+2309E)	f0a3829e
𣂟	U+2309F (U+2309F)	f0a3829f
𣂠	U+230A0 (U+230A0)	f0a382a0
𣂡	U+230A1 (U+230A1)	f0a382a1
𣂢	U+230A2 (U+230A2)	f0a382a2
𣂣	U+230A3 (U+230A3)	f0a382a3
𣂤	U+230A4 (U+230A4)	f0a382a4
𣂥	U+230A5 (U+230A5)	f0a382a5
𣂦	U+230A6 (U+230A6)	f0a382a6
𣂧	U+230A7 (U+230A7)	f0a382a7
𣂨	U+230A8 (U+230A8)	f0a382a8
𣂩	U+230A9 (U+230A9)	f0a382a9
𣂪	U+230AA (U+230AA)	f0a382aa
𣂫	U+230AB (U+230AB)	f0a382ab
𣂬	U+230AC (U+230AC)	f0a382ac
𣂭	U+230AD (U+230AD)	f0a382ad
𣂮	U+230AE (U+230AE)	f0a382ae
𣂯	U+230AF (U+230AF)	f0a382af
𣂰	U+230B0 (U+230B0)	f0a382b0
𣂱	U+230B1 (U+230B1)	f0a382b1
𣂲	U+230B2 (U+230B2)	f0a382b2
𣂳	U+230B3 (U+230B3)	f0a382b3
𣂴	U+230B4 (U+230B4)	f0a382b4
𣂵	U+230B5 (U+230B5)	f0a382b5
𣂶	U+230B6 (U+230B6)	f0a382b6
𣂷	U+230B7 (U+230B7)	f0a382b7
𣂸	U+230B8 (U+230B8)	f0a382b8
𣂹	U+230B9 (U+230B9)	f0a382b9
𣂺	U+230BA (U+230BA)	f0a382ba
𣂻	U+230BB (U+230BB)	f0a382bb
𣂼	U+230BC (U+230BC)	f0a382bc
𣂽	U+230BD (U+230BD)	f0a382bd
𣂾	U+230BE (U+230BE)	f0a382be
𣂿	U+230BF (U+230BF)	f0a382bf
𣃀	U+230C0 (U+230C0)	f0a38380
𣃁	U+230C1 (U+230C1)	f0a38381
𣃂	U+230C2 (U+230C2)	f0a38382
𣃃	U+230C3 (U+230C3)	f0a38383
𣃄	U+230C4 (U+230C4)	f0a38384
𣃅	U+230C5 (U+230C5)	f0a38385
𣃆	U+230C6 (U+230C6)	f0a38386
𣃇	U+230C7 (U+230C7)	f0a38387
𣃈	U+230C8 (U+230C8)	f0a38388
𣃉	U+230C9 (U+230C9)	f0a38389
𣃊	U+230CA (U+230CA)	f0a3838a
𣃋	U+230CB (U+230CB)	f0a3838b
𣃌	U+230CC (U+230CC)	f0a3838c
𣃍	U+230CD (U+230CD)	f0a3838d
𣃎	U+230CE (U+230CE)	f0a3838e
𣃏	U+230CF (U+230CF)	f0a3838f
𣃐	U+230D0 (U+230D0)	f0a38390
𣃑	U+230D1 (U+230D1)	f0a38391
𣃒	U+230D2 (U+230D2)	f0a38392
𣃓	U+230D3 (U+230D3)	f0a38393
𣃔	U+230D4 (U+230D4)	f0a38394
𣃕	U+230D5 (U+230D5)	f0a38395
𣃖	U+230D6 (U+230D6)	f0a38396
𣃗	U+230D7 (U+230D7)	f0a38397
𣃘	U+230D8 (U+230D8)	f0a38398
𣃙	U+230D9 (U+230D9)	f0a38399
𣃚	U+230DA (U+230DA)	f0a3839a
𣃛	U+230DB (U+230DB)	f0a3839b
𣃜	U+230DC (U+230DC)	f0a3839c
𣃝	U+230DD (U+230DD)	f0a3839d
𣃞	U+230DE (U+230DE)	f0a3839e
𣃟	U+230DF (U+230DF)	f0a3839f
𣃠	U+230E0 (U+230E0)	f0a383a0
𣃡	U+230E1 (U+230E1)	f0a383a1
𣃢	U+230E2 (U+230E2)	f0a383a2
𣃣	U+230E3 (U+230E3)	f0a383a3
𣃤	U+230E4 (U+230E4)	f0a383a4
𣃥	U+230E5 (U+230E5)	f0a383a5
𣃦	U+230E6 (U+230E6)	f0a383a6
𣃧	U+230E7 (U+230E7)	f0a383a7
𣃨	U+230E8 (U+230E8)	f0a383a8
𣃩	U+230E9 (U+230E9)	f0a383a9
𣃪	U+230EA (U+230EA)	f0a383aa
𣃫	U+230EB (U+230EB)	f0a383ab
𣃬	U+230EC (U+230EC)	f0a383ac
𣃭	U+230ED (U+230ED)	f0a383ad
𣃮	U+230EE (U+230EE)	f0a383ae
𣃯	U+230EF (U+230EF)	f0a383af
𣃰	U+230F0 (U+230F0)	f0a383b0
𣃱	U+230F1 (U+230F1)	f0a383b1
𣃲	U+230F2 (U+230F2)	f0a383b2
𣃳	U+230F3 (U+230F3)	f0a383b3
𣃴	U+230F4 (U+230F4)	f0a383b4
𣃵	U+230F5 (U+230F5)	f0a383b5
𣃶	U+230F6 (U+230F6)	f0a383b6
𣃷	U+230F7 (U+230F7)	f0a383b7
𣃸	U+230F8 (U+230F8)	f0a383b8
𣃹	U+230F9 (U+230F9)	f0a383b9
𣃺	U+230FA (U+230FA)	f0a383ba
𣃻	U+230FB (U+230FB)	f0a383bb
𣃼	U+230FC (U+230FC)	f0a383bc
𣃽	U+230FD (U+230FD)	f0a383bd
𣃾	U+230FE (U+230FE)	f0a383be
𣃿	U+230FF (U+230FF)	f0a383bf
𣄀	U+23100 (U+23100)	f0a38480
𣄁	U+23101 (U+23101)	f0a38481
𣄂	U+23102 (U+23102)	f0a38482
𣄃	U+23103 (U+23103)	f0a38483
𣄄	U+23104 (U+23104)	f0a38484
𣄅	U+23105 (U+23105)	f0a38485
𣄆	U+23106 (U+23106)	f0a38486
𣄇	U+23107 (U+23107)	f0a38487
𣄈	U+23108 (U+23108)	f0a38488
𣄉	U+23109 (U+23109)	f0a38489
𣄊	U+2310A (U+2310A)	f0a3848a
𣄋	U+2310B (U+2310B)	f0a3848b
𣄌	U+2310C (U+2310C)	f0a3848c
𣄍	U+2310D (U+2310D)	f0a3848d
𣄎	U+2310E (U+2310E)	f0a3848e
𣄏	U+2310F (U+2310F)	f0a3848f
𣄐	U+23110 (U+23110)	f0a38490
𣄑	U+23111 (U+23111)	f0a38491
𣄒	U+23112 (U+23112)	f0a38492
𣄓	U+23113 (U+23113)	f0a38493
𣄔	U+23114 (U+23114)	f0a38494
𣄕	U+23115 (U+23115)	f0a38495
𣄖	U+23116 (U+23116)	f0a38496
𣄗	U+23117 (U+23117)	f0a38497
𣄘	U+23118 (U+23118)	f0a38498
𣄙	a sign for a tavern or shop (U+23119)	f0a38499
𣄚	U+2311A (U+2311A)	f0a3849a
𣄛	U+2311B (U+2311B)	f0a3849b
𣄜	U+2311C (U+2311C)	f0a3849c
𣄝	U+2311D (U+2311D)	f0a3849d
𣄞	U+2311E (U+2311E)	f0a3849e
𣄟	U+2311F (U+2311F)	f0a3849f
𣄠	U+23120 (U+23120)	f0a384a0
𣄡	U+23121 (U+23121)	f0a384a1
𣄢	U+23122 (U+23122)	f0a384a2
