𣢟	U+2389F (U+2389F)	f0a3a29f
𣢠	U+238A0 (U+238A0)	f0a3a2a0
𣢡	U+238A1 (U+238A1)	f0a3a2a1
𣢢	U+238A2 (U+238A2)	f0a3a2a2
𣢣	U+238A3 (U+238A3)	f0a3a2a3
𣢤	U+238A4 (U+238A4)	f0a3a2a4
𣢥	U+238A5 (U+238A5)	f0a3a2a5
𣢦	U+238A6 (U+238A6)	f0a3a2a6
𣢧	U+238A7 (U+238A7)	f0a3a2a7
𣢨	U+238A8 (U+238A8)	f0a3a2a8
𣢩	U+238A9 (U+238A9)	f0a3a2a9
𣢪	U+238AA (U+238AA)	f0a3a2aa
𣢫	U+238AB (U+238AB)	f0a3a2ab
𣢬	U+238AC (U+238AC)	f0a3a2ac
𣢭	U+238AD (U+238AD)	f0a3a2ad
𣢮	U+238AE (U+238AE)	f0a3a2ae
𣢯	U+238AF (U+238AF)	f0a3a2af
𣢰	U+238B0 (U+238B0)	f0a3a2b0
𣢱	U+238B1 (U+238B1)	f0a3a2b1
𣢲	U+238B2 (U+238B2)	f0a3a2b2
𣢳	U+238B3 (U+238B3)	f0a3a2b3
𣢴	U+238B4 (U+238B4)	f0a3a2b4
𣢵	U+238B5 (U+238B5)	f0a3a2b5
𣢶	U+238B6 (U+238B6)	f0a3a2b6
𣢷	U+238B7 (U+238B7)	f0a3a2b7
𣢸	U+238B8 (U+238B8)	f0a3a2b8
𣢹	U+238B9 (U+238B9)	f0a3a2b9
𣢺	U+238BA (U+238BA)	f0a3a2ba
𣢻	U+238BB (U+238BB)	f0a3a2bb
𣢼	U+238BC (U+238BC)	f0a3a2bc
𣢽	U+238BD (U+238BD)	f0a3a2bd
𣢾	U+238BE (U+238BE)	f0a3a2be
𣢿	U+238BF (U+238BF)	f0a3a2bf
𣣀	U+238C0 (U+238C0)	f0a3a380
𣣁	U+238C1 (U+238C1)	f0a3a381
𣣂	U+238C2 (U+238C2)	f0a3a382
𣣃	U+238C3 (U+238C3)	f0a3a383
𣣄	U+238C4 (U+238C4)	f0a3a384
𣣅	U+238C5 (U+238C5)	f0a3a385
𣣆	U+238C6 (U+238C6)	f0a3a386
𣣇	U+238C7 (U+238C7)	f0a3a387
𣣈	U+238C8 (U+238C8)	f0a3a388
𣣉	U+238C9 (U+238C9)	f0a3a389
𣣊	U+238CA (U+238CA)	f0a3a38a
𣣋	U+238CB (U+238CB)	f0a3a38b
𣣌	U+238CC (U+238CC)	f0a3a38c
𣣍	U+238CD (U+238CD)	f0a3a38d
𣣎	U+238CE (U+238CE)	f0a3a38e
𣣏	U+238CF (U+238CF)	f0a3a38f
𣣐	U+238D0 (U+238D0)	f0a3a390
𣣑	U+238D1 (U+238D1)	f0a3a391
𣣒	U+238D2 (U+238D2)	f0a3a392
𣣓	U+238D3 (U+238D3)	f0a3a393
𣣔	U+238D4 (U+238D4)	f0a3a394
𣣕	U+238D5 (U+238D5)	f0a3a395
𣣖	U+238D6 (U+238D6)	f0a3a396
𣣗	U+238D7 (U+238D7)	f0a3a397
𣣘	U+238D8 (U+238D8)	f0a3a398
𣣙	U+238D9 (U+238D9)	f0a3a399
𣣚	U+238DA (U+238DA)	f0a3a39a
𣣛	U+238DB (U+238DB)	f0a3a39b
𣣜	U+238DC (U+238DC)	f0a3a39c
𣣝	U+238DD (U+238DD)	f0a3a39d
𣣞	U+238DE (U+238DE)	f0a3a39e
𣣟	U+238DF (U+238DF)	f0a3a39f
𣣠	U+238E0 (U+238E0)	f0a3a3a0
𣣡	U+238E1 (U+238E1)	f0a3a3a1
𣣢	U+238E2 (U+238E2)	f0a3a3a2
𣣣	U+238E3 (U+238E3)	f0a3a3a3
𣣤	U+238E4 (U+238E4)	f0a3a3a4
𣣥	U+238E5 (U+238E5)	f0a3a3a5
𣣦	U+238E6 (U+238E6)	f0a3a3a6
𣣧	U+238E7 (U+238E7)	f0a3a3a7
𣣨	U+238E8 (U+238E8)	f0a3a3a8
𣣩	U+238E9 (U+238E9)	f0a3a3a9
𣣪	U+238EA (U+238EA)	f0a3a3aa
𣣫	U+238EB (U+238EB)	f0a3a3ab
𣣬	U+238EC (U+238EC)	f0a3a3ac
𣣭	U+238ED (U+238ED)	f0a3a3ad
𣣮	U+238EE (U+238EE)	f0a3a3ae
𣣯	U+238EF (U+238EF)	f0a3a3af
𣣰	U+238F0 (U+238F0)	f0a3a3b0
𣣱	U+238F1 (U+238F1)	f0a3a3b1
𣣲	U+238F2 (U+238F2)	f0a3a3b2
𣣳	U+238F3 (U+238F3)	f0a3a3b3
𣣴	U+238F4 (U+238F4)	f0a3a3b4
𣣵	U+238F5 (U+238F5)	f0a3a3b5
𣣶	U+238F6 (U+238F6)	f0a3a3b6
𣣷	U+238F7 (U+238F7)	f0a3a3b7
𣣸	U+238F8 (U+238F8)	f0a3a3b8
𣣹	U+238F9 (U+238F9)	f0a3a3b9
𣣺	U+238FA (U+238FA)	f0a3a3ba
𣣻	U+238FB (U+238FB)	f0a3a3bb
𣣼	U+238FC (U+238FC)	f0a3a3bc
𣣽	U+238FD (U+238FD)	f0a3a3bd
𣣾	U+238FE (U+238FE)	f0a3a3be
𣣿	U+238FF (U+238FF)	f0a3a3bf
𣤀	U+23900 (U+23900)	f0a3a480
𣤁	U+23901 (U+23901)	f0a3a481
𣤂	U+23902 (U+23902)	f0a3a482
𣤃	U+23903 (U+23903)	f0a3a483
𣤄	U+23904 (U+23904)	f0a3a484
𣤅	U+23905 (U+23905)	f0a3a485
𣤆	U+23906 (U+23906)	f0a3a486
𣤇	U+23907 (U+23907)	f0a3a487
𣤈	U+23908 (U+23908)	f0a3a488
𣤉	U+23909 (U+23909)	f0a3a489
𣤊	U+2390A (U+2390A)	f0a3a48a
𣤋	U+2390B (U+2390B)	f0a3a48b
