𥤹	U+25939 (U+25939)	f0a5a4b9
𥤺	U+2593A (U+2593A)	f0a5a4ba
𥤻	U+2593B (U+2593B)	f0a5a4bb
𥤼	U+2593C (U+2593C)	f0a5a4bc
𥤽	U+2593D (U+2593D)	f0a5a4bd
𥤾	U+2593E (U+2593E)	f0a5a4be
𥤿	U+2593F (U+2593F)	f0a5a4bf
𥥀	U+25940 (U+25940)	f0a5a580
𥥁	U+25941 (U+25941)	f0a5a581
𥥂	U+25942 (U+25942)	f0a5a582
𥥃	U+25943 (U+25943)	f0a5a583
𥥄	U+25944 (U+25944)	f0a5a584
𥥅	(Cant.) a hole, hollow; cavity (U+25945)	f0a5a585
𥥆	U+25946 (U+25946)	f0a5a586
𥥇	U+25947 (U+25947)	f0a5a587
𥥈	U+25948 (U+25948)	f0a5a588
𥥉	U+25949 (U+25949)	f0a5a589
𥥊	U+2594A (U+2594A)	f0a5a58a
𥥋	U+2594B (U+2594B)	f0a5a58b
𥥌	U+2594C (U+2594C)	f0a5a58c
𥥍	U+2594D (U+2594D)	f0a5a58d
𥥎	U+2594E (U+2594E)	f0a5a58e
𥥏	U+2594F (U+2594F)	f0a5a58f
𥥐	U+25950 (U+25950)	f0a5a590
𥥑	U+25951 (U+25951)	f0a5a591
𥥒	U+25952 (U+25952)	f0a5a592
𥥓	U+25953 (U+25953)	f0a5a593
𥥔	U+25954 (U+25954)	f0a5a594
𥥕	U+25955 (U+25955)	f0a5a595
𥥖	U+25956 (U+25956)	f0a5a596
𥥗	U+25957 (U+25957)	f0a5a597
𥥘	U+25958 (U+25958)	f0a5a598
𥥙	U+25959 (U+25959)	f0a5a599
𥥚	U+2595A (U+2595A)	f0a5a59a
𥥛	U+2595B (U+2595B)	f0a5a59b
𥥜	U+2595C (U+2595C)	f0a5a59c
𥥝	U+2595D (U+2595D)	f0a5a59d
𥥞	U+2595E (U+2595E)	f0a5a59e
𥥟	U+2595F (U+2595F)	f0a5a59f
𥥠	U+25960 (U+25960)	f0a5a5a0
𥥡	U+25961 (U+25961)	f0a5a5a1
𥥢	U+25962 (U+25962)	f0a5a5a2
𥥣	U+25963 (U+25963)	f0a5a5a3
𥥤	U+25964 (U+25964)	f0a5a5a4
𥥥	U+25965 (U+25965)	f0a5a5a5
𥥦	U+25966 (U+25966)	f0a5a5a6
𥥧	U+25967 (U+25967)	f0a5a5a7
𥥨	U+25968 (U+25968)	f0a5a5a8
𥥩	U+25969 (U+25969)	f0a5a5a9
𥥪	U+2596A (U+2596A)	f0a5a5aa
𥥫	U+2596B (U+2596B)	f0a5a5ab
𥥬	U+2596C (U+2596C)	f0a5a5ac
𥥭	U+2596D (U+2596D)	f0a5a5ad
𥥮	U+2596E (U+2596E)	f0a5a5ae
𥥯	U+2596F (U+2596F)	f0a5a5af
𥥰	U+25970 (U+25970)	f0a5a5b0
𥥱	U+25971 (U+25971)	f0a5a5b1
𥥲	U+25972 (U+25972)	f0a5a5b2
𥥳	U+25973 (U+25973)	f0a5a5b3
𥥴	U+25974 (U+25974)	f0a5a5b4
𥥵	U+25975 (U+25975)	f0a5a5b5
𥥶	U+25976 (U+25976)	f0a5a5b6
𥥷	U+25977 (U+25977)	f0a5a5b7
𥥸	U+25978 (U+25978)	f0a5a5b8
𥥹	U+25979 (U+25979)	f0a5a5b9
𥥺	U+2597A (U+2597A)	f0a5a5ba
𥥻	U+2597B (U+2597B)	f0a5a5bb
𥥼	U+2597C (U+2597C)	f0a5a5bc
𥥽	U+2597D (U+2597D)	f0a5a5bd
𥥾	U+2597E (U+2597E)	f0a5a5be
𥥿	U+2597F (U+2597F)	f0a5a5bf
𥦀	U+25980 (U+25980)	f0a5a680
𥦁	U+25981 (U+25981)	f0a5a681
𥦂	U+25982 (U+25982)	f0a5a682
𥦃	U+25983 (U+25983)	f0a5a683
𥦄	U+25984 (U+25984)	f0a5a684
𥦅	U+25985 (U+25985)	f0a5a685
𥦆	U+25986 (U+25986)	f0a5a686
𥦇	U+25987 (U+25987)	f0a5a687
𥦈	U+25988 (U+25988)	f0a5a688
𥦉	U+25989 (U+25989)	f0a5a689
𥦊	U+2598A (U+2598A)	f0a5a68a
𥦋	U+2598B (U+2598B)	f0a5a68b
𥦌	U+2598C (U+2598C)	f0a5a68c
