𨲯	U+28CAF (U+28CAF)	f0a8b2af
𨲰	U+28CB0 (U+28CB0)	f0a8b2b0
𨲱	U+28CB1 (U+28CB1)	f0a8b2b1
𨲲	U+28CB2 (U+28CB2)	f0a8b2b2
𨲳	U+28CB3 (U+28CB3)	f0a8b2b3
𨲴	U+28CB4 (U+28CB4)	f0a8b2b4
𨲵	U+28CB5 (U+28CB5)	f0a8b2b5
𨲶	U+28CB6 (U+28CB6)	f0a8b2b6
𨲷	U+28CB7 (U+28CB7)	f0a8b2b7
𨲸	U+28CB8 (U+28CB8)	f0a8b2b8
𨲹	U+28CB9 (U+28CB9)	f0a8b2b9
𨲺	U+28CBA (U+28CBA)	f0a8b2ba
𨲻	U+28CBB (U+28CBB)	f0a8b2bb
𨲼	U+28CBC (U+28CBC)	f0a8b2bc
𨲽	U+28CBD (U+28CBD)	f0a8b2bd
𨲾	U+28CBE (U+28CBE)	f0a8b2be
𨲿	U+28CBF (U+28CBF)	f0a8b2bf
𨳀	U+28CC0 (U+28CC0)	f0a8b380
𨳁	U+28CC1 (U+28CC1)	f0a8b381
𨳂	U+28CC2 (U+28CC2)	f0a8b382
𨳃	U+28CC3 (U+28CC3)	f0a8b383
𨳄	U+28CC4 (U+28CC4)	f0a8b384
𨳅	U+28CC5 (U+28CC5)	f0a8b385
𨳆	U+28CC6 (U+28CC6)	f0a8b386
𨳇	U+28CC7 (U+28CC7)	f0a8b387
𨳈	U+28CC8 (U+28CC8)	f0a8b388
𨳉	U+28CC9 (U+28CC9)	f0a8b389
𨳊	(Cant.) penis (vulg.) (U+28CCA)	f0a8b38a
𨳋	U+28CCB (U+28CCB)	f0a8b38b
𨳌	U+28CCC (U+28CCC)	f0a8b38c
𨳍	(Cant.) penis (vulg.) (U+28CCD)	f0a8b38d
𨳎	U+28CCE (U+28CCE)	f0a8b38e
𨳏	U+28CCF (U+28CCF)	f0a8b38f
𨳐	U+28CD0 (U+28CD0)	f0a8b390
𨳑	U+28CD1 (U+28CD1)	f0a8b391
𨳒	(Cant.) sexual intercourse (vulg.) (U+28CD2)	f0a8b392
𨳓	U+28CD3 (U+28CD3)	f0a8b393
𨳔	U+28CD4 (U+28CD4)	f0a8b394
𨳕	U+28CD5 (U+28CD5)	f0a8b395
𨳖	U+28CD6 (U+28CD6)	f0a8b396
𨳗	U+28CD7 (U+28CD7)	f0a8b397
𨳘	U+28CD8 (U+28CD8)	f0a8b398
𨳙	U+28CD9 (U+28CD9)	f0a8b399
𨳚	U+28CDA (U+28CDA)	f0a8b39a
𨳛	U+28CDB (U+28CDB)	f0a8b39b
𨳜	U+28CDC (U+28CDC)	f0a8b39c
𨳝	U+28CDD (U+28CDD)	f0a8b39d
𨳞	U+28CDE (U+28CDE)	f0a8b39e
𨳟	U+28CDF (U+28CDF)	f0a8b39f
𨳠	U+28CE0 (U+28CE0)	f0a8b3a0
𨳡	U+28CE1 (U+28CE1)	f0a8b3a1
𨳢	U+28CE2 (U+28CE2)	f0a8b3a2
𨳣	U+28CE3 (U+28CE3)	f0a8b3a3
𨳤	U+28CE4 (U+28CE4)	f0a8b3a4
𨳥	U+28CE5 (U+28CE5)	f0a8b3a5
𨳦	U+28CE6 (U+28CE6)	f0a8b3a6
𨳧	U+28CE7 (U+28CE7)	f0a8b3a7
𨳨	U+28CE8 (U+28CE8)	f0a8b3a8
𨳩	U+28CE9 (U+28CE9)	f0a8b3a9
𨳪	U+28CEA (U+28CEA)	f0a8b3aa
