𡓩	U+214E9 (U+214E9)	f0a193a9
𡓪	U+214EA (U+214EA)	f0a193aa
𡓫	U+214EB (U+214EB)	f0a193ab
𡓬	U+214EC (U+214EC)	f0a193ac
𡓭	U+214ED (U+214ED)	f0a193ad
𡓮	U+214EE (U+214EE)	f0a193ae
𡓯	U+214EF (U+214EF)	f0a193af
𡓰	U+214F0 (U+214F0)	f0a193b0
𡓱	U+214F1 (U+214F1)	f0a193b1
𡓲	U+214F2 (U+214F2)	f0a193b2
𡓳	U+214F3 (U+214F3)	f0a193b3
𡓴	U+214F4 (U+214F4)	f0a193b4
𡓵	U+214F5 (U+214F5)	f0a193b5
𡓶	U+214F6 (U+214F6)	f0a193b6
𡓷	U+214F7 (U+214F7)	f0a193b7
𡓸	U+214F8 (U+214F8)	f0a193b8
𡓹	U+214F9 (U+214F9)	f0a193b9
𡓺	U+214FA (U+214FA)	f0a193ba
𡓻	U+214FB (U+214FB)	f0a193bb
𡓼	U+214FC (U+214FC)	f0a193bc
𡓽	U+214FD (U+214FD)	f0a193bd
𡓾	U+214FE (U+214FE)	f0a193be
𡓿	U+214FF (U+214FF)	f0a193bf
𡔀	U+21500 (U+21500)	f0a19480
𡔁	U+21501 (U+21501)	f0a19481
𡔂	U+21502 (U+21502)	f0a19482
𡔃	U+21503 (U+21503)	f0a19483
𡔄	U+21504 (U+21504)	f0a19484
𡔅	U+21505 (U+21505)	f0a19485
𡔆	U+21506 (U+21506)	f0a19486
𡔇	U+21507 (U+21507)	f0a19487
𡔈	U+21508 (U+21508)	f0a19488
𡔉	U+21509 (U+21509)	f0a19489
𡔊	U+2150A (U+2150A)	f0a1948a
𡔋	U+2150B (U+2150B)	f0a1948b
𡔌	U+2150C (U+2150C)	f0a1948c
𡔍	U+2150D (U+2150D)	f0a1948d
𡔎	U+2150E (U+2150E)	f0a1948e
𡔏	U+2150F (U+2150F)	f0a1948f
𡔐	U+21510 (U+21510)	f0a19490
𡔑	U+21511 (U+21511)	f0a19491
𡔒	U+21512 (U+21512)	f0a19492
𡔓	U+21513 (U+21513)	f0a19493
𡔔	U+21514 (U+21514)	f0a19494
𡔕	U+21515 (U+21515)	f0a19495
𡔖	U+21516 (U+21516)	f0a19496
𡔗	U+21517 (U+21517)	f0a19497
𡔘	U+21518 (U+21518)	f0a19498
𡔙	U+21519 (U+21519)	f0a19499
𡔚	U+2151A (U+2151A)	f0a1949a
𡔛	U+2151B (U+2151B)	f0a1949b
𡔜	U+2151C (U+2151C)	f0a1949c
𡔝	U+2151D (U+2151D)	f0a1949d
𡔞	U+2151E (U+2151E)	f0a1949e
𡔟	U+2151F (U+2151F)	f0a1949f
𡔠	U+21520 (U+21520)	f0a194a0
𡔡	U+21521 (U+21521)	f0a194a1
𡔢	U+21522 (U+21522)	f0a194a2
𡔣	U+21523 (U+21523)	f0a194a3
𡔤	U+21524 (U+21524)	f0a194a4
𡔥	U+21525 (U+21525)	f0a194a5
𡔦	U+21526 (U+21526)	f0a194a6
𡔧	U+21527 (U+21527)	f0a194a7
𡔨	U+21528 (U+21528)	f0a194a8
𡔩	U+21529 (U+21529)	f0a194a9
𡔪	U+2152A (U+2152A)	f0a194aa
𡔫	U+2152B (U+2152B)	f0a194ab
𡔬	U+2152C (U+2152C)	f0a194ac
𡔭	U+2152D (U+2152D)	f0a194ad
𡔮	U+2152E (U+2152E)	f0a194ae
𡔯	U+2152F (U+2152F)	f0a194af
𡔰	U+21530 (U+21530)	f0a194b0
𡔱	U+21531 (U+21531)	f0a194b1
𡔲	U+21532 (U+21532)	f0a194b2
𡔳	U+21533 (U+21533)	f0a194b3
𡔴	U+21534 (U+21534)	f0a194b4
𡔵	U+21535 (U+21535)	f0a194b5
𡔶	U+21536 (U+21536)	f0a194b6
𡔷	U+21537 (U+21537)	f0a194b7
𡔸	U+21538 (U+21538)	f0a194b8
𡔹	U+21539 (U+21539)	f0a194b9
𡔺	U+2153A (U+2153A)	f0a194ba
𡔻	U+2153B (U+2153B)	f0a194bb
𡔼	U+2153C (U+2153C)	f0a194bc
𡔽	U+2153D (U+2153D)	f0a194bd
𡔾	U+2153E (U+2153E)	f0a194be
𡔿	U+2153F (U+2153F)	f0a194bf
𡕀	U+21540 (U+21540)	f0a19580
𡕁	U+21541 (U+21541)	f0a19581
𡕂	U+21542 (U+21542)	f0a19582
𡕃	U+21543 (U+21543)	f0a19583
𡕄	U+21544 (U+21544)	f0a19584
𡕅	U+21545 (U+21545)	f0a19585
𡕆	U+21546 (U+21546)	f0a19586
𡕇	U+21547 (U+21547)	f0a19587
𡕈	U+21548 (U+21548)	f0a19588
𡕉	U+21549 (U+21549)	f0a19589
𡕊	U+2154A (U+2154A)	f0a1958a
𡕋	U+2154B (U+2154B)	f0a1958b
𡕌	U+2154C (U+2154C)	f0a1958c
𡕍	U+2154D (U+2154D)	f0a1958d
𡕎	U+2154E (U+2154E)	f0a1958e
𡕏	U+2154F (U+2154F)	f0a1958f
𡕐	U+21550 (U+21550)	f0a19590
𡕑	U+21551 (U+21551)	f0a19591
𡕒	U+21552 (U+21552)	f0a19592
𡕓	U+21553 (U+21553)	f0a19593
𡕔	U+21554 (U+21554)	f0a19594
𡕕	U+21555 (U+21555)	f0a19595
𡕖	U+21556 (U+21556)	f0a19596
𡕗	U+21557 (U+21557)	f0a19597
𡕘	U+21558 (U+21558)	f0a19598
𡕙	U+21559 (U+21559)	f0a19599
𡕚	U+2155A (U+2155A)	f0a1959a
𡕛	U+2155B (U+2155B)	f0a1959b
𡕜	U+2155C (U+2155C)	f0a1959c
𡕝	U+2155D (U+2155D)	f0a1959d
𡕞	U+2155E (U+2155E)	f0a1959e
𡕟	U+2155F (U+2155F)	f0a1959f
𡕠	U+21560 (U+21560)	f0a195a0
𡕡	U+21561 (U+21561)	f0a195a1
𡕢	U+21562 (U+21562)	f0a195a2
𡕣	U+21563 (U+21563)	f0a195a3
𡕤	U+21564 (U+21564)	f0a195a4
𡕥	U+21565 (U+21565)	f0a195a5
𡕦	U+21566 (U+21566)	f0a195a6
𡕧	U+21567 (U+21567)	f0a195a7
