∏	N-ARY PRODUCT (U+220F)	e2888f
∐	N-ARY COPRODUCT (U+2210)	e28890
∑	N-ARY SUMMATION (U+2211)	e28891
−	MINUS SIGN (U+2212)	e28892
∓	MINUS-OR-PLUS SIGN (U+2213)	e28893
∔	DOT PLUS (U+2214)	e28894
∕	DIVISION SLASH (U+2215)	e28895
∖	SET MINUS (U+2216)	e28896
∗	ASTERISK OPERATOR (U+2217)	e28897
∘	RING OPERATOR (U+2218)	e28898
∙	BULLET OPERATOR (U+2219)	e28899
√	SQUARE ROOT (U+221A)	e2889a
∛	CUBE ROOT (U+221B)	e2889b
∜	FOURTH ROOT (U+221C)	e2889c
∝	PROPORTIONAL TO (U+221D)	e2889d
∞	INFINITY (U+221E)	e2889e
∟	RIGHT ANGLE (U+221F)	e2889f
∠	ANGLE (U+2220)	e288a0
∡	MEASURED ANGLE (U+2221)	e288a1
∢	SPHERICAL ANGLE (U+2222)	e288a2
∣	DIVIDES (U+2223)	e288a3
∤	DOES NOT DIVIDE (U+2224)	e288a4
∥	PARALLEL TO (U+2225)	e288a5
∦	NOT PARALLEL TO (U+2226)	e288a6
∧	LOGICAL AND (U+2227)	e288a7
∨	LOGICAL OR (U+2228)	e288a8
∩	INTERSECTION (U+2229)	e288a9
∪	UNION (U+222A)	e288aa
∫	INTEGRAL (U+222B)	e288ab
∬	DOUBLE INTEGRAL (U+222C)	e288ac
∭	TRIPLE INTEGRAL (U+222D)	e288ad
∮	CONTOUR INTEGRAL (U+222E)	e288ae
∯	SURFACE INTEGRAL (U+222F)	e288af
∰	VOLUME INTEGRAL (U+2230)	e288b0
∱	CLOCKWISE INTEGRAL (U+2231)	e288b1
∲	CLOCKWISE CONTOUR INTEGRAL (U+2232)	e288b2
∳	ANTICLOCKWISE CONTOUR INTEGRAL (U+2233)	e288b3
∴	THEREFORE (U+2234)	e288b4
∵	BECAUSE (U+2235)	e288b5
∶	RATIO (U+2236)	e288b6
∷	PROPORTION (U+2237)	e288b7
∸	DOT MINUS (U+2238)	e288b8
∹	EXCESS (U+2239)	e288b9
∺	GEOMETRIC PROPORTION (U+223A)	e288ba
∻	HOMOTHETIC (U+223B)	e288bb
∼	TILDE OPERATOR (U+223C)	e288bc
∽	REVERSED TILDE (U+223D)	e288bd
∾	INVERTED LAZY S (U+223E)	e288be
∿	SINE WAVE (U+223F)	e288bf
≀	WREATH PRODUCT (U+2240)	e28980
≁	NOT TILDE (U+2241)	e28981
≂	MINUS TILDE (U+2242)	e28982
≃	ASYMPTOTICALLY EQUAL TO (U+2243)	e28983
≄	NOT ASYMPTOTICALLY EQUAL TO (U+2244)	e28984
≅	APPROXIMATELY EQUAL TO (U+2245)	e28985
≆	APPROXIMATELY BUT NOT ACTUALLY EQUAL TO (U+2246)	e28986
≇	NEITHER APPROXIMATELY NOR ACTUALLY EQUAL TO (U+2247)	e28987
≈	ALMOST EQUAL TO (U+2248)	e28988
≉	NOT ALMOST EQUAL TO (U+2249)	e28989
≊	ALMOST EQUAL OR EQUAL TO (U+224A)	e2898a
≋	TRIPLE TILDE (U+224B)	e2898b
≌	ALL EQUAL TO (U+224C)	e2898c
≍	EQUIVALENT TO (U+224D)	e2898d
≎	GEOMETRICALLY EQUIVALENT TO (U+224E)	e2898e
≏	DIFFERENCE BETWEEN (U+224F)	e2898f
≐	APPROACHES THE LIMIT (U+2250)	e28990
≑	GEOMETRICALLY EQUAL TO (U+2251)	e28991
≒	APPROXIMATELY EQUAL TO OR THE IMAGE OF (U+2252)	e28992
≓	IMAGE OF OR APPROXIMATELY EQUAL TO (U+2253)	e28993
≔	COLON EQUALS (U+2254)	e28994
≕	EQUALS COLON (U+2255)	e28995
≖	RING IN EQUAL TO (U+2256)	e28996
≗	RING EQUAL TO (U+2257)	e28997
≘	CORRESPONDS TO (U+2258)	e28998
≙	ESTIMATES (U+2259)	e28999
≚	EQUIANGULAR TO (U+225A)	e2899a
≛	STAR EQUALS (U+225B)	e2899b
≜	DELTA EQUAL TO (U+225C)	e2899c
≝	EQUAL TO BY DEFINITION (U+225D)	e2899d
≞	MEASURED BY (U+225E)	e2899e
≟	QUESTIONED EQUAL TO (U+225F)	e2899f
≠	NOT EQUAL TO (U+2260)	e289a0
≡	IDENTICAL TO (U+2261)	e289a1
≢	NOT IDENTICAL TO (U+2262)	e289a2
≣	STRICTLY EQUIVALENT TO (U+2263)	e289a3
≤	LESS-THAN OR EQUAL TO (U+2264)	e289a4
≥	GREATER-THAN OR EQUAL TO (U+2265)	e289a5
≦	LESS-THAN OVER EQUAL TO (U+2266)	e289a6
≧	GREATER-THAN OVER EQUAL TO (U+2267)	e289a7
≨	LESS-THAN BUT NOT EQUAL TO (U+2268)	e289a8
≩	GREATER-THAN BUT NOT EQUAL TO (U+2269)	e289a9
≪	MUCH LESS-THAN (U+226A)	e289aa
≫	MUCH GREATER-THAN (U+226B)	e289ab
≬	BETWEEN (U+226C)	e289ac
≭	NOT EQUIVALENT TO (U+226D)	e289ad
≮	NOT LESS-THAN (U+226E)	e289ae
≯	NOT GREATER-THAN (U+226F)	e289af
≰	NEITHER LESS-THAN NOR EQUAL TO (U+2270)	e289b0
≱	NEITHER GREATER-THAN NOR EQUAL TO (U+2271)	e289b1
≲	LESS-THAN OR EQUIVALENT TO (U+2272)	e289b2
≳	GREATER-THAN OR EQUIVALENT TO (U+2273)	e289b3
≴	NEITHER LESS-THAN NOR EQUIVALENT TO (U+2274)	e289b4
≵	NEITHER GREATER-THAN NOR EQUIVALENT TO (U+2275)	e289b5
≶	LESS-THAN OR GREATER-THAN (U+2276)	e289b6
≷	GREATER-THAN OR LESS-THAN (U+2277)	e289b7
≸	NEITHER LESS-THAN NOR GREATER-THAN (U+2278)	e289b8
