𨥦	U+28966 (U+28966)	f0a8a5a6
𨥧	U+28967 (U+28967)	f0a8a5a7
𨥨	U+28968 (U+28968)	f0a8a5a8
𨥩	U+28969 (U+28969)	f0a8a5a9
𨥪	U+2896A (U+2896A)	f0a8a5aa
𨥫	U+2896B (U+2896B)	f0a8a5ab
𨥬	U+2896C (U+2896C)	f0a8a5ac
𨥭	U+2896D (U+2896D)	f0a8a5ad
𨥮	U+2896E (U+2896E)	f0a8a5ae
𨥯	U+2896F (U+2896F)	f0a8a5af
𨥰	U+28970 (U+28970)	f0a8a5b0
𨥱	U+28971 (U+28971)	f0a8a5b1
𨥲	U+28972 (U+28972)	f0a8a5b2
𨥳	U+28973 (U+28973)	f0a8a5b3
𨥴	U+28974 (U+28974)	f0a8a5b4
𨥵	U+28975 (U+28975)	f0a8a5b5
𨥶	U+28976 (U+28976)	f0a8a5b6
𨥷	U+28977 (U+28977)	f0a8a5b7
𨥸	U+28978 (U+28978)	f0a8a5b8
𨥹	U+28979 (U+28979)	f0a8a5b9
𨥺	U+2897A (U+2897A)	f0a8a5ba
𨥻	U+2897B (U+2897B)	f0a8a5bb
𨥼	U+2897C (U+2897C)	f0a8a5bc
𨥽	U+2897D (U+2897D)	f0a8a5bd
𨥾	U+2897E (U+2897E)	f0a8a5be
𨥿	U+2897F (U+2897F)	f0a8a5bf
𨦀	U+28980 (U+28980)	f0a8a680
𨦁	U+28981 (U+28981)	f0a8a681
𨦂	U+28982 (U+28982)	f0a8a682
𨦃	U+28983 (U+28983)	f0a8a683
𨦄	U+28984 (U+28984)	f0a8a684
𨦅	U+28985 (U+28985)	f0a8a685
𨦆	U+28986 (U+28986)	f0a8a686
𨦇	U+28987 (U+28987)	f0a8a687
𨦈	U+28988 (U+28988)	f0a8a688
𨦉	U+28989 (U+28989)	f0a8a689
𨦊	U+2898A (U+2898A)	f0a8a68a
𨦋	U+2898B (U+2898B)	f0a8a68b
𨦌	U+2898C (U+2898C)	f0a8a68c
