𧓱	U+274F1 (U+274F1)	f0a793b1
𧓲	U+274F2 (U+274F2)	f0a793b2
𧓳	U+274F3 (U+274F3)	f0a793b3
𧓴	U+274F4 (U+274F4)	f0a793b4
𧓵	U+274F5 (U+274F5)	f0a793b5
𧓶	U+274F6 (U+274F6)	f0a793b6
𧓷	U+274F7 (U+274F7)	f0a793b7
𧓸	U+274F8 (U+274F8)	f0a793b8
𧓹	U+274F9 (U+274F9)	f0a793b9
𧓺	U+274FA (U+274FA)	f0a793ba
𧓻	U+274FB (U+274FB)	f0a793bb
𧓼	U+274FC (U+274FC)	f0a793bc
𧓽	U+274FD (U+274FD)	f0a793bd
𧓾	U+274FE (U+274FE)	f0a793be
𧓿	U+274FF (U+274FF)	f0a793bf
𧔀	U+27500 (U+27500)	f0a79480
𧔁	U+27501 (U+27501)	f0a79481
𧔂	U+27502 (U+27502)	f0a79482
𧔃	U+27503 (U+27503)	f0a79483
𧔄	U+27504 (U+27504)	f0a79484
𧔅	U+27505 (U+27505)	f0a79485
𧔆	U+27506 (U+27506)	f0a79486
𧔇	U+27507 (U+27507)	f0a79487
𧔈	U+27508 (U+27508)	f0a79488
𧔉	U+27509 (U+27509)	f0a79489
𧔊	U+2750A (U+2750A)	f0a7948a
𧔋	U+2750B (U+2750B)	f0a7948b
𧔌	U+2750C (U+2750C)	f0a7948c
𧔍	U+2750D (U+2750D)	f0a7948d
𧔎	U+2750E (U+2750E)	f0a7948e
𧔏	U+2750F (U+2750F)	f0a7948f
𧔐	U+27510 (U+27510)	f0a79490
𧔑	U+27511 (U+27511)	f0a79491
𧔒	U+27512 (U+27512)	f0a79492
𧔓	U+27513 (U+27513)	f0a79493
𧔔	U+27514 (U+27514)	f0a79494
𧔕	U+27515 (U+27515)	f0a79495
𧔖	U+27516 (U+27516)	f0a79496
𧔗	U+27517 (U+27517)	f0a79497
𧔘	U+27518 (U+27518)	f0a79498
𧔙	U+27519 (U+27519)	f0a79499
𧔚	U+2751A (U+2751A)	f0a7949a
𧔛	U+2751B (U+2751B)	f0a7949b
𧔜	U+2751C (U+2751C)	f0a7949c
𧔝	U+2751D (U+2751D)	f0a7949d
𧔞	U+2751E (U+2751E)	f0a7949e
𧔟	U+2751F (U+2751F)	f0a7949f
𧔠	U+27520 (U+27520)	f0a794a0
𧔡	U+27521 (U+27521)	f0a794a1
𧔢	U+27522 (U+27522)	f0a794a2
𧔣	U+27523 (U+27523)	f0a794a3
𧔤	U+27524 (U+27524)	f0a794a4
𧔥	U+27525 (U+27525)	f0a794a5
𧔦	U+27526 (U+27526)	f0a794a6
𧔧	U+27527 (U+27527)	f0a794a7
𧔨	U+27528 (U+27528)	f0a794a8
𧔩	U+27529 (U+27529)	f0a794a9
𧔪	U+2752A (U+2752A)	f0a794aa
𧔫	U+2752B (U+2752B)	f0a794ab
𧔬	U+2752C (U+2752C)	f0a794ac
𧔭	U+2752D (U+2752D)	f0a794ad
𧔮	U+2752E (U+2752E)	f0a794ae
𧔯	U+2752F (U+2752F)	f0a794af
𧔰	U+27530 (U+27530)	f0a794b0
𧔱	U+27531 (U+27531)	f0a794b1
𧔲	U+27532 (U+27532)	f0a794b2
𧔳	U+27533 (U+27533)	f0a794b3
𧔴	U+27534 (U+27534)	f0a794b4
𧔵	U+27535 (U+27535)	f0a794b5
𧔶	U+27536 (U+27536)	f0a794b6
𧔷	U+27537 (U+27537)	f0a794b7
𧔸	U+27538 (U+27538)	f0a794b8
𧔹	U+27539 (U+27539)	f0a794b9
𧔺	U+2753A (U+2753A)	f0a794ba
𧔻	U+2753B (U+2753B)	f0a794bb
𧔼	U+2753C (U+2753C)	f0a794bc
𧔽	U+2753D (U+2753D)	f0a794bd
𧔾	U+2753E (U+2753E)	f0a794be
𧔿	U+2753F (U+2753F)	f0a794bf
𧕀	U+27540 (U+27540)	f0a79580
𧕁	U+27541 (U+27541)	f0a79581
𧕂	U+27542 (U+27542)	f0a79582
𧕃	U+27543 (U+27543)	f0a79583
𧕄	U+27544 (U+27544)	f0a79584
𧕅	U+27545 (U+27545)	f0a79585
𧕆	U+27546 (U+27546)	f0a79586
𧕇	U+27547 (U+27547)	f0a79587
𧕈	U+27548 (U+27548)	f0a79588
𧕉	U+27549 (U+27549)	f0a79589
𧕊	U+2754A (U+2754A)	f0a7958a
𧕋	U+2754B (U+2754B)	f0a7958b
𧕌	U+2754C (U+2754C)	f0a7958c
𧕍	U+2754D (U+2754D)	f0a7958d
𧕎	U+2754E (U+2754E)	f0a7958e
𧕏	U+2754F (U+2754F)	f0a7958f
𧕐	U+27550 (U+27550)	f0a79590
𧕑	U+27551 (U+27551)	f0a79591
𧕒	U+27552 (U+27552)	f0a79592
𧕓	U+27553 (U+27553)	f0a79593
𧕔	U+27554 (U+27554)	f0a79594
𧕕	U+27555 (U+27555)	f0a79595
𧕖	U+27556 (U+27556)	f0a79596
𧕗	U+27557 (U+27557)	f0a79597
𧕘	U+27558 (U+27558)	f0a79598
𧕙	U+27559 (U+27559)	f0a79599
𧕚	U+2755A (U+2755A)	f0a7959a
𧕛	U+2755B (U+2755B)	f0a7959b
𧕜	U+2755C (U+2755C)	f0a7959c
𧕝	U+2755D (U+2755D)	f0a7959d
𧕞	U+2755E (U+2755E)	f0a7959e
𧕟	U+2755F (U+2755F)	f0a7959f
𧕠	U+27560 (U+27560)	f0a795a0
𧕡	U+27561 (U+27561)	f0a795a1
𧕢	U+27562 (U+27562)	f0a795a2
𧕣	U+27563 (U+27563)	f0a795a3
𧕤	U+27564 (U+27564)	f0a795a4
𧕥	U+27565 (U+27565)	f0a795a5
𧕦	U+27566 (U+27566)	f0a795a6
𧕧	U+27567 (U+27567)	f0a795a7
𧕨	U+27568 (U+27568)	f0a795a8
𧕩	U+27569 (U+27569)	f0a795a9
𧕪	U+2756A (U+2756A)	f0a795aa
𧕫	U+2756B (U+2756B)	f0a795ab
𧕬	U+2756C (U+2756C)	f0a795ac
𧕭	U+2756D (U+2756D)	f0a795ad
𧕮	U+2756E (U+2756E)	f0a795ae
𧕯	U+2756F (U+2756F)	f0a795af
𧕰	U+27570 (U+27570)	f0a795b0
𧕱	U+27571 (U+27571)	f0a795b1
𧕲	U+27572 (U+27572)	f0a795b2
𧕳	U+27573 (U+27573)	f0a795b3
𧕴	(Cant.) a pimple, an insect bite (U+27574)	f0a795b4
𧕵	U+27575 (U+27575)	f0a795b5
𧕶	U+27576 (U+27576)	f0a795b6
𧕷	U+27577 (U+27577)	f0a795b7
𧕸	U+27578 (U+27578)	f0a795b8
𧕹	U+27579 (U+27579)	f0a795b9
𧕺	U+2757A (U+2757A)	f0a795ba
𧕻	U+2757B (U+2757B)	f0a795bb
𧕼	U+2757C (U+2757C)	f0a795bc
𧕽	U+2757D (U+2757D)	f0a795bd
𧕾	U+2757E (U+2757E)	f0a795be
𧕿	U+2757F (U+2757F)	f0a795bf
𧖀	U+27580 (U+27580)	f0a79680
𧖁	U+27581 (U+27581)	f0a79681
𧖂	U+27582 (U+27582)	f0a79682
𧖃	U+27583 (U+27583)	f0a79683
𧖄	U+27584 (U+27584)	f0a79684
𧖅	U+27585 (U+27585)	f0a79685
𧖆	U+27586 (U+27586)	f0a79686
𧖇	U+27587 (U+27587)	f0a79687
𧖈	U+27588 (U+27588)	f0a79688
𧖉	U+27589 (U+27589)	f0a79689
𧖊	U+2758A (U+2758A)	f0a7968a
𧖋	U+2758B (U+2758B)	f0a7968b
𧖌	U+2758C (U+2758C)	f0a7968c
