蒅	U+8485 (U+8485)	e89285
蒆	U+8486 (U+8486)	e89286
蒇	finish, complete; solve; complete (U+8487)	e89287
蒈	an organic compound (U+8488)	e89288
蒉	edible amaranth; straw basket (U+8489)	e89289
蒊	U+848A (U+848A)	e8928a
蒋	surname; hydropyrum latifalium (U+848B)	e8928b
蒌	artemisia stelleriana (U+848C)	e8928c
蒍	U+848D (U+848D)	e8928d
蒎	U+848E (U+848E)	e8928e
蒏	U+848F (U+848F)	e8928f
蒐	collect, gather, assemble; seek; spring hunt; assemble for war (U+8490)	e89290
蒑	U+8491 (U+8491)	e89291
蒒	U+8492 (U+8492)	e89292
蒓	an edible water; plant-brasenia (U+8493)	e89293
蒔	transplant; plant; dill, Anethum graveolens (U+8494)	e89294
蒕	U+8495 (U+8495)	e89295
蒖	plant name (U+8496)	e89296
蒗	U+8497 (U+8497)	e89297
蒘	U+8498 (U+8498)	e89298
蒙	cover; ignorant; suffer; mongolia (U+8499)	e89299
蒚	U+849A (U+849A)	e8929a
蒛	U+849B (U+849B)	e8929b
蒜	garlic (U+849C)	e8929c
蒝	U+849D (U+849D)	e8929d
蒞	reach, arrive; manage (U+849E)	e8929e
蒟	betel pepper; Amorphaphalus konjac (U+849F)	e8929f
蒠	U+84A0 (U+84A0)	e892a0
蒡	burdock, herb (U+84A1)	e892a1
蒢	U+84A2 (U+84A2)	e892a2
蒣	U+84A3 (U+84A3)	e892a3
蒤	U+84A4 (U+84A4)	e892a4
蒥	U+84A5 (U+84A5)	e892a5
蒦	to measure; to calculate (U+84A6)	e892a6
蒧	U+84A7 (U+84A7)	e892a7
蒨	lush vegetation, luxuriant growth (U+84A8)	e892a8
蒩	U+84A9 (U+84A9)	e892a9
蒪	U+84AA (U+84AA)	e892aa
蒫	U+84AB (U+84AB)	e892ab
蒬	U+84AC (U+84AC)	e892ac
蒭	to cut grass; hay; fodder (U+84AD)	e892ad
蒮	U+84AE (U+84AE)	e892ae
蒯	a rush, of which various things are made (U+84AF)	e892af
蒰	U+84B0 (U+84B0)	e892b0
蒱	gambling game with dice (U+84B1)	e892b1
蒲	type of rush; vine (U+84B2)	e892b2
蒳	U+84B3 (U+84B3)	e892b3
蒴	seed (capsule) (U+84B4)	e892b4
蒵	U+84B5 (U+84B5)	e892b5
蒶	U+84B6 (U+84B6)	e892b6
蒷	U+84B7 (U+84B7)	e892b7
蒸	steam; evaporate (U+84B8)	e892b8
蒹	reed, phragmites communis (U+84B9)	e892b9
蒺	furze; gorse (U+84BA)	e892ba
蒻	rushes (U+84BB)	e892bb
蒼	blue; green (U+84BC)	e892bc
蒽	anthracene (U+84BD)	e892bd
蒾	U+84BE (U+84BE)	e892be
蒿	mugwort, artemisia; give off (U+84BF)	e892bf
蓀	aromatic grass; iris, flower (U+84C0)	e89380
蓁	abundant, luxuriant vegetation (U+84C1)	e89381
蓂	lucky place (U+84C2)	e89382
蓃	U+84C3 (U+84C3)	e89383
蓄	store, save, hoard, gather (U+84C4)	e89384
蓅	U+84C5 (U+84C5)	e89385
蓆	straw mat, mat (U+84C6)	e89386
蓇	follicles of plants (U+84C7)	e89387
蓈	U+84C8 (U+84C8)	e89388
蓉	hibiscus; Chengdu, Sichuan (U+84C9)	e89389
蓊	luxuriant vegetation; lush (U+84CA)	e8938a
蓋	cover, hide, protect (U+84CB)	e8938b
蓌	pretend; crouch (U+84CC)	e8938c
蓍	milfoil, plant used in divination (U+84CD)	e8938d
蓎	U+84CE (U+84CE)	e8938e
蓏	fruit of plant; melon (U+84CF)	e8938f
蓐	straw bed mat; rushes (U+84D0)	e89390
蓑	rain coat made of straw, coir, etc. (U+84D1)	e89391
蓒	U+84D2 (U+84D2)	e89392
蓓	bud (U+84D3)	e89393
蓔	U+84D4 (U+84D4)	e89394
蓕	U+84D5 (U+84D5)	e89395
蓖	castor-oil plant, Ricinus commumis (U+84D6)	e89396
蓗	a plant; five-fold (U+84D7)	e89397
蓘	U+84D8 (U+84D8)	e89398
蓙	a mat, matting (U+84D9)	e89399
蓚	oxalic (used in compounds) (U+84DA)	e8939a
蓛	U+84DB (U+84DB)	e8939b
蓜	U+84DC (U+84DC)	e8939c
蓝	blue; indigo plant; surname (U+84DD)	e8939d
蓞	U+84DE (U+84DE)	e8939e
蓟	circium, thistles; surname (U+84DF)	e8939f
蓠	gracilaria verrucosa (U+84E0)	e893a0
蓡	U+84E1 (U+84E1)	e893a1
蓢	(Cant.) brake, fern (U+84E2)	e893a2
蓣	yam (U+84E3)	e893a3
蓤	U+84E4 (U+84E4)	e893a4
蓥	polish (U+84E5)	e893a5
蓦	suddenly, quickly, abruptly (U+84E6)	e893a6
蓧	bamboo basket; weeder; rake (U+84E7)	e893a7
蓨	U+84E8 (U+84E8)	e893a8
蓩	U+84E9 (U+84E9)	e893a9
蓪	paper-plant; Aralia papyrifera (U+84EA)	e893aa
蓫	dock (U+84EB)	e893ab
蓬	type of raspberry; fairyland (U+84EC)	e893ac
蓭	U+84ED (U+84ED)	e893ad
蓮	lotus, water lily; paradise (U+84EE)	e893ae
蓯	medicinal herb (U+84EF)	e893af
蓰	to increase five-fold (U+84F0)	e893b0
蓱	U+84F1 (U+84F1)	e893b1
蓲	U+84F2 (U+84F2)	e893b2
蓳	U+84F3 (U+84F3)	e893b3
蓴	edible water plant, bracenia (U+84F4)	e893b4
蓵	U+84F5 (U+84F5)	e893b5
蓶	U+84F6 (U+84F6)	e893b6
蓷	motherwort, various plants of the genus Leonurus, such as L. sibiricus and L. artemesia (U+84F7)	e893b7
蓸	U+84F8 (U+84F8)	e893b8
蓹	U+84F9 (U+84F9)	e893b9
蓺	art; talent, ability; craft (U+84FA)	e893ba
蓻	(Cant.) classifier for hair (U+84FB)	e893bb
蓼	smartweed, polygonum (U+84FC)	e893bc
蓽	species of bean; piper longtum (U+84FD)	e893bd
蓾	U+84FE (U+84FE)	e893be
蓿	clover, lucerne (U+84FF)	e893bf
蔀	screen (U+8500)	e89480
蔁	U+8501 (U+8501)	e89481
蔂	basket, hod (U+8502)	e89482
蔃	(Cant.) roots of plants (U+8503)	e89483
蔄	U+8504 (U+8504)	e89484
蔅	U+8505 (U+8505)	e89485
蔆	water-chestnut, water caltrop (U+8506)	e89486
蔇	luxuriant growth; extreme; to reach (U+8507)	e89487
蔈	U+8508 (U+8508)	e89488
蔉	earth up (U+8509)	e89489
蔊	U+850A (U+850A)	e8948a
蔋	U+850B (U+850B)	e8948b
蔌	vegetables (U+850C)	e8948c
蔍	U+850D (U+850D)	e8948d
蔎	U+850E (U+850E)	e8948e
蔏	U+850F (U+850F)	e8948f
蔐	U+8510 (U+8510)	e89490
蔑	disdain, disregard; slight (U+8511)	e89491
蔒	U+8512 (U+8512)	e89492
蔓	creeping plants, tendrils, vines (U+8513)	e89493
蔔	radish; other root vegetables (U+8514)	e89494
蔕	peduncle or stem of plants (U+8515)	e89495
