ꐷ	YI SYLLABLE NJIE (U+A437)	ea90b7
ꐸ	YI SYLLABLE NJIEP (U+A438)	ea90b8
ꐹ	YI SYLLABLE NJUOX (U+A439)	ea90b9
ꐺ	YI SYLLABLE NJUO (U+A43A)	ea90ba
ꐻ	YI SYLLABLE NJOT (U+A43B)	ea90bb
ꐼ	YI SYLLABLE NJOX (U+A43C)	ea90bc
ꐽ	YI SYLLABLE NJO (U+A43D)	ea90bd
ꐾ	YI SYLLABLE NJOP (U+A43E)	ea90be
ꐿ	YI SYLLABLE NJUX (U+A43F)	ea90bf
ꑀ	YI SYLLABLE NJU (U+A440)	ea9180
ꑁ	YI SYLLABLE NJUP (U+A441)	ea9181
ꑂ	YI SYLLABLE NJURX (U+A442)	ea9182
ꑃ	YI SYLLABLE NJUR (U+A443)	ea9183
ꑄ	YI SYLLABLE NJYT (U+A444)	ea9184
ꑅ	YI SYLLABLE NJYX (U+A445)	ea9185
ꑆ	YI SYLLABLE NJY (U+A446)	ea9186
ꑇ	YI SYLLABLE NJYP (U+A447)	ea9187
ꑈ	YI SYLLABLE NJYRX (U+A448)	ea9188
ꑉ	YI SYLLABLE NJYR (U+A449)	ea9189
ꑊ	YI SYLLABLE NYIT (U+A44A)	ea918a
ꑋ	YI SYLLABLE NYIX (U+A44B)	ea918b
ꑌ	YI SYLLABLE NYI (U+A44C)	ea918c
ꑍ	YI SYLLABLE NYIP (U+A44D)	ea918d
ꑎ	YI SYLLABLE NYIET (U+A44E)	ea918e
ꑏ	YI SYLLABLE NYIEX (U+A44F)	ea918f
ꑐ	YI SYLLABLE NYIE (U+A450)	ea9190
ꑑ	YI SYLLABLE NYIEP (U+A451)	ea9191
ꑒ	YI SYLLABLE NYUOX (U+A452)	ea9192
ꑓ	YI SYLLABLE NYUO (U+A453)	ea9193
ꑔ	YI SYLLABLE NYUOP (U+A454)	ea9194
ꑕ	YI SYLLABLE NYOT (U+A455)	ea9195
ꑖ	YI SYLLABLE NYOX (U+A456)	ea9196
ꑗ	YI SYLLABLE NYO (U+A457)	ea9197
ꑘ	YI SYLLABLE NYOP (U+A458)	ea9198
ꑙ	YI SYLLABLE NYUT (U+A459)	ea9199
ꑚ	YI SYLLABLE NYUX (U+A45A)	ea919a
ꑛ	YI SYLLABLE NYU (U+A45B)	ea919b
ꑜ	YI SYLLABLE NYUP (U+A45C)	ea919c
ꑝ	YI SYLLABLE XIT (U+A45D)	ea919d
ꑞ	YI SYLLABLE XIX (U+A45E)	ea919e
ꑟ	YI SYLLABLE XI (U+A45F)	ea919f
ꑠ	YI SYLLABLE XIP (U+A460)	ea91a0
ꑡ	YI SYLLABLE XIET (U+A461)	ea91a1
ꑢ	YI SYLLABLE XIEX (U+A462)	ea91a2
ꑣ	YI SYLLABLE XIE (U+A463)	ea91a3
ꑤ	YI SYLLABLE XIEP (U+A464)	ea91a4
ꑥ	YI SYLLABLE XUOX (U+A465)	ea91a5
ꑦ	YI SYLLABLE XUO (U+A466)	ea91a6
ꑧ	YI SYLLABLE XOT (U+A467)	ea91a7
ꑨ	YI SYLLABLE XOX (U+A468)	ea91a8
ꑩ	YI SYLLABLE XO (U+A469)	ea91a9
ꑪ	YI SYLLABLE XOP (U+A46A)	ea91aa
ꑫ	YI SYLLABLE XYT (U+A46B)	ea91ab
ꑬ	YI SYLLABLE XYX (U+A46C)	ea91ac
ꑭ	YI SYLLABLE XY (U+A46D)	ea91ad
ꑮ	YI SYLLABLE XYP (U+A46E)	ea91ae
ꑯ	YI SYLLABLE XYRX (U+A46F)	ea91af
ꑰ	YI SYLLABLE XYR (U+A470)	ea91b0
ꑱ	YI SYLLABLE YIT (U+A471)	ea91b1
ꑲ	YI SYLLABLE YIX (U+A472)	ea91b2
ꑳ	YI SYLLABLE YI (U+A473)	ea91b3
ꑴ	YI SYLLABLE YIP (U+A474)	ea91b4
ꑵ	YI SYLLABLE YIET (U+A475)	ea91b5
ꑶ	YI SYLLABLE YIEX (U+A476)	ea91b6
ꑷ	YI SYLLABLE YIE (U+A477)	ea91b7
ꑸ	YI SYLLABLE YIEP (U+A478)	ea91b8
ꑹ	YI SYLLABLE YUOT (U+A479)	ea91b9
ꑺ	YI SYLLABLE YUOX (U+A47A)	ea91ba
ꑻ	YI SYLLABLE YUO (U+A47B)	ea91bb
ꑼ	YI SYLLABLE YUOP (U+A47C)	ea91bc
ꑽ	YI SYLLABLE YOT (U+A47D)	ea91bd
ꑾ	YI SYLLABLE YOX (U+A47E)	ea91be
ꑿ	YI SYLLABLE YO (U+A47F)	ea91bf
ꒀ	YI SYLLABLE YOP (U+A480)	ea9280
ꒁ	YI SYLLABLE YUT (U+A481)	ea9281
ꒂ	YI SYLLABLE YUX (U+A482)	ea9282
ꒃ	YI SYLLABLE YU (U+A483)	ea9283
ꒄ	YI SYLLABLE YUP (U+A484)	ea9284
ꒅ	YI SYLLABLE YURX (U+A485)	ea9285
ꒆ	YI SYLLABLE YUR (U+A486)	ea9286
ꒇ	YI SYLLABLE YYT (U+A487)	ea9287
ꒈ	YI SYLLABLE YYX (U+A488)	ea9288
ꒉ	YI SYLLABLE YY (U+A489)	ea9289
ꒊ	YI SYLLABLE YYP (U+A48A)	ea928a
ꒋ	YI SYLLABLE YYRX (U+A48B)	ea928b
ꒌ	YI SYLLABLE YYR (U+A48C)	ea928c
꒐	YI RADICAL QOT (U+A490)	ea9290
꒑	YI RADICAL LI (U+A491)	ea9291
꒒	YI RADICAL KIT (U+A492)	ea9292
꒓	YI RADICAL NYIP (U+A493)	ea9293
꒔	YI RADICAL CYP (U+A494)	ea9294
꒕	YI RADICAL SSI (U+A495)	ea9295
꒖	YI RADICAL GGOP (U+A496)	ea9296
꒗	YI RADICAL GEP (U+A497)	ea9297
꒘	YI RADICAL MI (U+A498)	ea9298
꒙	YI RADICAL HXIT (U+A499)	ea9299
꒚	YI RADICAL LYR (U+A49A)	ea929a
꒛	YI RADICAL BBUT (U+A49B)	ea929b
꒜	YI RADICAL MOP (U+A49C)	ea929c
꒝	YI RADICAL YO (U+A49D)	ea929d
꒞	YI RADICAL PUT (U+A49E)	ea929e
꒟	YI RADICAL HXUO (U+A49F)	ea929f
꒠	YI RADICAL TAT (U+A4A0)	ea92a0
꒡	YI RADICAL GA (U+A4A1)	ea92a1
꒢	YI RADICAL ZUP (U+A4A2)	ea92a2
꒣	YI RADICAL CYT (U+A4A3)	ea92a3
꒤	YI RADICAL DDUR (U+A4A4)	ea92a4
꒥	YI RADICAL BUR (U+A4A5)	ea92a5
꒦	YI RADICAL GGUO (U+A4A6)	ea92a6
꒧	YI RADICAL NYOP (U+A4A7)	ea92a7
꒨	YI RADICAL TU (U+A4A8)	ea92a8
꒩	YI RADICAL OP (U+A4A9)	ea92a9
꒪	YI RADICAL JJUT (U+A4AA)	ea92aa
꒫	YI RADICAL ZOT (U+A4AB)	ea92ab
꒬	YI RADICAL PYT (U+A4AC)	ea92ac
꒭	YI RADICAL HMO (U+A4AD)	ea92ad
꒮	YI RADICAL YIT (U+A4AE)	ea92ae
꒯	YI RADICAL VUR (U+A4AF)	ea92af
꒰	YI RADICAL SHY (U+A4B0)	ea92b0
꒱	YI RADICAL VEP (U+A4B1)	ea92b1
꒲	YI RADICAL ZA (U+A4B2)	ea92b2
꒳	YI RADICAL JO (U+A4B3)	ea92b3
꒴	YI RADICAL NZUP (U+A4B4)	ea92b4
꒵	YI RADICAL JJY (U+A4B5)	ea92b5
꒶	YI RADICAL GOT (U+A4B6)	ea92b6
꒷	YI RADICAL JJIE (U+A4B7)	ea92b7
꒸	YI RADICAL WO (U+A4B8)	ea92b8
꒹	YI RADICAL DU (U+A4B9)	ea92b9
꒺	YI RADICAL SHUR (U+A4BA)	ea92ba
꒻	YI RADICAL LIE (U+A4BB)	ea92bb
꒼	YI RADICAL CY (U+A4BC)	ea92bc
꒽	YI RADICAL CUOP (U+A4BD)	ea92bd
꒾	YI RADICAL CIP (U+A4BE)	ea92be
꒿	YI RADICAL HXOP (U+A4BF)	ea92bf
꓀	YI RADICAL SHAT (U+A4C0)	ea9380
