囕	U+56D5 (U+56D5)	e59b95
塙	truly (U+5859)	e5a199
塚	cemetery; tomb, burial mound (U+585A)	e5a19a
塛	U+585B (U+585B)	e5a19b
塜	dusty, dirt (U+585C)	e5a19c
塝	flat bank, plateau (U+585D)	e5a19d
塞	stop up, block, seal, cork; pass, frontier; fortress (U+585E)	e5a19e
塟	to bury (U+585F)	e5a19f
塠	U+5860 (U+5860)	e5a1a0
塡	fill in, fill up; make good (U+5861)	e5a1a1
塢	entrenchment, bank, low wall (U+5862)	e5a1a2
塣	U+5863 (U+5863)	e5a1a3
塤	instrument (U+5864)	e5a1a4
塥	U+5865 (U+5865)	e5a1a5
塦	U+5866 (U+5866)	e5a1a6
塧	U+5867 (U+5867)	e5a1a7
塨	U+5868 (U+5868)	e5a1a8
塩	salt (U+5869)	e5a1a9
塪	U+586A (U+586A)	e5a1aa
填	fill in, fill up; make good (U+586B)	e5a1ab
塬	plateau (U+586C)	e5a1ac
塭	fish farm (U+586D)	e5a1ad
塮	U+586E (U+586E)	e5a1ae
塯	U+586F (U+586F)	e5a1af
塰	U+5870 (U+5870)	e5a1b0
塱	place name in Guangdong province (U+5871)	e5a1b1
塲	open space, field, market (U+5872)	e5a1b2
塳	(Cant.) classifier for walls; covered (with dust); to scatter (like dust) (U+5873)	e5a1b3
塴	U+5874 (U+5874)	e5a1b4
塵	dust, dirt, ashes, cinders (U+5875)	e5a1b5
塶	U+5876 (U+5876)	e5a1b6
塷	U+5877 (U+5877)	e5a1b7
塸	U+5878 (U+5878)	e5a1b8
塹	moat, trench, pit, cavity (U+5879)	e5a1b9
塺	U+587A (U+587A)	e5a1ba
塻	U+587B (U+587B)	e5a1bb
塼	brick (U+587C)	e5a1bc
塽	plateau (U+587D)	e5a1bd
塾	village school; private tutorage (U+587E)	e5a1be
塿	small mound (U+587F)	e5a1bf
墀	porch; courtyard; steps leading (U+5880)	e5a280
墁	to plaster; to pave (U+5881)	e5a281
墂	U+5882 (U+5882)	e5a282
境	boundary, frontier; area, region (U+5883)	e5a283
墄	the steps of a stairway (U+5884)	e5a284
墅	villa, country house (U+5885)	e5a285
墆	U+5886 (U+5886)	e5a286
墇	U+5887 (U+5887)	e5a287
墈	cliff (U+5888)	e5a288
墉	wall; fortified wall; small wall (U+5889)	e5a289
墊	advance money, pay for another (U+588A)	e5a28a
墋	U+588B (U+588B)	e5a28b
墌	U+588C (U+588C)	e5a28c
墍	paint, decorate (U+588D)	e5a28d
墎	U+588E (U+588E)	e5a28e
墏	U+588F (U+588F)	e5a28f
墐	to build with soil, plaster over with mud (U+5890)	e5a290
墑	U+5891 (U+5891)	e5a291
墒	wet tilth (U+5892)	e5a292
墓	grave, tomb (U+5893)	e5a293
墔	U+5894 (U+5894)	e5a294
墕	U+5895 (U+5895)	e5a295
墖	pagoda, dagoba, tower (U+5896)	e5a296
増	increase (U+5897)	e5a297
墘	(Cant.) halfway (U+5898)	e5a298
墙	wall (U+5899)	e5a299
墚	mountain range (U+589A)	e5a29a
墛	U+589B (U+589B)	e5a29b
墜	fall down, drop, sink, go to ruin (U+589C)	e5a29c
墝	stony (U+589D)	e5a29d
增	increase, add to, augment (U+589E)	e5a29e
墟	high mound; hilly countryside; wasteland (U+589F)	e5a29f
墠	smooth, hard spot made level for sacrificial altar (U+58A0)	e5a2a0
墡	chalk (U+58A1)	e5a2a1
墢	U+58A2 (U+58A2)	e5a2a2
墣	U+58A3 (U+58A3)	e5a2a3
墤	to fall in ruins, to collapse, to overthrow; decayed, ruined, lost (U+58A4)	e5a2a4
墥	U+58A5 (U+58A5)	e5a2a5
墦	tomb (U+58A6)	e5a2a6
墧	U+58A7 (U+58A7)	e5a2a7
墨	ink; writing (U+58A8)	e5a2a8
墩	heap, mound, block of stone (U+58A9)	e5a2a9
墪	U+58AA (U+58AA)	e5a2aa
墫	cup (U+58AB)	e5a2ab
墬	to fall, sink (U+58AC)	e5a2ac
墭	U+58AD (U+58AD)	e5a2ad
墮	fall, sink, let fall; degenerate (U+58AE)	e5a2ae
墯	U+58AF (U+58AF)	e5a2af
墰	an earthenware jar; a jug (U+58B0)	e5a2b0
墱	U+58B1 (U+58B1)	e5a2b1
墲	U+58B2 (U+58B2)	e5a2b2
墳	grave, mound; bulge; bulging (U+58B3)	e5a2b3
墴	U+58B4 (U+58B4)	e5a2b4
墵	U+58B5 (U+58B5)	e5a2b5
墶	U+58B6 (U+58B6)	e5a2b6
