鑓	spear, lance, javelin (U+9453)	e99193
鑔	cymbals (U+9454)	e99194
鑕	tungsten, wolfram (U+9455)	e99195
鑖	U+9456 (U+9456)	e99196
鑗	U+9457 (U+9457)	e99197
鑘	U+9458 (U+9458)	e99198
鑙	U+9459 (U+9459)	e99199
鑚	drill, bore; pierce; diamond (U+945A)	e9919a
鑛	mine; mineral, ore (U+945B)	e9919b
鑜	U+945C (U+945C)	e9919c
鑝	U+945D (U+945D)	e9919d
鑞	solder; tin (U+945E)	e9919e
鑟	U+945F (U+945F)	e9919f
鑠	melt, smelt; shine (U+9460)	e991a0
鑡	U+9461 (U+9461)	e991a1
鑢	file, rasp; file; polish; (Cant.) to cut (U+9462)	e991a2
鑣	bit, bridle; ride (U+9463)	e991a3
鑤	carpenter's plane (U+9464)	e991a4
鑥	lutetium (U+9465)	e991a5
鑦	U+9466 (U+9466)	e991a6
鑧	U+9467 (U+9467)	e991a7
鑨	U+9468 (U+9468)	e991a8
鑩	U+9469 (U+9469)	e991a9
鑪	fireplace, stove, oven, furnace (U+946A)	e991aa
鑫	used in names (U+946B)	e991ab
鑬	U+946C (U+946C)	e991ac
鑭	lanthanum (U+946D)	e991ad
鑮	U+946E (U+946E)	e991ae
鑯	U+946F (U+946F)	e991af
鑰	key; lock (U+9470)	e991b0
鑱	spade, trowel (U+9471)	e991b1
鑲	insert, inlay, set, mount; fill (U+9472)	e991b2
鑳	U+9473 (U+9473)	e991b3
鑴	to engrave or carve, as a block for printing (U+9474)	e991b4
鑵	jar; can (U+9475)	e991b5
鑶	U+9476 (U+9476)	e991b6
鑷	tweezers, forceps, pincers (U+9477)	e991b7
鑸	U+9478 (U+9478)	e991b8
鑹	pick, poker (U+9479)	e991b9
鑺	U+947A (U+947A)	e991ba
鑻	U+947B (U+947B)	e991bb
鑼	gong (U+947C)	e991bc
鑽	drill, bore; pierce; diamond (U+947D)	e991bd
鑾	bells hung on horse; bells hung (U+947E)	e991be
鑿	chisel; bore, pierce (U+947F)	e991bf
钀	U+9480 (U+9480)	e99280
钁	a mattock; a billhook (U+9481)	e99281
钂	U+9482 (U+9482)	e99282
钃	U+9483 (U+9483)	e99283
钄	U+9484 (U+9484)	e99284
钅	gold; money; KangXi radical 167 (U+9485)	e99285
钆	gadolinium (U+9486)	e99286
钇	yttrium (U+9487)	e99287
针	needle; pin; tack; acupuncture (U+9488)	e99288
钉	nail, spike; pursue closely (U+9489)	e99289
钊	endeavor, strive; encourage; cut (U+948A)	e9928a
钋	polonium (U+948B)	e9928b
钌	ruthenium (U+948C)	e9928c
钍	thorium (U+948D)	e9928d
钎	tool for boring holes (U+948E)	e9928e
钏	bracelet, armlet (U+948F)	e9928f
钐	samarium (U+9490)	e99290
钑	spear (U+9491)	e99291
钒	vanadium (U+9492)	e99292
钓	fish; fishhook; tempt, lure (U+9493)	e99293
钔	mendelevium (Md) (U+9494)	e99294
钕	neodymium (U+9495)	e99295
钖	frontlet (U+9496)	e99296
